clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend gives them 18 more apples. How many apples does Jack have now?,67,The course offers 9 credit hours. Jack drops 1 credit hours. How many credits remain?,8,10,49,18,9,1
Jack has 10 apples. Their friend gives them 2 more apples. How many apples does Jack have now?,12,The course offers 17 credit hours. Jack drops 8 credit hours. How many credits remain?,9,25,10,2,17,8
Chloe picks 7 oranges. They find 5 more oranges on the ground. How many oranges does Chloe have now?,12,Chloe catches 49 fireflies. They release 35 fireflies. How many fireflies does Chloe have now?,14,84,7,5,49,35
Chloe picks 3 oranges. They find 1 more oranges on the ground. How many oranges does Chloe have now?,4,Chloe catches 29 fireflies. They release 2 fireflies. How many fireflies does Chloe have now?,27,31,3,1,29,2
Henry buys 40 bananas. The cashier gives them 2 extra bananas. How many bananas does Henry have now?,42,"The itinerary includes 16 cities. After visiting 9 cities, how many remain?",7,25,40,2,16,9
Henry buys 47 bananas. The cashier gives them 42 extra bananas. How many bananas does Henry have now?,89,"The itinerary includes 37 cities. After visiting 13 cities, how many remain?",24,50,47,42,37,13
Lucas grows 39 strawberries. 18 more strawberries ripen overnight. How many strawberries does Lucas have now?,57,The parking lot has 36 cars. 27 cars leave the lot. How many spaces are still occupied?,9,63,39,18,36,27
Lucas grows 23 strawberries. 9 more strawberries ripen overnight. How many strawberries does Lucas have now?,32,The parking lot has 46 cars. 28 cars leave the lot. How many spaces are still occupied?,18,74,23,9,46,28
Benjamin collects 23 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,27,"The train makes 15 stops. After 13 stops, how many remain on the route?",2,28,23,4,15,13
Benjamin collects 8 mangoes. Their neighbor shares 3 more mangoes. How many mangoes does Benjamin have now?,11,"The train makes 7 stops. After 4 stops, how many remain on the route?",3,11,8,3,7,4
Nora has 18 pencils. The teacher distributes 2 more pencils. How many pencils does Nora have now?,20,Nora owns 24 paintbrushes. Their teacher collects 20 paintbrushes for cleaning. How many paintbrushes does Nora have now?,4,44,18,2,24,20
Nora has 36 pencils. The teacher distributes 8 more pencils. How many pencils does Nora have now?,44,Nora owns 48 paintbrushes. Their teacher collects 30 paintbrushes for cleaning. How many paintbrushes does Nora have now?,18,78,36,8,48,30
Isla brings 37 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,56,The pool contains 26 gallons. Isla drains 3 gallons for cleaning. What volume remains?,23,29,37,19,26,3
Isla brings 25 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,44,The pool contains 42 gallons. Isla drains 40 gallons for cleaning. What volume remains?,2,82,25,19,42,40
Henry finds 4 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,7,The lake contains 47 fish. 5 fish are caught. How many fish remain?,42,52,4,3,47,5
Henry finds 20 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,23,The lake contains 16 fish. 13 fish are caught. How many fish remain?,3,29,20,3,16,13
Nora has 19 markers. Their art teacher adds 15 more markers to their collection. How many markers does Nora have now?,34,The bakery prepares 16 loaves. Customers purchase 14 loaves. How many loaves are left?,2,30,19,15,16,14
Nora has 24 markers. Their art teacher adds 7 more markers to their collection. How many markers does Nora have now?,31,The bakery prepares 42 loaves. Customers purchase 24 loaves. How many loaves are left?,18,66,24,7,42,24
Chloe receives 40 stickers for good behavior. The principal awards them 11 more stickers. How many stickers does Chloe have now?,51,The shopping list has 19 items. Chloe crosses off 3 items. How many items remain?,16,22,40,11,19,3
Chloe receives 12 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Chloe have now?,20,The shopping list has 36 items. Chloe crosses off 16 items. How many items remain?,20,52,12,8,36,16
Jacob owns 16 toy cars. Their birthday gifts include 11 more toy cars. How many toy cars does Jacob have now?,27,The project has 19 tasks. Jacob completes 18 tasks. How many tasks remain?,1,37,16,11,19,18
Jacob owns 27 toy cars. Their birthday gifts include 9 more toy cars. How many toy cars does Jacob have now?,36,The project has 22 tasks. Jacob completes 2 tasks. How many tasks remain?,20,24,27,9,22,2
