clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,operand1,operand2
Jack has 9 apples. Their friend gives them 1 more apples. How many apples does Jack have now?,10,Jack has 9 apples. Their friend takes 1 apples. How many apples does Jack have now?,8,9,1
Jack has 17 apples. Their friend gives them 8 more apples. How many apples does Jack have now?,25,Jack has 17 apples. Their friend takes 8 apples. How many apples does Jack have now?,9,17,8
Chloe picks 49 oranges. They find 35 more oranges on the ground. How many oranges does Chloe have now?,84,Chloe picks 49 oranges. They drop 35 oranges. How many oranges does Chloe have now?,14,49,35
Chloe picks 29 oranges. They find 2 more oranges on the ground. How many oranges does Chloe have now?,31,Chloe picks 29 oranges. They drop 2 oranges. How many oranges does Chloe have now?,27,29,2
Henry buys 16 bananas. The cashier gives them 9 extra bananas. How many bananas does Henry have now?,25,Henry buys 16 bananas. The cashier takes back 9 bananas. How many bananas does Henry have now?,7,16,9
Henry buys 37 bananas. The cashier gives them 13 extra bananas. How many bananas does Henry have now?,50,Henry buys 37 bananas. The cashier takes back 13 bananas. How many bananas does Henry have now?,24,37,13
Lucas grows 36 strawberries. 27 more strawberries ripen overnight. How many strawberries does Lucas have now?,63,Lucas grows 36 strawberries. 27 strawberries get eaten by birds. How many strawberries does Lucas have now?,9,36,27
Lucas grows 46 strawberries. 28 more strawberries ripen overnight. How many strawberries does Lucas have now?,74,Lucas grows 46 strawberries. 28 strawberries get eaten by birds. How many strawberries does Lucas have now?,18,46,28
Benjamin collects 15 mangoes. Their neighbor shares 13 more mangoes. How many mangoes does Benjamin have now?,28,Benjamin collects 15 mangoes. They share 13 mangoes with their neighbor. How many mangoes does Benjamin have now?,2,15,13
Benjamin collects 7 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,11,Benjamin collects 7 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,3,7,4
Nora has 24 pencils. The teacher distributes 20 more pencils. How many pencils does Nora have now?,44,Nora has 24 pencils. The teacher collects 20 pencils. How many pencils does Nora have now?,4,24,20
Nora has 48 pencils. The teacher distributes 30 more pencils. How many pencils does Nora have now?,78,Nora has 48 pencils. The teacher collects 30 pencils. How many pencils does Nora have now?,18,48,30
Isla brings 26 notebooks to class. A classmate gives them 3 more notebooks. How many notebooks does Isla have now?,29,Isla brings 26 notebooks to class. A classmate borrows 3 notebooks. How many notebooks does Isla have now?,23,26,3
Isla brings 42 notebooks to class. A classmate gives them 40 more notebooks. How many notebooks does Isla have now?,82,Isla brings 42 notebooks to class. A classmate borrows 40 notebooks. How many notebooks does Isla have now?,2,42,40
Henry finds 47 erasers in their desk. They discover 5 more erasers in their bag. How many erasers does Henry have now?,52,Henry finds 47 erasers in their desk. They lose 5 erasers. How many erasers does Henry have now?,42,47,5
Henry finds 16 erasers in their desk. They discover 13 more erasers in their bag. How many erasers does Henry have now?,29,Henry finds 16 erasers in their desk. They lose 13 erasers. How many erasers does Henry have now?,3,16,13
Nora has 16 markers. Their art teacher adds 14 more markers to their collection. How many markers does Nora have now?,30,Nora has 16 markers. Their art teacher removes 14 markers from their collection. How many markers does Nora have now?,2,16,14
Nora has 42 markers. Their art teacher adds 24 more markers to their collection. How many markers does Nora have now?,66,Nora has 42 markers. Their art teacher removes 24 markers from their collection. How many markers does Nora have now?,18,42,24
Chloe receives 19 stickers for good behavior. The principal awards them 3 more stickers. How many stickers does Chloe have now?,22,Chloe receives 19 stickers for good behavior. The principal revokes 3 stickers. How many stickers does Chloe have now?,16,19,3
Chloe receives 36 stickers for good behavior. The principal awards them 16 more stickers. How many stickers does Chloe have now?,52,Chloe receives 36 stickers for good behavior. The principal revokes 16 stickers. How many stickers does Chloe have now?,20,36,16
Jacob owns 19 toy cars. Their birthday gifts include 18 more toy cars. How many toy cars does Jacob have now?,37,Jacob owns 19 toy cars. They donate 18 toy cars to charity. How many toy cars does Jacob have now?,1,19,18
Jacob owns 22 toy cars. Their birthday gifts include 2 more toy cars. How many toy cars does Jacob have now?,24,Jacob owns 22 toy cars. They donate 2 toy cars to charity. How many toy cars does Jacob have now?,20,22,2
William has 15 building blocks. Their sibling contributes 10 more blocks to their tower. How many blocks does William have now?,25,William has 15 building blocks. Their sibling takes 10 blocks from their tower. How many blocks does William have now?,5,15,10
