prompt,gt_answer,operand1,operand2
Jack has 9 apples. Their friend gives them 1 more apples. How many apples does Jack have now?,10,9,1
Jack has 49 apples. Their friend gives them 18 more apples. How many apples does Jack have now?,67,49,18
Chloe picks 49 oranges. They find 35 more oranges on the ground. How many oranges does Chloe have now?,84,49,35
Chloe picks 7 oranges. They find 5 more oranges on the ground. How many oranges does Chloe have now?,12,7,5
Henry buys 16 bananas. The cashier gives them 9 extra bananas. How many bananas does Henry have now?,25,16,9
Henry buys 40 bananas. The cashier gives them 2 extra bananas. How many bananas does Henry have now?,42,40,2
Lucas grows 36 strawberries. 27 more strawberries ripen overnight. How many strawberries does Lucas have now?,63,36,27
Lucas grows 39 strawberries. 18 more strawberries ripen overnight. How many strawberries does Lucas have now?,57,39,18
Benjamin collects 15 mangoes. Their neighbor shares 13 more mangoes. How many mangoes does Benjamin have now?,28,15,13
Benjamin collects 23 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,27,23,4
Nora has 24 pencils. The teacher distributes 20 more pencils. How many pencils does Nora have now?,44,24,20
Nora has 18 pencils. The teacher distributes 2 more pencils. How many pencils does Nora have now?,20,18,2
Isla brings 26 notebooks to class. A classmate gives them 3 more notebooks. How many notebooks does Isla have now?,29,26,3
Isla brings 37 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,56,37,19
Henry finds 47 erasers in their desk. They discover 5 more erasers in their bag. How many erasers does Henry have now?,52,47,5
Henry finds 4 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,7,4,3
Nora has 16 markers. Their art teacher adds 14 more markers to their collection. How many markers does Nora have now?,30,16,14
Nora has 19 markers. Their art teacher adds 15 more markers to their collection. How many markers does Nora have now?,34,19,15
Chloe receives 19 stickers for good behavior. The principal awards them 3 more stickers. How many stickers does Chloe have now?,22,19,3
Chloe receives 40 stickers for good behavior. The principal awards them 11 more stickers. How many stickers does Chloe have now?,51,40,11
Jacob owns 19 toy cars. Their birthday gifts include 18 more toy cars. How many toy cars does Jacob have now?,37,19,18
Jacob owns 16 toy cars. Their birthday gifts include 11 more toy cars. How many toy cars does Jacob have now?,27,16,11
William has 15 building blocks. Their sibling contributes 10 more blocks to their tower. How many blocks does William have now?,25,15,10
William has 47 building blocks. Their sibling contributes 21 more blocks to their tower. How many blocks does William have now?,68,47,21
Nathan collects 43 action figures. A new series releases 30 more figures. How many action figures does Nathan have now?,73,43,30
Nathan collects 11 action figures. A new series releases 5 more figures. How many action figures does Nathan have now?,16,11,5
Grace has 18 board games. Their family acquires 14 more board games. How many board games does Grace have now?,32,18,14
Grace has 39 board games. Their family acquires 26 more board games. How many board games does Grace have now?,65,39,26
Lily owns 7 stuffed animals. A relative sends them 1 more stuffed animals. How many stuffed animals does Lily have now?,8,7,1
Lily owns 9 stuffed animals. A relative sends them 3 more stuffed animals. How many stuffed animals does Lily have now?,12,9,3
Ella finds 6 seashells at the beach. The next day they find 4 more seashells. How many seashells does Ella have now?,10,6,4
Ella finds 26 seashells at the beach. The next day they find 20 more seashells. How many seashells does Ella have now?,46,26,20
"Chloe counts 48 birds in the morning. By afternoon, 8 more birds arrive. How many birds does Chloe see now?",56,48,8
"Chloe counts 45 birds in the morning. By afternoon, 35 more birds arrive. How many birds does Chloe see now?",80,45,35
"Olivia plants 20 flowers. After a week, 14 more flowers bloom. How many flowers does Olivia have now?",34,20,14
"Olivia plants 34 flowers. After a week, 12 more flowers bloom. How many flowers does Olivia have now?",46,34,12
Matthew catches 42 fireflies. Their jar attracts 33 more fireflies. How many fireflies does Matthew have now?,75,42,33
Matthew catches 40 fireflies. Their jar attracts 13 more fireflies. How many fireflies does Matthew have now?,53,40,13
