clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,A team of 5 robots assembled 15 components. What was each robot's average output?,3,20,x,y,15,5
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,A team of 7 robots assembled 28 components. What was each robot's average output?,4,35,x,y,28,7
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,2 apples cost $18 altogether. What's the price per apple?,9,20,x,y,18,2
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,46 apples cost $46 altogether. What's the price per apple?,1,92,x,y,46,46
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,Artists used 6 pigments across 6 paintings. What was the average per painting?,1,12,x,y,6,6
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,Artists used 24 pigments across 24 paintings. What was the average per painting?,1,48,x,y,24,24
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,The printer created 6 layers over 3 minutes. What was the average speed?,2,9,x,y,6,3
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,The printer created 22 layers over 11 minutes. What was the average speed?,2,33,x,y,22,11
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,The cable transferred 24 TB over 6 hours. What was the average rate?,4,30,x,y,24,6
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,The cable transferred 49 TB over 7 hours. What was the average rate?,7,56,x,y,49,7
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,A worker earned $3 from 3 items. What was the per-item rate?,1,6,x,y,3,3
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,A worker earned $33 from 3 items. What was the per-item rate?,11,36,x,y,33,3
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,The glacier retreated 24 inches over 4 days. What was the average daily recession?,6,28,x,y,24,4
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,The glacier retreated 14 inches over 14 days. What was the average daily recession?,1,28,x,y,14,14
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,The nanobots repaired 34 cells during 17 minutes. What was their average repair rate?,2,51,x,y,34,17
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,The nanobots repaired 50 cells during 10 minutes. What was their average repair rate?,5,60,x,y,50,10
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,The storm had 8 lightning flashes over 8 minutes. What was the flash rate?,1,16,x,y,8,8
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,The storm had 16 lightning flashes over 4 minutes. What was the flash rate?,4,20,x,y,16,4
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,There were 48 arrivals during 2 minutes. What was the actual arrival frequency?,24,50,x,y,48,2
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,There were 34 arrivals during 34 minutes. What was the actual arrival frequency?,1,68,x,y,34,34
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,The pyramid's 11 blocks weigh 11 tons total. What is the average block weight?,1,22,x,y,11,11
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,The pyramid's 2 blocks weigh 30 tons total. What is the average block weight?,15,32,x,y,30,2
William has x building blocks. Their sibling contributes y more blocks to their tower. How many blocks does William have now?,x,A quilt's 24 squares are arranged in 24 equal columns. How many per column?,1,48,x,y,24,24
