clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend takes 18 apples. How many apples does Jack have now?,31,Jack has 9 apples. Their friend gives them 1 more apples. How many apples does Jack have now?,10,8,49,18,9,1
Jack has 10 apples. Their friend takes 2 apples. How many apples does Jack have now?,8,Jack has 17 apples. Their friend gives them 8 more apples. How many apples does Jack have now?,25,9,10,2,17,8
Chloe picks 7 oranges. They drop 5 oranges. How many oranges does Chloe have now?,2,Chloe picks 49 oranges. They find 35 more oranges on the ground. How many oranges does Chloe have now?,84,14,7,5,49,35
Chloe picks 3 oranges. They drop 1 oranges. How many oranges does Chloe have now?,2,Chloe picks 29 oranges. They find 2 more oranges on the ground. How many oranges does Chloe have now?,31,27,3,1,29,2
Henry buys 40 bananas. The cashier takes back 2 bananas. How many bananas does Henry have now?,38,Henry buys 16 bananas. The cashier gives them 9 extra bananas. How many bananas does Henry have now?,25,7,40,2,16,9
Henry buys 47 bananas. The cashier takes back 42 bananas. How many bananas does Henry have now?,5,Henry buys 37 bananas. The cashier gives them 13 extra bananas. How many bananas does Henry have now?,50,24,47,42,37,13
Lucas grows 39 strawberries. 18 strawberries get eaten by birds. How many strawberries does Lucas have now?,21,Lucas grows 36 strawberries. 27 more strawberries ripen overnight. How many strawberries does Lucas have now?,63,9,39,18,36,27
Lucas grows 23 strawberries. 9 strawberries get eaten by birds. How many strawberries does Lucas have now?,14,Lucas grows 46 strawberries. 28 more strawberries ripen overnight. How many strawberries does Lucas have now?,74,18,23,9,46,28
Benjamin collects 23 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,19,Benjamin collects 15 mangoes. Their neighbor shares 13 more mangoes. How many mangoes does Benjamin have now?,28,2,23,4,15,13
Benjamin collects 8 mangoes. They share 3 mangoes with their neighbor. How many mangoes does Benjamin have now?,5,Benjamin collects 7 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,11,3,8,3,7,4
Nora has 18 pencils. The teacher collects 2 pencils. How many pencils does Nora have now?,16,Nora has 24 pencils. The teacher distributes 20 more pencils. How many pencils does Nora have now?,44,4,18,2,24,20
Nora has 36 pencils. The teacher collects 8 pencils. How many pencils does Nora have now?,28,Nora has 48 pencils. The teacher distributes 30 more pencils. How many pencils does Nora have now?,78,18,36,8,48,30
Isla brings 37 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,18,Isla brings 26 notebooks to class. A classmate gives them 3 more notebooks. How many notebooks does Isla have now?,29,23,37,19,26,3
Isla brings 25 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,6,Isla brings 42 notebooks to class. A classmate gives them 40 more notebooks. How many notebooks does Isla have now?,82,2,25,19,42,40
Henry finds 4 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,1,Henry finds 47 erasers in their desk. They discover 5 more erasers in their bag. How many erasers does Henry have now?,52,42,4,3,47,5
Henry finds 20 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,17,Henry finds 16 erasers in their desk. They discover 13 more erasers in their bag. How many erasers does Henry have now?,29,3,20,3,16,13
Nora has 19 markers. Their art teacher removes 15 markers from their collection. How many markers does Nora have now?,4,Nora has 16 markers. Their art teacher adds 14 more markers to their collection. How many markers does Nora have now?,30,2,19,15,16,14
Nora has 24 markers. Their art teacher removes 7 markers from their collection. How many markers does Nora have now?,17,Nora has 42 markers. Their art teacher adds 24 more markers to their collection. How many markers does Nora have now?,66,18,24,7,42,24
Chloe receives 40 stickers for good behavior. The principal revokes 11 stickers. How many stickers does Chloe have now?,29,Chloe receives 19 stickers for good behavior. The principal awards them 3 more stickers. How many stickers does Chloe have now?,22,16,40,11,19,3
Chloe receives 12 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Chloe have now?,4,Chloe receives 36 stickers for good behavior. The principal awards them 16 more stickers. How many stickers does Chloe have now?,52,20,12,8,36,16
Jacob owns 16 toy cars. They donate 11 toy cars to charity. How many toy cars does Jacob have now?,5,Jacob owns 19 toy cars. Their birthday gifts include 18 more toy cars. How many toy cars does Jacob have now?,37,1,16,11,19,18
Jacob owns 27 toy cars. They donate 9 toy cars to charity. How many toy cars does Jacob have now?,18,Jacob owns 22 toy cars. Their birthday gifts include 2 more toy cars. How many toy cars does Jacob have now?,24,20,27,9,22,2
William has 47 building blocks. Their sibling takes 21 blocks from their tower. How many blocks does William have now?,26,William has 15 building blocks. Their sibling contributes 10 more blocks to their tower. How many blocks does William have now?,25,5,47,21,15,10
William has 33 building blocks. Their sibling takes 26 blocks from their tower. How many blocks does William have now?,7,William has 15 building blocks. Their sibling contributes 11 more blocks to their tower. How many blocks does William have now?,26,4,33,26,15,11
