clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 apples to divide equally into 3 bags. How many apples go in each bag?,2,The course offers 9 credit hours. Jack adds 1 audit hours. What is the total course load?,10,9,6,3,9,1
Jack has 26 apples to divide equally into 2 bags. How many apples go in each bag?,13,The course offers 17 credit hours. Jack adds 8 audit hours. What is the total course load?,25,2,26,2,17,8
14 students are divided equally into 14 classrooms. How many in each?,1,Amelia catches 49 fireflies. Their jar attracts 35 more fireflies. How many fireflies does Amelia have now?,84,1,14,14,49,35
39 students are divided equally into 3 classrooms. How many in each?,13,Amelia catches 29 fireflies. Their jar attracts 2 more fireflies. How many fireflies does Amelia have now?,31,14,39,3,29,2
A baker divides 24 cookies equally among 4 trays. How many per tray?,6,The itinerary includes 16 cities. Last-minute changes add 9 cities. What is the new plan?,25,1,24,4,16,9
A baker divides 44 cookies equally among 11 trays. How many per tray?,4,The itinerary includes 37 cities. Last-minute changes add 13 cities. What is the new plan?,50,2,44,11,37,13
A book's 48 pages are divided equally into 4 chapters. How many per chapter?,12,The parking lot has 36 spaces. 27 reserved spaces are added. What is the new capacity?,63,1,48,4,36,27
A book's 46 pages are divided equally into 46 chapters. How many per chapter?,1,The parking lot has 46 spaces. 28 reserved spaces are added. What is the new capacity?,74,1,46,46,46,28
40 pencils are packaged equally in 8 boxes. How many in each box?,5,The train makes 15 stops. The schedule adds 13 express stops. What is the updated itinerary?,28,1,40,8,15,13
28 pencils are packaged equally in 14 boxes. How many in each box?,2,The train makes 7 stops. The schedule adds 4 express stops. What is the updated itinerary?,11,1,28,14,7,4
Zoe read 39 pages over 3 hours. What was the hourly rate?,13,Zoe owns 24 paintbrushes. Their teacher gives them 20 new paintbrushes. How many paintbrushes does Zoe have now?,44,1,39,3,24,20
Zoe read 28 pages over 14 hours. What was the hourly rate?,2,Zoe owns 48 paintbrushes. Their teacher gives them 30 new paintbrushes. How many paintbrushes does Zoe have now?,78,1,28,14,48,30
A machine made 32 widgets in 32 minutes. What was its per-minute rate?,1,The pool contains 26 gallons. The hose adds 3 more gallons. What is the total volume?,29,8,32,32,26,3
A machine made 36 widgets in 3 minutes. What was its per-minute rate?,12,The pool contains 42 gallons. The hose adds 40 more gallons. What is the total volume?,82,1,36,3,42,40
A printer produced 33 pages during 11 minutes. How many per minute?,3,The lake contains 47 fish. Stocking adds 5 more fish. What is the new population?,52,9,33,11,47,5
A printer produced 27 pages during 27 minutes. How many per minute?,1,The lake contains 16 fish. Stocking adds 13 more fish. What is the new population?,29,1,27,27,16,13
A car went 46 miles using 2 gallons. What was the mileage per gallon?,23,The bakery prepares 16 loaves. The afternoon batch makes 14 more loaves. What is the total production?,30,1,46,2,16,14
