template,logic,key_phrases
[name] has {x} apples. Their friend gives them {y} more apples. How many apples does [name] have now?,x+y,"gives them, more apples"
[name] has {x} apples. Their friend takes {y} apples. How many apples does [name] have now?,x-y,takes
[name] picks {x} oranges. They find {y} more oranges on the ground. How many oranges does [name] have now?,x+y,"find, more oranges"
[name] picks {x} oranges. They drop {y} oranges. How many oranges does [name] have now?,x-y,drop
[name] buys {x} bananas. The cashier gives them {y} extra bananas. How many bananas does [name] have now?,x+y,"gives them, extra bananas"
[name] buys {x} bananas. The cashier takes back {y} bananas. How many bananas does [name] have now?,x-y,takes back
[name] grows {x} strawberries. {y} more strawberries ripen overnight. How many strawberries does [name] have now?,x+y,more strawberries ripen
[name] grows {x} strawberries. {y} strawberries get eaten by birds. How many strawberries does [name] have now?,x-y,get eaten
[name] collects {x} mangoes. Their neighbor shares {y} more mangoes. How many mangoes does [name] have now?,x+y,"shares, more mangoes"
[name] collects {x} mangoes. They share {y} mangoes with their neighbor. How many mangoes does [name] have now?,x-y,share
[name] has {x} pencils. The teacher distributes {y} more pencils. How many pencils does [name] have now?,x+y,"distributes, more pencils"
[name] has {x} pencils. The teacher collects {y} pencils. How many pencils does [name] have now?,x-y,collects
[name] brings {x} notebooks to class. A classmate gives them {y} more notebooks. How many notebooks does [name] have now?,x+y,"gives them, more notebooks"
[name] brings {x} notebooks to class. A classmate borrows {y} notebooks. How many notebooks does [name] have now?,x-y,borrows
[name] finds {x} erasers in their desk. They discover {y} more erasers in their bag. How many erasers does [name] have now?,x+y,"discover, more erasers"
[name] finds {x} erasers in their desk. They lose {y} erasers. How many erasers does [name] have now?,x-y,lose
[name] has {x} markers. Their art teacher adds {y} more markers to their collection. How many markers does [name] have now?,x+y,"adds, more markers"
[name] has {x} markers. Their art teacher removes {y} markers from their collection. How many markers does [name] have now?,x-y,removes
[name] receives {x} stickers for good behavior. The principal awards them {y} more stickers. How many stickers does [name] have now?,x+y,"awards them, more stickers"
[name] receives {x} stickers for good behavior. The principal revokes {y} stickers. How many stickers does [name] have now?,x-y,revokes
[name] owns {x} toy cars. Their birthday gifts include {y} more toy cars. How many toy cars does [name] have now?,x+y,"include, more toy cars"
[name] owns {x} toy cars. They donate {y} toy cars to charity. How many toy cars does [name] have now?,x-y,donate
[name] has {x} building blocks. Their sibling contributes {y} more blocks to their tower. How many blocks does [name] have now?,x+y,"contributes, more blocks"
[name] has {x} building blocks. Their sibling takes {y} blocks from their tower. How many blocks does [name] have now?,x-y,takes
[name] collects {x} action figures. A new series releases {y} more figures. How many action figures does [name] have now?,x+y,"releases, more figures"
[name] collects {x} action figures. They trade away {y} figures. How many action figures does [name] have now?,x-y,trade away
[name] has {x} board games. Their family acquires {y} more board games. How many board games does [name] have now?,x+y,"acquires, more board games"
[name] has {x} board games. Their family gives away {y} board games. How many board games does [name] have now?,x-y,gives away
[name] owns {x} stuffed animals. A relative sends them {y} more stuffed animals. How many stuffed animals does [name] have now?,x+y,"sends them, more stuffed animals"
[name] owns {x} stuffed animals. They give {y} stuffed animals to a younger sibling. How many stuffed animals does [name] have now?,x-y,give
[name] finds {x} seashells at the beach. The next day they find {y} more seashells. How many seashells does [name] have now?,x+y,"find, more seashells"
[name] finds {x} seashells at the beach. The tide washes away {y} seashells. How many seashells does [name] have now?,x-y,washes away
"[name] counts {x} birds in the morning. By afternoon, {y} more birds arrive. How many birds does [name] see now?",x+y,more birds arrive
"[name] counts {x} birds in the morning. By afternoon, {y} birds fly away. How many birds does [name] see now?",x-y,fly away
"[name] plants {x} flowers. After a week, {y} more flowers bloom. How many flowers does [name] have now?",x+y,more flowers bloom
[name] plants {x} flowers. A storm damages {y} flowers. How many flowers does [name] have now?,x-y,damages
[name] catches {x} fireflies. Their jar attracts {y} more fireflies. How many fireflies does [name] have now?,x+y,"attracts, more fireflies"
[name] catches {x} fireflies. They release {y} fireflies. How many fireflies does [name] have now?,x-y,release
[name] collects {x} acorns. Their friend finds {y} more acorns for them. How many acorns does [name] have now?,x+y,"finds, more acorns"
[name] collects {x} acorns. Squirrels steal {y} acorns. How many acorns does [name] have now?,x-y,steal
[name] bakes {x} cookies. Their sibling helps bake {y} more cookies. How many cookies does [name] have now?,x+y,"helps bake, more cookies"
[name] bakes {x} cookies. Their sibling eats {y} cookies. How many cookies does [name] have now?,x-y,eats
[name] buys {x} donuts. The bakery throws in {y} extra donuts. How many donuts does [name] have now?,x+y,"throws in, extra donuts"
[name] buys {x} donuts. Their family eats {y} donuts. How many donuts does [name] have now?,x-y,eats
[name] makes {x} sandwiches. Their parent makes {y} additional sandwiches. How many sandwiches does [name] have now?,x+y,"makes, additional sandwiches"
[name] makes {x} sandwiches. Their friends eat {y} sandwiches. How many sandwiches does [name] have now?,x-y,eat
[name] has {x} candies in their bag. Their teacher gives them {y} more candies. How many candies does [name] have now?,x+y,"gives them, more candies"
[name] has {x} candies in their bag. Their teacher takes {y} candies. How many candies does [name] have now?,x-y,takes
[name] buys {x} juice boxes. The store adds {y} bonus juice boxes. How many juice boxes does [name] have now?,x+y,"adds, bonus juice boxes"
[name] buys {x} juice boxes. Their classmates drink {y} juice boxes. How many juice boxes does [name] have now?,x-y,drink
[name] has {x} baseballs. Their coach provides {y} more baseballs. How many baseballs does [name] have now?,x+y,"provides, more baseballs"
[name] has {x} baseballs. Their coach takes {y} baseballs for practice. How many baseballs does [name] have now?,x-y,takes
[name] owns {x} tennis balls. The club gives them {y} new tennis balls. How many tennis balls does [name] have now?,x+y,"gives them, new tennis balls"
