template,logic,key_phrases
[name] has {x} bags with {y} apples in each. How many apples does [name] have total?,x*y,"in each, total"
[name] has {x} apples to divide equally into {y} bags. How many apples go in each bag?,x/y,"divide equally, each"
"There are {x} classrooms, each with {y} students. How many students total?",x*y,"each with, total"
{x} students are divided equally into {y} classrooms. How many in each?,x/y,"divided equally, each"
"A baker prepares {x} trays, each with {y} cookies. What is the total number?",x*y,"each with, total"
A baker divides {x} cookies equally among {y} trays. How many per tray?,x/y,"divides equally, per"
"A book has {x} chapters, each with {y} pages. How many pages total?",x*y,"each with, total"
A book's {x} pages are divided equally into {y} chapters. How many per chapter?,x/y,"divided equally, per"
Each of {x} boxes contains {y} pencils. What is the total count?,x*y,"each contains, total"
{x} pencils are packaged equally in {y} boxes. How many in each box?,x/y,"equally in, each"
[name] reads {x} pages every hour for {y} hours. How many pages total?,x*y,"every hour, for"
[name] read {x} pages over {y} hours. What was the hourly rate?,x/y,"over, rate"
A machine produces {x} widgets every minute for {y} minutes. What's the total?,x*y,"every minute, for"
A machine made {x} widgets in {y} minutes. What was its per-minute rate?,x/y,"in, per-minute"
A printer prints {x} pages every minute. How many pages in {y} minutes?,x*y,"every minute, in"
A printer produced {x} pages during {y} minutes. How many per minute?,x/y,"during, per minute"
A car travels {x} miles every gallon. How far can it go on {y} gallons?,x*y,"every gallon, how far"
A car went {x} miles using {y} gallons. What was the mileage per gallon?,x/y,"using, per gallon"
[name] earns ${x} per hour and works {y} hours. What are the total earnings?,x*y,"per hour, and works"
[name] earned ${x} by working {y} hours. What was the hourly wage?,x/y,"by working, hourly"
A garden has {x} rows with {y} plants per row. How many plants total?,x*y,"per row, total"
{x} plants are arranged in {y} equal rows. How many plants per row?,x/y,"equal rows, per"
"A parking lot has {x} rows, each holding {y} cars. How many cars total?",x*y,"each holding, total"
{x} cars are parked in {y} equal rows. How many cars per row?,x/y,"equal rows, per"
A quilt has {x} squares along its length and {y} squares across. How many total?,x*y,"along and across, total"
A quilt's {x} squares are arranged in {y} equal columns. How many per column?,x/y,"equal columns, per"
Each of {x} rows contains {y} desks. How many desks total?,x*y,"each contains, total"
