clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend takes 18 apples. How many apples does Jack have now?,31,The course offers 9 credit hours. Jack adds 1 audit hours. What is the total course load?,10,8,49,18,9,1
Jack has 10 apples. Their friend takes 2 apples. How many apples does Jack have now?,8,The course offers 17 credit hours. Jack adds 8 audit hours. What is the total course load?,25,9,10,2,17,8
Chloe picks 7 oranges. They drop 5 oranges. How many oranges does Chloe have now?,2,Chloe catches 49 fireflies. Their jar attracts 35 more fireflies. How many fireflies does Chloe have now?,84,14,7,5,49,35
Chloe picks 3 oranges. They drop 1 oranges. How many oranges does Chloe have now?,2,Chloe catches 29 fireflies. Their jar attracts 2 more fireflies. How many fireflies does Chloe have now?,31,27,3,1,29,2
Henry buys 40 bananas. The cashier takes back 2 bananas. How many bananas does Henry have now?,38,The itinerary includes 16 cities. Last-minute changes add 9 cities. What is the new plan?,25,7,40,2,16,9
Henry buys 47 bananas. The cashier takes back 42 bananas. How many bananas does Henry have now?,5,The itinerary includes 37 cities. Last-minute changes add 13 cities. What is the new plan?,50,24,47,42,37,13
Lucas grows 39 strawberries. 18 strawberries get eaten by birds. How many strawberries does Lucas have now?,21,The parking lot has 36 spaces. 27 reserved spaces are added. What is the new capacity?,63,9,39,18,36,27
Lucas grows 23 strawberries. 9 strawberries get eaten by birds. How many strawberries does Lucas have now?,14,The parking lot has 46 spaces. 28 reserved spaces are added. What is the new capacity?,74,18,23,9,46,28
Benjamin collects 23 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,19,The train makes 15 stops. The schedule adds 13 express stops. What is the updated itinerary?,28,2,23,4,15,13
Benjamin collects 8 mangoes. They share 3 mangoes with their neighbor. How many mangoes does Benjamin have now?,5,The train makes 7 stops. The schedule adds 4 express stops. What is the updated itinerary?,11,3,8,3,7,4
Nora has 18 pencils. The teacher collects 2 pencils. How many pencils does Nora have now?,16,Nora owns 24 paintbrushes. Their teacher gives them 20 new paintbrushes. How many paintbrushes does Nora have now?,44,4,18,2,24,20
Nora has 36 pencils. The teacher collects 8 pencils. How many pencils does Nora have now?,28,Nora owns 48 paintbrushes. Their teacher gives them 30 new paintbrushes. How many paintbrushes does Nora have now?,78,18,36,8,48,30
Isla brings 37 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,18,The pool contains 26 gallons. The hose adds 3 more gallons. What is the total volume?,29,23,37,19,26,3
Isla brings 25 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,6,The pool contains 42 gallons. The hose adds 40 more gallons. What is the total volume?,82,2,25,19,42,40
Henry finds 4 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,1,The lake contains 47 fish. Stocking adds 5 more fish. What is the new population?,52,42,4,3,47,5
Henry finds 20 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,17,The lake contains 16 fish. Stocking adds 13 more fish. What is the new population?,29,3,20,3,16,13
Nora has 19 markers. Their art teacher removes 15 markers from their collection. How many markers does Nora have now?,4,The bakery prepares 16 loaves. The afternoon batch makes 14 more loaves. What is the total production?,30,2,19,15,16,14
Nora has 24 markers. Their art teacher removes 7 markers from their collection. How many markers does Nora have now?,17,The bakery prepares 42 loaves. The afternoon batch makes 24 more loaves. What is the total production?,66,18,24,7,42,24
Chloe receives 40 stickers for good behavior. The principal revokes 11 stickers. How many stickers does Chloe have now?,29,The shopping list has 19 items. Chloe remembers 3 more items. What is the updated list count?,22,16,40,11,19,3
Chloe receives 12 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Chloe have now?,4,The shopping list has 36 items. Chloe remembers 16 more items. What is the updated list count?,52,20,12,8,36,16
Jacob owns 16 toy cars. They donate 11 toy cars to charity. How many toy cars does Jacob have now?,5,The project has 19 tasks. The scope expands by 18 tasks. What is the new workload?,37,1,16,11,19,18
Jacob owns 27 toy cars. They donate 9 toy cars to charity. How many toy cars does Jacob have now?,18,The project has 22 tasks. The scope expands by 2 tasks. What is the new workload?,24,20,27,9,22,2
William has 47 building blocks. Their sibling takes 21 blocks from their tower. How many blocks does William have now?,26,William collects 15 action figures. A new series releases 10 more figures. How many action figures does William have now?,25,5,47,21,15,10
William has 33 building blocks. Their sibling takes 26 blocks from their tower. How many blocks does William have now?,7,William collects 15 action figures. A new series releases 11 more figures. How many action figures does William have now?,26,4,33,26,15,11
Nathan collects 11 action figures. They trade away 5 figures. How many action figures does Nathan have now?,6,Nathan owns 43 comic books. A friend gives them 30 more comic books. How many comic books does Nathan have now?,73,13,11,5,43,30
Nathan collects 49 action figures. They trade away 36 figures. How many action figures does Nathan have now?,13,Nathan owns 10 comic books. A friend gives them 4 more comic books. How many comic books does Nathan have now?,14,6,49,36,10,4
Grace has 39 board games. Their family gives away 26 board games. How many board games does Grace have now?,13,Grace receives 18 stickers for good behavior. The principal awards them 14 more stickers. How many stickers does Grace have now?,32,4,39,26,18,14
Grace has 10 board games. Their family gives away 9 board games. How many board games does Grace have now?,1,Grace receives 25 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Grace have now?,33,17,10,9,25,8
Lily owns 9 stuffed animals. They give 3 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,6,Lily collects 7 acorns. Their friend finds 1 more acorns for them. How many acorns does Lily have now?,8,6,9,3,7,1
Lily owns 45 stuffed animals. They give 28 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,17,Lily collects 42 acorns. Their friend finds 11 more acorns for them. How many acorns does Lily have now?,53,31,45,28,42,11
Ella finds 26 seashells at the beach. The tide washes away 20 seashells. How many seashells does Ella have now?,6,The item costs 6 dollars. The price increases by 4 dollars. What is the new cost?,10,2,26,20,6,4
Ella finds 18 seashells at the beach. The tide washes away 1 seashells. How many seashells does Ella have now?,17,The item costs 31 dollars. The price increases by 17 dollars. What is the new cost?,48,14,18,1,31,17
"Chloe counts 45 birds in the morning. By afternoon, 35 birds fly away. How many birds does Chloe see now?",10,The team has 48 timeouts. The official grants 8 additional timeouts. What is the new allowance?,56,40,45,35,48,8
"Chloe counts 43 birds in the morning. By afternoon, 22 birds fly away. How many birds does Chloe see now?",21,The team has 50 timeouts. The official grants 18 additional timeouts. What is the new allowance?,68,32,43,22,50,18
Olivia plants 34 flowers. A storm damages 12 flowers. How many flowers does Olivia have now?,22,The farm has 20 chickens. New hatchlings increase the flock by 14. What is the new population?,34,6,34,12,20,14
Olivia plants 42 flowers. A storm damages 20 flowers. How many flowers does Olivia have now?,22,The farm has 34 chickens. New hatchlings increase the flock by 7. What is the new population?,41,27,42,20,34,7
Matthew catches 40 fireflies. They release 13 fireflies. How many fireflies does Matthew have now?,27,Matthew's account shows 42 dollars. A deposit of 33 dollars is added. What is the new balance?,75,9,40,13,42,33
Matthew catches 50 fireflies. They release 11 fireflies. How many fireflies does Matthew have now?,39,Matthew's account shows 11 dollars. A deposit of 6 dollars is added. What is the new balance?,17,5,50,11,11,6
Grace collects 40 acorns. Squirrels steal 21 acorns. How many acorns does Grace have now?,19,The quality check finds 35 defects. The tolerance allows 1 more defects. What is the acceptable range?,36,34,40,21,35,1
Grace collects 9 acorns. Squirrels steal 6 acorns. How many acorns does Grace have now?,3,The quality check finds 33 defects. The tolerance allows 2 more defects. What is the acceptable range?,35,31,9,6,33,2
Nathan bakes 5 cookies. Their sibling eats 2 cookies. How many cookies does Nathan have now?,3,Nathan has 21 hockey pucks. Their teammate shares 8 more hockey pucks. How many hockey pucks does Nathan have now?,29,13,5,2,21,8
Nathan bakes 7 cookies. Their sibling eats 6 cookies. How many cookies does Nathan have now?,1,Nathan has 38 hockey pucks. Their teammate shares 6 more hockey pucks. How many hockey pucks does Nathan have now?,44,32,7,6,38,6
Lily buys 10 donuts. Their family eats 3 donuts. How many donuts does Lily have now?,7,The wall needs 6 bricks. The design change requires 5 more bricks. What is the new count?,11,1,10,3,6,5
Lily buys 37 donuts. Their family eats 11 donuts. How many donuts does Lily have now?,26,The wall needs 44 bricks. The design change requires 31 more bricks. What is the new count?,75,13,37,11,44,31
Alexander makes 15 sandwiches. Their friends eat 9 sandwiches. How many sandwiches does Alexander have now?,6,Alexander owns 35 tennis balls. The club gives them 28 new tennis balls. How many tennis balls does Alexander have now?,63,7,15,9,35,28
Alexander makes 46 sandwiches. Their friends eat 13 sandwiches. How many sandwiches does Alexander have now?,33,Alexander owns 50 tennis balls. The club gives them 47 new tennis balls. How many tennis balls does Alexander have now?,97,3,46,13,50,47
Lucas has 44 candies in their bag. Their teacher takes 42 candies. How many candies does Lucas have now?,2,The job estimates 21 hours of labor. Complications add 13 hours. What is the new estimate?,34,8,44,42,21,13
Lucas has 35 candies in their bag. Their teacher takes 29 candies. How many candies does Lucas have now?,6,The job estimates 25 hours of labor. Complications add 15 hours. What is the new estimate?,40,10,35,29,25,15
Olivia buys 47 juice boxes. Their classmates drink 41 juice boxes. How many juice boxes does Olivia have now?,6,The machine processes 39 items daily. Maintenance increases capacity by 15 items. What is the new rate?,54,24,47,41,39,15
Olivia buys 23 juice boxes. Their classmates drink 3 juice boxes. How many juice boxes does Olivia have now?,20,The machine processes 6 items daily. Maintenance increases capacity by 1 items. What is the new rate?,7,5,23,3,6,1
Michael has 44 baseballs. Their coach takes 32 baseballs for practice. How many baseballs does Michael have now?,12,The puzzle has 17 pieces. The deluxe edition adds 9 more pieces. What is the new challenge?,26,8,44,32,17,9
Michael has 17 baseballs. Their coach takes 16 baseballs for practice. How many baseballs does Michael have now?,1,The puzzle has 10 pieces. The deluxe edition adds 8 more pieces. What is the new challenge?,18,2,17,16,10,8
Zoe owns 8 tennis balls. The club replaces 1 old tennis balls. How many tennis balls does Zoe have now?,7,The therapy lasts 28 weeks. The extension adds 7 more weeks. What is the new duration?,35,21,8,1,28,7
Zoe owns 24 tennis balls. The club replaces 14 old tennis balls. How many tennis balls does Zoe have now?,10,The therapy lasts 44 weeks. The extension adds 28 more weeks. What is the new duration?,72,16,24,14,44,28
Mia has 48 basketballs. Their team donates 4 basketballs. How many basketballs does Mia have now?,44,The cleanup targets 31 tons of waste. Additional dumping adds 28 tons. What is the new total?,59,3,48,4,31,28
