clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 apples to divide equally into 3 bags. How many apples go in each bag?,2,Each robot assembles 15 components hourly. How many components can 5 robots assemble?,75,3,6,3,15,5
Jack has 26 apples to divide equally into 2 bags. How many apples go in each bag?,13,Each robot assembles 28 components hourly. How many components can 7 robots assemble?,196,4,26,2,28,7
14 students are divided equally into 14 classrooms. How many in each?,1,Apples cost $18 per apple. How much for 2 apples?,36,9,14,14,18,2
39 students are divided equally into 3 classrooms. How many in each?,13,Apples cost $46 per apple. How much for 46 apples?,2116,1,39,3,46,46
A baker divides 24 cookies equally among 4 trays. How many per tray?,6,Each Renaissance painting uses 6 pigments. How many pigments for 6 paintings?,36,1,24,4,6,6
A baker divides 44 cookies equally among 11 trays. How many per tray?,4,Each Renaissance painting uses 24 pigments. How many pigments for 24 paintings?,576,1,44,11,24,24
A book's 48 pages are divided equally into 4 chapters. How many per chapter?,12,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,2,48,4,6,3
A book's 46 pages are divided equally into 46 chapters. How many per chapter?,1,The 3D printer makes 22 layers per minute. How many layers in 11 minutes?,242,2,46,46,22,11
40 pencils are packaged equally in 8 boxes. How many in each box?,5,The fiber cable transmits 24 TB per hour. How much data in 6 hours?,144,4,40,8,24,6
28 pencils are packaged equally in 14 boxes. How many in each box?,2,The fiber cable transmits 49 TB per hour. How much data in 7 hours?,343,7,28,14,49,7
Zoe read 39 pages over 3 hours. What was the hourly rate?,13,Workers are paid $3 per item. How much for 3 items?,9,1,39,3,3,3
Zoe read 28 pages over 14 hours. What was the hourly rate?,2,Workers are paid $33 per item. How much for 3 items?,99,11,28,14,33,3
A machine made 32 widgets in 32 minutes. What was its per-minute rate?,1,The glacier recedes 24 inches daily. How much will it shrink after 4 days?,96,6,32,32,24,4
A machine made 36 widgets in 3 minutes. What was its per-minute rate?,12,The glacier recedes 14 inches daily. How much will it shrink after 14 days?,196,1,36,3,14,14
A printer produced 33 pages during 11 minutes. How many per minute?,3,The nanobot swarm repairs 34 cells per minute. How many cells can it repair in 17 minutes?,578,2,33,11,34,17
A printer produced 27 pages during 27 minutes. How many per minute?,1,The nanobot swarm repairs 50 cells per minute. How many cells can it repair in 10 minutes?,500,5,27,27,50,10
A car went 46 miles using 2 gallons. What was the mileage per gallon?,23,The thunderstorm produces 8 lightning flashes per minute. How many flashes in 8 minutes?,64,1,46,2,8,8
A car went 36 miles using 2 gallons. What was the mileage per gallon?,18,The thunderstorm produces 16 lightning flashes per minute. How many flashes in 4 minutes?,64,4,36,2,16,4
