clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x bags with y apples in each. How many apples does Jack have total?,x,A team of 5 robots assembled 15 components. What was each robot's average output?,3,75,x,y,15,5
Jack has x bags with y apples in each. How many apples does Jack have total?,x,A team of 7 robots assembled 28 components. What was each robot's average output?,4,196,x,y,28,7
"There are x classrooms, each with y students. How many students total?",x,2 apples cost $18 altogether. What's the price per apple?,9,36,x,y,18,2
"There are x classrooms, each with y students. How many students total?",x,46 apples cost $46 altogether. What's the price per apple?,1,2116,x,y,46,46
"A baker prepares x trays, each with y cookies. What is the total number?",x,Artists used 6 pigments across 6 paintings. What was the average per painting?,1,36,x,y,6,6
"A baker prepares x trays, each with y cookies. What is the total number?",x,Artists used 24 pigments across 24 paintings. What was the average per painting?,1,576,x,y,24,24
"A book has x chapters, each with y pages. How many pages total?",x,The printer created 6 layers over 3 minutes. What was the average speed?,2,18,x,y,6,3
"A book has x chapters, each with y pages. How many pages total?",x,The printer created 22 layers over 11 minutes. What was the average speed?,2,242,x,y,22,11
Each of x boxes contains y pencils. What is the total count?,x,The cable transferred 24 TB over 6 hours. What was the average rate?,4,144,x,y,24,6
Each of x boxes contains y pencils. What is the total count?,x,The cable transferred 49 TB over 7 hours. What was the average rate?,7,343,x,y,49,7
Zoe reads x pages every hour for y hours. How many pages total?,x,A worker earned $3 from 3 items. What was the per-item rate?,1,9,x,y,3,3
Zoe reads x pages every hour for y hours. How many pages total?,x,A worker earned $33 from 3 items. What was the per-item rate?,11,99,x,y,33,3
A machine produces x widgets every minute for y minutes. What's the total?,x,The glacier retreated 24 inches over 4 days. What was the average daily recession?,6,96,x,y,24,4
A machine produces x widgets every minute for y minutes. What's the total?,x,The glacier retreated 14 inches over 14 days. What was the average daily recession?,1,196,x,y,14,14
A printer prints x pages every minute. How many pages in y minutes?,x,The nanobots repaired 34 cells during 17 minutes. What was their average repair rate?,2,578,x,y,34,17
A printer prints x pages every minute. How many pages in y minutes?,x,The nanobots repaired 50 cells during 10 minutes. What was their average repair rate?,5,500,x,y,50,10
A car travels x miles every gallon. How far can it go on y gallons?,x,The storm had 8 lightning flashes over 8 minutes. What was the flash rate?,1,64,x,y,8,8
A car travels x miles every gallon. How far can it go on y gallons?,x,The storm had 16 lightning flashes over 4 minutes. What was the flash rate?,4,64,x,y,16,4
William earns $x per hour and works y hours. What are the total earnings?,x,There were 48 arrivals during 2 minutes. What was the actual arrival frequency?,24,96,x,y,48,2
William earns $x per hour and works y hours. What are the total earnings?,x,There were 34 arrivals during 34 minutes. What was the actual arrival frequency?,1,1156,x,y,34,34
A garden has x rows with y plants per row. How many plants total?,x,The pyramid's 11 blocks weigh 11 tons total. What is the average block weight?,1,121,x,y,11,11
A garden has x rows with y plants per row. How many plants total?,x,The pyramid's 2 blocks weigh 30 tons total. What is the average block weight?,15,60,x,y,30,2
"A parking lot has x rows, each holding y cars. How many cars total?",x,A quilt's 24 squares are arranged in 24 equal columns. How many per column?,1,576,x,y,24,24
"A parking lot has x rows, each holding y cars. How many cars total?",x,A quilt's 36 squares are arranged in 3 equal columns. How many per column?,12,108,x,y,36,3
A quilt has x squares along its length and y squares across. How many total?,x,5 cartons hold 35 eggs total. How many eggs per carton?,7,175,x,y,35,5
A quilt has x squares along its length and y squares across. How many total?,x,7 cartons hold 35 eggs total. How many eggs per carton?,5,245,x,y,35,7
Each of x rows contains y desks. How many desks total?,x,Henry earned $28 by working 2 hours. What was the hourly wage?,14,56,x,y,28,2
Each of x rows contains y desks. How many desks total?,x,Henry earned $50 by working 25 hours. What was the hourly wage?,2,1250,x,y,50,25
"A bookshelf has x shelves, each holding y books. How many books total?",x,Grace paid $26 for 2 months of service. What was the monthly rate?,13,52,x,y,26,2
"A bookshelf has x shelves, each holding y books. How many books total?",x,Grace paid $41 for 41 months of service. What was the monthly rate?,1,1681,x,y,41,41
