clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,The course offers 9 credit hours. Jack adds 1 audit hours. What is the total course load?,10,8,x,y,9,1
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,The course offers 17 credit hours. Jack adds 8 audit hours. What is the total course load?,25,9,x,y,17,8
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,Chloe catches 49 fireflies. Their jar attracts 35 more fireflies. How many fireflies does Chloe have now?,84,14,x,y,49,35
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,Chloe catches 29 fireflies. Their jar attracts 2 more fireflies. How many fireflies does Chloe have now?,31,27,x,y,29,2
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,The itinerary includes 16 cities. Last-minute changes add 9 cities. What is the new plan?,25,7,x,y,16,9
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,The itinerary includes 37 cities. Last-minute changes add 13 cities. What is the new plan?,50,24,x,y,37,13
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,The parking lot has 36 spaces. 27 reserved spaces are added. What is the new capacity?,63,9,x,y,36,27
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,The parking lot has 46 spaces. 28 reserved spaces are added. What is the new capacity?,74,18,x,y,46,28
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,The train makes 15 stops. The schedule adds 13 express stops. What is the updated itinerary?,28,2,x,y,15,13
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,The train makes 7 stops. The schedule adds 4 express stops. What is the updated itinerary?,11,3,x,y,7,4
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,Nora owns 24 paintbrushes. Their teacher gives them 20 new paintbrushes. How many paintbrushes does Nora have now?,44,4,x,y,24,20
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,Nora owns 48 paintbrushes. Their teacher gives them 30 new paintbrushes. How many paintbrushes does Nora have now?,78,18,x,y,48,30
Isla brings x notebooks to class. A classmate borrows y notebooks. How many notebooks does Isla have now?,x,The pool contains 26 gallons. The hose adds 3 more gallons. What is the total volume?,29,23,x,y,26,3
Isla brings x notebooks to class. A classmate borrows y notebooks. How many notebooks does Isla have now?,x,The pool contains 42 gallons. The hose adds 40 more gallons. What is the total volume?,82,2,x,y,42,40
Henry finds x erasers in their desk. They lose y erasers. How many erasers does Henry have now?,x,The lake contains 47 fish. Stocking adds 5 more fish. What is the new population?,52,42,x,y,47,5
Henry finds x erasers in their desk. They lose y erasers. How many erasers does Henry have now?,x,The lake contains 16 fish. Stocking adds 13 more fish. What is the new population?,29,3,x,y,16,13
Nora has x markers. Their art teacher removes y markers from their collection. How many markers does Nora have now?,x,The bakery prepares 16 loaves. The afternoon batch makes 14 more loaves. What is the total production?,30,2,x,y,16,14
Nora has x markers. Their art teacher removes y markers from their collection. How many markers does Nora have now?,x,The bakery prepares 42 loaves. The afternoon batch makes 24 more loaves. What is the total production?,66,18,x,y,42,24
Chloe receives x stickers for good behavior. The principal revokes y stickers. How many stickers does Chloe have now?,x,The shopping list has 19 items. Chloe remembers 3 more items. What is the updated list count?,22,16,x,y,19,3
Chloe receives x stickers for good behavior. The principal revokes y stickers. How many stickers does Chloe have now?,x,The shopping list has 36 items. Chloe remembers 16 more items. What is the updated list count?,52,20,x,y,36,16
Jacob owns x toy cars. They donate y toy cars to charity. How many toy cars does Jacob have now?,x,The project has 19 tasks. The scope expands by 18 tasks. What is the new workload?,37,1,x,y,19,18
Jacob owns x toy cars. They donate y toy cars to charity. How many toy cars does Jacob have now?,x,The project has 22 tasks. The scope expands by 2 tasks. What is the new workload?,24,20,x,y,22,2
William has x building blocks. Their sibling takes y blocks from their tower. How many blocks does William have now?,x,William collects 15 action figures. A new series releases 10 more figures. How many action figures does William have now?,25,5,x,y,15,10
William has x building blocks. Their sibling takes y blocks from their tower. How many blocks does William have now?,x,William collects 15 action figures. A new series releases 11 more figures. How many action figures does William have now?,26,4,x,y,15,11
Nathan collects x action figures. They trade away y figures. How many action figures does Nathan have now?,x,Nathan owns 43 comic books. A friend gives them 30 more comic books. How many comic books does Nathan have now?,73,13,x,y,43,30
Nathan collects x action figures. They trade away y figures. How many action figures does Nathan have now?,x,Nathan owns 10 comic books. A friend gives them 4 more comic books. How many comic books does Nathan have now?,14,6,x,y,10,4
Grace has x board games. Their family gives away y board games. How many board games does Grace have now?,x,Grace receives 18 stickers for good behavior. The principal awards them 14 more stickers. How many stickers does Grace have now?,32,4,x,y,18,14
Grace has x board games. Their family gives away y board games. How many board games does Grace have now?,x,Grace receives 25 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Grace have now?,33,17,x,y,25,8
Lily owns x stuffed animals. They give y stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,x,Lily collects 7 acorns. Their friend finds 1 more acorns for them. How many acorns does Lily have now?,8,6,x,y,7,1
Lily owns x stuffed animals. They give y stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,x,Lily collects 42 acorns. Their friend finds 11 more acorns for them. How many acorns does Lily have now?,53,31,x,y,42,11
Ella finds x seashells at the beach. The tide washes away y seashells. How many seashells does Ella have now?,x,The item costs 6 dollars. The price increases by 4 dollars. What is the new cost?,10,2,x,y,6,4
Ella finds x seashells at the beach. The tide washes away y seashells. How many seashells does Ella have now?,x,The item costs 31 dollars. The price increases by 17 dollars. What is the new cost?,48,14,x,y,31,17
"Chloe counts x birds in the morning. By afternoon, y birds fly away. How many birds does Chloe see now?",x,The team has 48 timeouts. The official grants 8 additional timeouts. What is the new allowance?,56,40,x,y,48,8
"Chloe counts x birds in the morning. By afternoon, y birds fly away. How many birds does Chloe see now?",x,The team has 50 timeouts. The official grants 18 additional timeouts. What is the new allowance?,68,32,x,y,50,18
Olivia plants x flowers. A storm damages y flowers. How many flowers does Olivia have now?,x,The farm has 20 chickens. New hatchlings increase the flock by 14. What is the new population?,34,6,x,y,20,14
Olivia plants x flowers. A storm damages y flowers. How many flowers does Olivia have now?,x,The farm has 34 chickens. New hatchlings increase the flock by 7. What is the new population?,41,27,x,y,34,7
Matthew catches x fireflies. They release y fireflies. How many fireflies does Matthew have now?,x,Matthew's account shows 42 dollars. A deposit of 33 dollars is added. What is the new balance?,75,9,x,y,42,33
Matthew catches x fireflies. They release y fireflies. How many fireflies does Matthew have now?,x,Matthew's account shows 11 dollars. A deposit of 6 dollars is added. What is the new balance?,17,5,x,y,11,6
Grace collects x acorns. Squirrels steal y acorns. How many acorns does Grace have now?,x,The quality check finds 35 defects. The tolerance allows 1 more defects. What is the acceptable range?,36,34,x,y,35,1
Grace collects x acorns. Squirrels steal y acorns. How many acorns does Grace have now?,x,The quality check finds 33 defects. The tolerance allows 2 more defects. What is the acceptable range?,35,31,x,y,33,2
