clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x bags with y apples in each. How many apples does Jack have total?,x,The course offers 9 credit hours. Jack adds 1 audit hours. What is the total course load?,10,9,x,y,9,1
Jack has x bags with y apples in each. How many apples does Jack have total?,x,The course offers 17 credit hours. Jack adds 8 audit hours. What is the total course load?,25,136,x,y,17,8
"There are x classrooms, each with y students. How many students total?",x,Amelia catches 49 fireflies. Their jar attracts 35 more fireflies. How many fireflies does Amelia have now?,84,1715,x,y,49,35
"There are x classrooms, each with y students. How many students total?",x,Amelia catches 29 fireflies. Their jar attracts 2 more fireflies. How many fireflies does Amelia have now?,31,58,x,y,29,2
"A baker prepares x trays, each with y cookies. What is the total number?",x,The itinerary includes 16 cities. Last-minute changes add 9 cities. What is the new plan?,25,144,x,y,16,9
"A baker prepares x trays, each with y cookies. What is the total number?",x,The itinerary includes 37 cities. Last-minute changes add 13 cities. What is the new plan?,50,481,x,y,37,13
"A book has x chapters, each with y pages. How many pages total?",x,The parking lot has 36 spaces. 27 reserved spaces are added. What is the new capacity?,63,972,x,y,36,27
"A book has x chapters, each with y pages. How many pages total?",x,The parking lot has 46 spaces. 28 reserved spaces are added. What is the new capacity?,74,1288,x,y,46,28
Each of x boxes contains y pencils. What is the total count?,x,The train makes 15 stops. The schedule adds 13 express stops. What is the updated itinerary?,28,195,x,y,15,13
Each of x boxes contains y pencils. What is the total count?,x,The train makes 7 stops. The schedule adds 4 express stops. What is the updated itinerary?,11,28,x,y,7,4
Zoe reads x pages every hour for y hours. How many pages total?,x,Zoe owns 24 paintbrushes. Their teacher gives them 20 new paintbrushes. How many paintbrushes does Zoe have now?,44,480,x,y,24,20
Zoe reads x pages every hour for y hours. How many pages total?,x,Zoe owns 48 paintbrushes. Their teacher gives them 30 new paintbrushes. How many paintbrushes does Zoe have now?,78,1440,x,y,48,30
A machine produces x widgets every minute for y minutes. What's the total?,x,The pool contains 26 gallons. The hose adds 3 more gallons. What is the total volume?,29,78,x,y,26,3
A machine produces x widgets every minute for y minutes. What's the total?,x,The pool contains 42 gallons. The hose adds 40 more gallons. What is the total volume?,82,1680,x,y,42,40
A printer prints x pages every minute. How many pages in y minutes?,x,The lake contains 47 fish. Stocking adds 5 more fish. What is the new population?,52,235,x,y,47,5
A printer prints x pages every minute. How many pages in y minutes?,x,The lake contains 16 fish. Stocking adds 13 more fish. What is the new population?,29,208,x,y,16,13
A car travels x miles every gallon. How far can it go on y gallons?,x,The bakery prepares 16 loaves. The afternoon batch makes 14 more loaves. What is the total production?,30,224,x,y,16,14
A car travels x miles every gallon. How far can it go on y gallons?,x,The bakery prepares 42 loaves. The afternoon batch makes 24 more loaves. What is the total production?,66,1008,x,y,42,24
William earns $x per hour and works y hours. What are the total earnings?,x,The shopping list has 19 items. William remembers 3 more items. What is the updated list count?,22,57,x,y,19,3
William earns $x per hour and works y hours. What are the total earnings?,x,The shopping list has 36 items. William remembers 16 more items. What is the updated list count?,52,576,x,y,36,16
A garden has x rows with y plants per row. How many plants total?,x,The project has 19 tasks. The scope expands by 18 tasks. What is the new workload?,37,342,x,y,19,18
A garden has x rows with y plants per row. How many plants total?,x,The project has 22 tasks. The scope expands by 2 tasks. What is the new workload?,24,44,x,y,22,2
"A parking lot has x rows, each holding y cars. How many cars total?",x,Nora collects 15 action figures. A new series releases 10 more figures. How many action figures does Nora have now?,25,150,x,y,15,10
"A parking lot has x rows, each holding y cars. How many cars total?",x,Nora collects 15 action figures. A new series releases 11 more figures. How many action figures does Nora have now?,26,165,x,y,15,11
A quilt has x squares along its length and y squares across. How many total?,x,Daniel owns 43 comic books. A friend gives them 30 more comic books. How many comic books does Daniel have now?,73,1290,x,y,43,30
A quilt has x squares along its length and y squares across. How many total?,x,Daniel owns 10 comic books. A friend gives them 4 more comic books. How many comic books does Daniel have now?,14,40,x,y,10,4
Each of x rows contains y desks. How many desks total?,x,Henry receives 18 stickers for good behavior. The principal awards them 14 more stickers. How many stickers does Henry have now?,32,252,x,y,18,14
Each of x rows contains y desks. How many desks total?,x,Henry receives 25 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Henry have now?,33,200,x,y,25,8
"A bookshelf has x shelves, each holding y books. How many books total?",x,Grace collects 7 acorns. Their friend finds 1 more acorns for them. How many acorns does Grace have now?,8,7,x,y,7,1
"A bookshelf has x shelves, each holding y books. How many books total?",x,Grace collects 42 acorns. Their friend finds 11 more acorns for them. How many acorns does Grace have now?,53,462,x,y,42,11
Tickets cost $x each. Alexander buys y tickets. What's the total cost?,x,The item costs 6 dollars. The price increases by 4 dollars. What is the new cost?,10,24,x,y,6,4
Tickets cost $x each. Alexander buys y tickets. What's the total cost?,x,The item costs 31 dollars. The price increases by 17 dollars. What is the new cost?,48,527,x,y,31,17
Each candy bag costs $x. How much for y bags?,x,The team has 48 timeouts. The official grants 8 additional timeouts. What is the new allowance?,56,384,x,y,48,8
Each candy bag costs $x. How much for y bags?,x,The team has 50 timeouts. The official grants 18 additional timeouts. What is the new allowance?,68,900,x,y,50,18
A toy is priced at $x each. How much for y toys?,x,The farm has 20 chickens. New hatchlings increase the flock by 14. What is the new population?,34,280,x,y,20,14
A toy is priced at $x each. How much for y toys?,x,The farm has 34 chickens. New hatchlings increase the flock by 7. What is the new population?,41,238,x,y,34,7
Apples cost $x per apple. How much for y apples?,x,Jacob's account shows 42 dollars. A deposit of 33 dollars is added. What is the new balance?,75,1386,x,y,42,33
Apples cost $x per apple. How much for y apples?,x,Jacob's account shows 11 dollars. A deposit of 6 dollars is added. What is the new balance?,17,66,x,y,11,6
A subscription costs $x monthly. What's the cost for y months?,x,The quality check finds 35 defects. The tolerance allows 1 more defects. What is the acceptable range?,36,35,x,y,35,1
A subscription costs $x monthly. What's the cost for y months?,x,The quality check finds 33 defects. The tolerance allows 2 more defects. What is the acceptable range?,35,66,x,y,33,2
A car drives x miles every hour for y hours. How far does it go?,x,Nathan has 21 hockey pucks. Their teammate shares 8 more hockey pucks. How many hockey pucks does Nathan have now?,29,168,x,y,21,8
A car drives x miles every hour for y hours. How far does it go?,x,Nathan has 38 hockey pucks. Their teammate shares 6 more hockey pucks. How many hockey pucks does Nathan have now?,44,228,x,y,38,6
A plane flies x miles per hour. How far in y hours?,x,The wall needs 6 bricks. The design change requires 5 more bricks. What is the new count?,11,30,x,y,6,5
A plane flies x miles per hour. How far in y hours?,x,The wall needs 44 bricks. The design change requires 31 more bricks. What is the new count?,75,1364,x,y,44,31
A runner maintains x km every hour. How far in y hours?,x,Nora owns 35 tennis balls. The club gives them 28 new tennis balls. How many tennis balls does Nora have now?,63,980,x,y,35,28
A runner maintains x km every hour. How far in y hours?,x,Nora owns 50 tennis balls. The club gives them 47 new tennis balls. How many tennis balls does Nora have now?,97,2350,x,y,50,47
A train travels x kilometers per hour. How far does it go in y hours?,x,The job estimates 21 hours of labor. Complications add 13 hours. What is the new estimate?,34,273,x,y,21,13
A train travels x kilometers per hour. How far does it go in y hours?,x,The job estimates 25 hours of labor. Complications add 15 hours. What is the new estimate?,40,375,x,y,25,15
A cyclist averages x miles every hour. How far in y hours?,x,The machine processes 39 items daily. Maintenance increases capacity by 15 items. What is the new rate?,54,585,x,y,39,15
A cyclist averages x miles every hour. How far in y hours?,x,The machine processes 6 items daily. Maintenance increases capacity by 1 items. What is the new rate?,7,6,x,y,6,1
A recipe requires x cups of flour per batch. Chloe makes y batches. How much flour?,x,The puzzle has 17 pieces. The deluxe edition adds 9 more pieces. What is the new challenge?,26,153,x,y,17,9
A recipe requires x cups of flour per batch. Chloe makes y batches. How much flour?,x,The puzzle has 10 pieces. The deluxe edition adds 8 more pieces. What is the new challenge?,18,80,x,y,10,8
Each cake needs x eggs. How many eggs for y cakes?,x,The therapy lasts 28 weeks. The extension adds 7 more weeks. What is the new duration?,35,196,x,y,28,7
