clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 apples to divide equally into 3 bags. How many apples go in each bag?,2,The course offers 9 credit hours. Jack drops 1 credit hours. How many credits remain?,8,9,6,3,9,1
Jack has 26 apples to divide equally into 2 bags. How many apples go in each bag?,13,The course offers 17 credit hours. Jack drops 8 credit hours. How many credits remain?,9,2,26,2,17,8
14 students are divided equally into 14 classrooms. How many in each?,1,Amelia catches 49 fireflies. They release 35 fireflies. How many fireflies does Amelia have now?,14,1,14,14,49,35
39 students are divided equally into 3 classrooms. How many in each?,13,Amelia catches 29 fireflies. They release 2 fireflies. How many fireflies does Amelia have now?,27,14,39,3,29,2
A baker divides 24 cookies equally among 4 trays. How many per tray?,6,"The itinerary includes 16 cities. After visiting 9 cities, how many remain?",7,1,24,4,16,9
A baker divides 44 cookies equally among 11 trays. How many per tray?,4,"The itinerary includes 37 cities. After visiting 13 cities, how many remain?",24,2,44,11,37,13
A book's 48 pages are divided equally into 4 chapters. How many per chapter?,12,The parking lot has 36 cars. 27 cars leave the lot. How many spaces are still occupied?,9,1,48,4,36,27
A book's 46 pages are divided equally into 46 chapters. How many per chapter?,1,The parking lot has 46 cars. 28 cars leave the lot. How many spaces are still occupied?,18,1,46,46,46,28
40 pencils are packaged equally in 8 boxes. How many in each box?,5,"The train makes 15 stops. After 13 stops, how many remain on the route?",2,1,40,8,15,13
28 pencils are packaged equally in 14 boxes. How many in each box?,2,"The train makes 7 stops. After 4 stops, how many remain on the route?",3,1,28,14,7,4
Zoe read 39 pages over 3 hours. What was the hourly rate?,13,Zoe owns 24 paintbrushes. Their teacher collects 20 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,4,1,39,3,24,20
Zoe read 28 pages over 14 hours. What was the hourly rate?,2,Zoe owns 48 paintbrushes. Their teacher collects 30 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,18,1,28,14,48,30
A machine made 32 widgets in 32 minutes. What was its per-minute rate?,1,The pool contains 26 gallons. Benjamin drains 3 gallons for cleaning. What volume remains?,23,8,32,32,26,3
A machine made 36 widgets in 3 minutes. What was its per-minute rate?,12,The pool contains 42 gallons. Benjamin drains 40 gallons for cleaning. What volume remains?,2,1,36,3,42,40
A printer produced 33 pages during 11 minutes. How many per minute?,3,The lake contains 47 fish. 5 fish are caught. How many fish remain?,42,9,33,11,47,5
A printer produced 27 pages during 27 minutes. How many per minute?,1,The lake contains 16 fish. 13 fish are caught. How many fish remain?,3,1,27,27,16,13
A car went 46 miles using 2 gallons. What was the mileage per gallon?,23,The bakery prepares 16 loaves. Customers purchase 14 loaves. How many loaves are left?,2,1,46,2,16,14
A car went 36 miles using 2 gallons. What was the mileage per gallon?,18,The bakery prepares 42 loaves. Customers purchase 24 loaves. How many loaves are left?,18,1,36,2,42,24
William earned $30 by working 3 hours. What was the hourly wage?,10,The shopping list has 19 items. William crosses off 3 items. How many items remain?,16,6,30,3,19,3
William earned $48 by working 16 hours. What was the hourly wage?,3,The shopping list has 36 items. William crosses off 16 items. How many items remain?,20,2,48,16,36,16
24 plants are arranged in 12 equal rows. How many plants per row?,2,The project has 19 tasks. Henry completes 18 tasks. How many tasks remain?,1,1,24,12,19,18
12 plants are arranged in 4 equal rows. How many plants per row?,3,The project has 22 tasks. Henry completes 2 tasks. How many tasks remain?,20,11,12,4,22,2
14 cars are parked in 7 equal rows. How many cars per row?,2,Nora collects 15 action figures. They trade away 10 figures. How many action figures does Nora have now?,5,1,14,7,15,10
28 cars are parked in 14 equal rows. How many cars per row?,2,Nora collects 15 action figures. They trade away 11 figures. How many action figures does Nora have now?,4,1,28,14,15,11
A quilt's 20 squares are arranged in 2 equal columns. How many per column?,10,Daniel owns 43 comic books. A friend borrows 30 comic books. How many comic books does Daniel have now?,13,1,20,2,43,30
A quilt's 34 squares are arranged in 2 equal columns. How many per column?,17,Daniel owns 10 comic books. A friend borrows 4 comic books. How many comic books does Daniel have now?,6,2,34,2,10,4
12 desks are arranged in 2 equal rows. How many desks per row?,6,Henry receives 18 stickers for good behavior. The principal revokes 14 stickers. How many stickers does Henry have now?,4,1,12,2,18,14
20 desks are arranged in 5 equal rows. How many desks per row?,4,Henry receives 25 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Henry have now?,17,3,20,5,25,8
20 books are placed equally on 2 shelves. How many books per shelf?,10,Grace collects 7 acorns. Squirrels steal 1 acorns. How many acorns does Grace have now?,6,7,20,2,7,1
36 books are placed equally on 3 shelves. How many books per shelf?,12,Grace collects 42 acorns. Squirrels steal 11 acorns. How many acorns does Grace have now?,31,3,36,3,42,11
Alexander spent $32 on 4 equally priced tickets. What was the price per ticket?,8,The item costs 4 dollars. Alexander pays with 6 dollars. What is the amount to be returned?,2,1,32,4,6,4
Alexander spent $24 on 12 equally priced tickets. What was the price per ticket?,2,The item costs 17 dollars. Alexander pays with 31 dollars. What is the amount to be returned?,14,1,24,12,31,17
Matthew paid $36 for 18 candy bags. What was the per-bag price?,2,The team has 48 timeouts. They call 8 timeouts. How many timeouts remain?,40,6,36,18,48,8
Matthew paid $10 for 10 candy bags. What was the per-bag price?,1,The team has 50 timeouts. They call 18 timeouts. How many timeouts remain?,32,2,10,10,50,18
Henry spent $30 on 30 identical toys. What was each toy's price?,1,The farm has 20 chickens. Henry sells 14 chickens at market. How many chickens remain?,6,1,30,30,20,14
Henry spent $44 on 2 identical toys. What was each toy's price?,22,The farm has 34 chickens. Henry sells 7 chickens at market. How many chickens remain?,27,4,44,2,34,7
3 apples cost $18 altogether. What's the price per apple?,6,"Jacob's account shows 42 dollars. After a purchase of 33 dollars, what is the current balance?",9,1,18,3,42,33
2 apples cost $18 altogether. What's the price per apple?,9,"Jacob's account shows 11 dollars. After a purchase of 6 dollars, what is the current balance?",5,1,18,2,11,6
Amelia paid $46 for 2 months of service. What was the monthly rate?,23,The quality check finds 1 defects in 35 items. How many items pass inspection?,34,35,46,2,35,1
Amelia paid $39 for 13 months of service. What was the monthly rate?,3,The quality check finds 2 defects in 33 items. How many items pass inspection?,31,16,39,13,33,2
A car traveled 36 miles in 18 hours. What was its speed in mph?,2,Nathan has 21 hockey pucks. Their teammate borrows 8 hockey pucks. How many hockey pucks does Nathan have now?,13,2,36,18,21,8
A car traveled 24 miles in 6 hours. What was its speed in mph?,4,Nathan has 38 hockey pucks. Their teammate borrows 6 hockey pucks. How many hockey pucks does Nathan have now?,32,6,24,6,38,6
A plane covered 43 miles over 43 hours. What was its speed?,1,The wall needs 6 bricks. Benjamin lays 5 bricks. How many bricks remain?,1,1,43,43,6,5
A plane covered 9 miles over 3 hours. What was its speed?,3,The wall needs 44 bricks. Benjamin lays 31 bricks. How many bricks remain?,13,1,9,3,44,31
A runner completed 18 km in 18 hours. What was the pace?,1,Nora owns 35 tennis balls. The club replaces 28 old tennis balls. How many tennis balls does Nora have now?,7,1,18,18,35,28
A runner completed 39 km in 3 hours. What was the pace?,13,Nora owns 50 tennis balls. The club replaces 47 old tennis balls. How many tennis balls does Nora have now?,3,1,39,3,50,47
A train went 36 km during 4 hours. What was its speed?,9,"The job estimates 21 hours of labor. After 13 hours, how much work remains?",8,1,36,4,21,13
A train went 50 km during 2 hours. What was its speed?,25,"The job estimates 25 hours of labor. After 15 hours, how much work remains?",10,1,50,2,25,15
A cyclist rode 26 miles over 26 hours. What was the average speed?,1,The machine processes 39 items daily. 15 items complete. How many items remain?,24,2,26,26,39,15
A cyclist rode 4 miles over 2 hours. What was the average speed?,2,The machine processes 6 items daily. 1 items complete. How many items remain?,5,6,4,2,6,1
Chloe has 46 cups of flour to make 2 batches. How much per batch?,23,The puzzle has 17 pieces. Chloe connects 9 pieces. How many pieces remain?,8,1,46,2,17,9
Chloe has 33 cups of flour to make 3 batches. How much per batch?,11,The puzzle has 10 pieces. Chloe connects 8 pieces. How many pieces remain?,2,1,33,3,10,8
2 cakes used 40 eggs total. How many eggs per cake?,20,"The therapy lasts 28 weeks. After 7 weeks, how much longer will it continue?",21,4,40,2,28,7
20 cakes used 40 eggs total. How many eggs per cake?,2,"The therapy lasts 44 weeks. After 28 weeks, how much longer will it continue?",16,1,40,20,44,28
4 cookies used 44 chips altogether. What's the average per cookie?,11,The cleanup targets 31 tons of waste. Volunteers remove 28 tons. How much waste remains?,3,1,44,4,31,28
11 cookies used 44 chips altogether. What's the average per cookie?,4,The cleanup targets 45 tons of waste. Volunteers remove 42 tons. How much waste remains?,3,1,44,11,45,42
5 servings used 30 ounces total. How much per serving?,6,Isla saves 27 coins. Their piggybank loses 24 coins. How many coins does Isla have now?,3,1,30,5,27,24
25 servings used 50 ounces total. How much per serving?,2,Isla saves 14 coins. Their piggybank loses 9 coins. How many coins does Isla have now?,5,1,50,25,14,9
2 bowls used 20 liters total. What was the amount per bowl?,10,Henry has 13 crayons. Their art set is missing 5 crayons. How many crayons does Henry have now?,8,2,20,2,13,5
15 bowls used 45 liters total. What was the amount per bowl?,3,Henry has 37 crayons. Their art set is missing 7 crayons. How many crayons does Henry have now?,30,5,45,15,37,7
Isla earned $50 by working 5 hours. What was the hourly pay?,10,Isla makes 50 sandwiches. Their friends eat 16 sandwiches. How many sandwiches does Isla have now?,34,3,50,5,50,16
Isla earned $42 by working 42 hours. What was the hourly pay?,1,Isla makes 33 sandwiches. Their friends eat 31 sandwiches. How many sandwiches does Isla have now?,2,1,42,42,33,31
A worker earned $34 from 34 items. What was the per-item rate?,1,James finds 26 seashells at the beach. The tide washes away 1 seashells. How many seashells does James have now?,25,26,34,34,26,1
A worker earned $25 from 25 items. What was the per-item rate?,1,James finds 31 seashells at the beach. The tide washes away 10 seashells. How many seashells does James have now?,21,3,25,25,31,10
8 projects earned $48 total. What was the average per project?,6,"The store stocks 37 phones. By closing, 32 phones are sold. What is the remaining inventory?",5,1,48,8,37,32
6 projects earned $12 total. What was the average per project?,2,"The store stocks 20 phones. By closing, 7 phones are sold. What is the remaining inventory?",13,2,12,6,20,7
A consultant's 11 days of work cost $11. What was the daily rate?,1,Harper has 5 building blocks. Their sibling takes 4 blocks from their tower. How many blocks does Harper have now?,1,1,11,11,5,4
A consultant's 8 days of work cost $16. What was the daily rate?,2,Harper has 13 building blocks. Their sibling takes 2 blocks from their tower. How many blocks does Harper have now?,11,6,16,8,13,2
47 overtime hours earned $47. What was the overtime rate?,1,Benjamin has 17 hats. Their collection decreases by 13 hats. How many hats does Benjamin have now?,4,1,47,47,17,13
27 overtime hours earned $27. What was the overtime rate?,1,Benjamin has 39 hats. Their collection decreases by 3 hats. How many hats does Benjamin have now?,36,13,27,27,39,3
39 oranges are packed equally in 3 crates. How many per crate?,13,The collection contains 44 coins. Michael sells 38 coins. How many coins remain?,6,1,39,3,44,38
46 oranges are packed equally in 23 crates. How many per crate?,2,The collection contains 22 coins. Michael sells 9 coins. How many coins remain?,13,2,46,23,22,9
15 cartons hold 30 eggs total. How many eggs per carton?,2,The concert starts in 43 minutes. Thomas needs 20 minutes to get ready. What is the latest possible departure time?,23,2,30,15,43,20
35 cartons hold 35 eggs total. How many eggs per carton?,1,The concert starts in 50 minutes. Thomas needs 5 minutes to get ready. What is the latest possible departure time?,45,10,35,35,50,5
10 jars have 40 marbles total. What's the average per jar?,4,Daniel has 18 basketballs. Their team donates 5 basketballs. How many basketballs does Daniel have now?,13,3,40,10,18,5
13 jars have 26 marbles total. What's the average per jar?,2,Daniel has 17 basketballs. Their team donates 12 basketballs. How many basketballs does Daniel have now?,5,1,26,13,17,12
2 cases contain 6 bottles total. How many per case?,3,Amelia collects 36 mangoes. They share 20 mangoes with their neighbor. How many mangoes does Amelia have now?,16,1,6,2,36,20
2 cases contain 48 bottles total. How many per case?,24,Amelia collects 44 mangoes. They share 7 mangoes with their neighbor. How many mangoes does Amelia have now?,37,6,48,2,44,7
6 packets contain 24 seeds total. How many seeds per packet?,4,Amelia has 37 sketchbooks. Their parents archive 10 old sketchbooks. How many sketchbooks does Amelia have now?,27,3,24,6,37,10
2 packets contain 12 seeds total. How many seeds per packet?,6,Amelia has 40 sketchbooks. Their parents archive 14 old sketchbooks. How many sketchbooks does Amelia have now?,26,2,12,2,40,14
11 tasks took 11 minutes total. What was the average time per task?,1,The reserve protects 45 acres. Development reduces it by 41 acres. What is the current size?,4,1,11,11,45,41
8 tasks took 32 minutes total. What was the average time per task?,4,The reserve protects 33 acres. Development reduces it by 17 acres. What is the current size?,16,1,32,8,33,17
5 units were made in 25 hours total. What was the time per unit?,5,The recipe calls for 19 grams of flour. William uses 2 grams. How much flour remains?,17,9,25,5,19,2
3 units were made in 24 hours total. What was the time per unit?,8,The recipe calls for 37 grams of flour. William uses 1 grams. How much flour remains?,36,37,24,3,37,1
12 questions took 48 minutes altogether. What was the average time?,4,"The oven needs 39 minutes to preheat. After 36 minutes, how much longer is needed?",3,1,48,12,39,36
6 questions took 42 minutes altogether. What was the average time?,7,"The oven needs 10 minutes to preheat. After 1 minutes, how much longer is needed?",9,10,42,6,10,1
A machine completed 37 items over 37 hours. What was its processing rate?,1,"Amelia counts 17 birds in the morning. By afternoon, 4 birds fly away. How many birds does Amelia see now?",13,4,37,37,17,4
A machine completed 14 items over 2 hours. What was its processing rate?,7,"Amelia counts 28 birds in the morning. By afternoon, 20 birds fly away. How many birds does Amelia see now?",8,1,14,2,28,20
2 customers were served in 34 minutes. What was the average service time?,17,Olivia owns 17 toy cars. They donate 6 toy cars to charity. How many toy cars does Olivia have now?,11,2,34,2,17,6
2 customers were served in 38 minutes. What was the average service time?,19,Olivia owns 49 toy cars. They donate 22 toy cars to charity. How many toy cars does Olivia have now?,27,2,38,2,49,22
A team scored 14 points over 7 games. What was their average?,2,Daniel brings 49 dollars to the store. They spend 16 dollars. What amount remains?,33,3,14,7,49,16
A team scored 36 points over 36 games. What was their average?,1,Daniel brings 46 dollars to the store. They spend 7 dollars. What amount remains?,39,6,36,36,46,7
A player got 15 rebounds in 3 games. What was the average?,5,The shipment contains 32 products. 8 products are damaged. How many are intact?,24,4,15,3,32,8
A player got 22 rebounds in 2 games. What was the average?,11,The shipment contains 24 products. 10 products are damaged. How many are intact?,14,2,22,2,24,10
8 innings had 40 runs total. What was the average per inning?,5,"The generator provides 44 hours of power. After 13 hours, how much runtime remains?",31,3,40,8,44,13
3 innings had 39 runs total. What was the average per inning?,13,"The generator provides 19 hours of power. After 12 hours, how much runtime remains?",7,1,39,3,19,12
A player made 41 free throws over 41 games. What was the average?,1,"The bus has 23 passengers. At the stop, 1 passengers exit. How many continue the ride?",22,23,41,41,23,1
A player made 12 free throws over 3 games. What was the average?,4,"The bus has 13 passengers. At the stop, 10 passengers exit. How many continue the ride?",3,1,12,3,13,10
A team conceded 14 goals during 7 matches. What was the average?,2,The fitness goal is 24 steps daily. Daniel records 11 steps. How many more steps are needed?,13,2,14,7,24,11
A team conceded 46 goals during 23 matches. What was the average?,2,The fitness goal is 34 steps daily. Daniel records 8 steps. How many more steps are needed?,26,4,46,23,34,8
Matthew completed 25 paintings over 5 months. How many paintings per month on average?,5,The download requires 47 megabytes. 28 megabytes complete. How much data remains?,19,1,25,5,47,28
Matthew completed 37 paintings over 37 months. How many paintings per month on average?,1,The download requires 41 megabytes. 21 megabytes complete. How much data remains?,20,1,37,37,41,21
Lily used 24 pounds of clay for 3 sculptures. How much clay per sculpture?,8,The prescription has 21 doses. Lily takes 17 doses. How many doses remain?,4,1,24,3,21,17
Lily used 20 pounds of clay for 4 sculptures. How much clay per sculpture?,5,The prescription has 22 doses. Lily takes 13 doses. How many doses remain?,9,1,20,4,22,13
The troupe performed 36 shows across 6 cities. What was their average shows per city?,6,The warehouse has 28 boxes. Jacob ships out 22 boxes. How many boxes remain stored?,6,1,36,6,28,22
The troupe performed 40 shows across 20 cities. What was their average shows per city?,2,The warehouse has 49 boxes. Jacob ships out 12 boxes. How many boxes remain stored?,37,4,40,20,49,12
The art department has 48 paint tubes to share equally among 3 classes. How many per class?,16,Ava has 29 apples. Their friend takes 26 apples. How many apples does Ava have now?,3,1,48,3,29,26
The art department has 18 paint tubes to share equally among 18 classes. How many per class?,1,Ava has 31 apples. Their friend takes 15 apples. How many apples does Ava have now?,16,2,18,18,31,15
Henry wrote 24 poetry lines over 4 days. What was the average daily output?,6,The event budget is 34 dollars. 31 dollars are spent. How much remains?,3,1,24,4,34,31
Henry wrote 48 poetry lines over 24 days. What was the average daily output?,2,The event budget is 44 dollars. 6 dollars are spent. How much remains?,38,7,48,24,44,6
The theater used 30 yards of fabric for 30 seats. How much fabric per seat?,1,The library has 45 available books. Harper checks out 20 books. How many stay on shelves?,25,2,30,30,45,20
The theater used 9 yards of fabric for 3 seats. How much fabric per seat?,3,The library has 41 available books. Harper checks out 5 books. How many stay on shelves?,36,8,9,3,41,5
The band sold 44 albums over 4 concerts. What was their average sales per concert?,11,Ethan brings 42 soccer balls to practice. The league redistributes 37 soccer balls. How many soccer balls does Ethan have now?,5,1,44,4,42,37
The band sold 19 albums over 19 concerts. What was their average sales per concert?,1,Ethan brings 46 soccer balls to practice. The league redistributes 25 soccer balls. How many soccer balls does Ethan have now?,21,1,19,19,46,25
Emma covered 12 square inches with 4 tiles. What was the average coverage per tile?,3,Emma has 46 t-shirts. Their laundry loses 1 t-shirts. How many t-shirts does Emma have now?,45,46,12,4,46,1
Emma covered 11 square inches with 11 tiles. What was the average coverage per tile?,1,Emma has 29 t-shirts. Their laundry loses 8 t-shirts. How many t-shirts does Emma have now?,21,3,11,11,29,8
The crew shot 25 scenes over 5 days. What was their average daily scenes?,5,Ella has 31 pairs of shoes. Their family replaces 2 old pairs of shoes. How many pairs of shoes does Ella have now?,29,15,25,5,31,2
The crew shot 16 scenes over 2 days. What was their average daily scenes?,8,Ella has 9 pairs of shoes. Their family replaces 8 old pairs of shoes. How many pairs of shoes does Ella have now?,1,1,16,2,9,8
Nathan has 26 rings to distribute equally among 13 boxes. How many rings per box?,2,The container holds 50 liters. Nathan pours out 29 liters. What is the remaining capacity?,21,1,26,13,50,29
Nathan has 50 rings to distribute equally among 2 boxes. How many rings per box?,25,The container holds 29 liters. Nathan pours out 27 liters. What is the remaining capacity?,2,1,50,2,29,27
The hive produced 38 ounces of honey over 38 days. What was the average daily yield?,1,"The schedule allows 30 minutes per speaker. After 9 minutes, how much time remains?",21,3,38,38,30,9
