clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,The course offers 9 credit hours. Jack drops 1 credit hours. How many credits remain?,8,10,x,y,9,1
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,The course offers 17 credit hours. Jack drops 8 credit hours. How many credits remain?,9,25,x,y,17,8
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,Chloe catches 49 fireflies. They release 35 fireflies. How many fireflies does Chloe have now?,14,84,x,y,49,35
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,Chloe catches 29 fireflies. They release 2 fireflies. How many fireflies does Chloe have now?,27,31,x,y,29,2
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,"The itinerary includes 16 cities. After visiting 9 cities, how many remain?",7,25,x,y,16,9
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,"The itinerary includes 37 cities. After visiting 13 cities, how many remain?",24,50,x,y,37,13
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,The parking lot has 36 cars. 27 cars leave the lot. How many spaces are still occupied?,9,63,x,y,36,27
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,The parking lot has 46 cars. 28 cars leave the lot. How many spaces are still occupied?,18,74,x,y,46,28
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,"The train makes 15 stops. After 13 stops, how many remain on the route?",2,28,x,y,15,13
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,"The train makes 7 stops. After 4 stops, how many remain on the route?",3,11,x,y,7,4
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,Nora owns 24 paintbrushes. Their teacher collects 20 paintbrushes for cleaning. How many paintbrushes does Nora have now?,4,44,x,y,24,20
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,Nora owns 48 paintbrushes. Their teacher collects 30 paintbrushes for cleaning. How many paintbrushes does Nora have now?,18,78,x,y,48,30
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,The pool contains 26 gallons. Isla drains 3 gallons for cleaning. What volume remains?,23,29,x,y,26,3
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,The pool contains 42 gallons. Isla drains 40 gallons for cleaning. What volume remains?,2,82,x,y,42,40
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,The lake contains 47 fish. 5 fish are caught. How many fish remain?,42,52,x,y,47,5
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,The lake contains 16 fish. 13 fish are caught. How many fish remain?,3,29,x,y,16,13
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,The bakery prepares 16 loaves. Customers purchase 14 loaves. How many loaves are left?,2,30,x,y,16,14
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,The bakery prepares 42 loaves. Customers purchase 24 loaves. How many loaves are left?,18,66,x,y,42,24
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,The shopping list has 19 items. Chloe crosses off 3 items. How many items remain?,16,22,x,y,19,3
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,The shopping list has 36 items. Chloe crosses off 16 items. How many items remain?,20,52,x,y,36,16
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,The project has 19 tasks. Jacob completes 18 tasks. How many tasks remain?,1,37,x,y,19,18
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,The project has 22 tasks. Jacob completes 2 tasks. How many tasks remain?,20,24,x,y,22,2
