clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,The course offers 9 credit hours. Jack adds 1 audit hours. What is the total course load?,10,9,x,y,9,1
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,The course offers 17 credit hours. Jack adds 8 audit hours. What is the total course load?,25,2,x,y,17,8
x students are divided equally into y classrooms. How many in each?,x,Amelia catches 49 fireflies. Their jar attracts 35 more fireflies. How many fireflies does Amelia have now?,84,1,x,y,49,35
x students are divided equally into y classrooms. How many in each?,x,Amelia catches 29 fireflies. Their jar attracts 2 more fireflies. How many fireflies does Amelia have now?,31,14,x,y,29,2
A baker divides x cookies equally among y trays. How many per tray?,x,The itinerary includes 16 cities. Last-minute changes add 9 cities. What is the new plan?,25,1,x,y,16,9
A baker divides x cookies equally among y trays. How many per tray?,x,The itinerary includes 37 cities. Last-minute changes add 13 cities. What is the new plan?,50,2,x,y,37,13
A book's x pages are divided equally into y chapters. How many per chapter?,x,The parking lot has 36 spaces. 27 reserved spaces are added. What is the new capacity?,63,1,x,y,36,27
A book's x pages are divided equally into y chapters. How many per chapter?,x,The parking lot has 46 spaces. 28 reserved spaces are added. What is the new capacity?,74,1,x,y,46,28
x pencils are packaged equally in y boxes. How many in each box?,x,The train makes 15 stops. The schedule adds 13 express stops. What is the updated itinerary?,28,1,x,y,15,13
x pencils are packaged equally in y boxes. How many in each box?,x,The train makes 7 stops. The schedule adds 4 express stops. What is the updated itinerary?,11,1,x,y,7,4
Zoe read x pages over y hours. What was the hourly rate?,x,Zoe owns 24 paintbrushes. Their teacher gives them 20 new paintbrushes. How many paintbrushes does Zoe have now?,44,1,x,y,24,20
Zoe read x pages over y hours. What was the hourly rate?,x,Zoe owns 48 paintbrushes. Their teacher gives them 30 new paintbrushes. How many paintbrushes does Zoe have now?,78,1,x,y,48,30
A machine made x widgets in y minutes. What was its per-minute rate?,x,The pool contains 26 gallons. The hose adds 3 more gallons. What is the total volume?,29,8,x,y,26,3
A machine made x widgets in y minutes. What was its per-minute rate?,x,The pool contains 42 gallons. The hose adds 40 more gallons. What is the total volume?,82,1,x,y,42,40
A printer produced x pages during y minutes. How many per minute?,x,The lake contains 47 fish. Stocking adds 5 more fish. What is the new population?,52,9,x,y,47,5
A printer produced x pages during y minutes. How many per minute?,x,The lake contains 16 fish. Stocking adds 13 more fish. What is the new population?,29,1,x,y,16,13
A car went x miles using y gallons. What was the mileage per gallon?,x,The bakery prepares 16 loaves. The afternoon batch makes 14 more loaves. What is the total production?,30,1,x,y,16,14
A car went x miles using y gallons. What was the mileage per gallon?,x,The bakery prepares 42 loaves. The afternoon batch makes 24 more loaves. What is the total production?,66,1,x,y,42,24
William earned $x by working y hours. What was the hourly wage?,x,The shopping list has 19 items. William remembers 3 more items. What is the updated list count?,22,6,x,y,19,3
William earned $x by working y hours. What was the hourly wage?,x,The shopping list has 36 items. William remembers 16 more items. What is the updated list count?,52,2,x,y,36,16
x plants are arranged in y equal rows. How many plants per row?,x,The project has 19 tasks. The scope expands by 18 tasks. What is the new workload?,37,1,x,y,19,18
x plants are arranged in y equal rows. How many plants per row?,x,The project has 22 tasks. The scope expands by 2 tasks. What is the new workload?,24,11,x,y,22,2
x cars are parked in y equal rows. How many cars per row?,x,Nora collects 15 action figures. A new series releases 10 more figures. How many action figures does Nora have now?,25,1,x,y,15,10
x cars are parked in y equal rows. How many cars per row?,x,Nora collects 15 action figures. A new series releases 11 more figures. How many action figures does Nora have now?,26,1,x,y,15,11
A quilt's x squares are arranged in y equal columns. How many per column?,x,Daniel owns 43 comic books. A friend gives them 30 more comic books. How many comic books does Daniel have now?,73,1,x,y,43,30
A quilt's x squares are arranged in y equal columns. How many per column?,x,Daniel owns 10 comic books. A friend gives them 4 more comic books. How many comic books does Daniel have now?,14,2,x,y,10,4
x desks are arranged in y equal rows. How many desks per row?,x,Henry receives 18 stickers for good behavior. The principal awards them 14 more stickers. How many stickers does Henry have now?,32,1,x,y,18,14
x desks are arranged in y equal rows. How many desks per row?,x,Henry receives 25 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Henry have now?,33,3,x,y,25,8
x books are placed equally on y shelves. How many books per shelf?,x,Grace collects 7 acorns. Their friend finds 1 more acorns for them. How many acorns does Grace have now?,8,7,x,y,7,1
x books are placed equally on y shelves. How many books per shelf?,x,Grace collects 42 acorns. Their friend finds 11 more acorns for them. How many acorns does Grace have now?,53,3,x,y,42,11
Alexander spent $x on y equally priced tickets. What was the price per ticket?,x,The item costs 6 dollars. The price increases by 4 dollars. What is the new cost?,10,1,x,y,6,4
Alexander spent $x on y equally priced tickets. What was the price per ticket?,x,The item costs 31 dollars. The price increases by 17 dollars. What is the new cost?,48,1,x,y,31,17
Matthew paid $x for y candy bags. What was the per-bag price?,x,The team has 48 timeouts. The official grants 8 additional timeouts. What is the new allowance?,56,6,x,y,48,8
Matthew paid $x for y candy bags. What was the per-bag price?,x,The team has 50 timeouts. The official grants 18 additional timeouts. What is the new allowance?,68,2,x,y,50,18
Henry spent $x on y identical toys. What was each toy's price?,x,The farm has 20 chickens. New hatchlings increase the flock by 14. What is the new population?,34,1,x,y,20,14
Henry spent $x on y identical toys. What was each toy's price?,x,The farm has 34 chickens. New hatchlings increase the flock by 7. What is the new population?,41,4,x,y,34,7
y apples cost $x altogether. What's the price per apple?,x,Jacob's account shows 42 dollars. A deposit of 33 dollars is added. What is the new balance?,75,1,x,y,42,33
y apples cost $x altogether. What's the price per apple?,x,Jacob's account shows 11 dollars. A deposit of 6 dollars is added. What is the new balance?,17,1,x,y,11,6
Amelia paid $x for y months of service. What was the monthly rate?,x,The quality check finds 35 defects. The tolerance allows 1 more defects. What is the acceptable range?,36,35,x,y,35,1
