prompt,gt_answer,operand1,operand2
Jack has 9 apples. Their friend takes 1 apples. How many apples does Jack have now?,8,9,1
Jack has 49 apples. Their friend takes 18 apples. How many apples does Jack have now?,31,49,18
Chloe picks 49 oranges. They drop 35 oranges. How many oranges does Chloe have now?,14,49,35
Chloe picks 7 oranges. They drop 5 oranges. How many oranges does Chloe have now?,2,7,5
Henry buys 16 bananas. The cashier takes back 9 bananas. How many bananas does Henry have now?,7,16,9
Henry buys 40 bananas. The cashier takes back 2 bananas. How many bananas does Henry have now?,38,40,2
Lucas grows 36 strawberries. 27 strawberries get eaten by birds. How many strawberries does Lucas have now?,9,36,27
Lucas grows 39 strawberries. 18 strawberries get eaten by birds. How many strawberries does Lucas have now?,21,39,18
Benjamin collects 15 mangoes. They share 13 mangoes with their neighbor. How many mangoes does Benjamin have now?,2,15,13
Benjamin collects 23 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,19,23,4
Nora has 24 pencils. The teacher collects 20 pencils. How many pencils does Nora have now?,4,24,20
Nora has 18 pencils. The teacher collects 2 pencils. How many pencils does Nora have now?,16,18,2
Isla brings 26 notebooks to class. A classmate borrows 3 notebooks. How many notebooks does Isla have now?,23,26,3
Isla brings 37 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,18,37,19
Henry finds 47 erasers in their desk. They lose 5 erasers. How many erasers does Henry have now?,42,47,5
Henry finds 4 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,1,4,3
Nora has 16 markers. Their art teacher removes 14 markers from their collection. How many markers does Nora have now?,2,16,14
Nora has 19 markers. Their art teacher removes 15 markers from their collection. How many markers does Nora have now?,4,19,15
Chloe receives 19 stickers for good behavior. The principal revokes 3 stickers. How many stickers does Chloe have now?,16,19,3
Chloe receives 40 stickers for good behavior. The principal revokes 11 stickers. How many stickers does Chloe have now?,29,40,11
Jacob owns 19 toy cars. They donate 18 toy cars to charity. How many toy cars does Jacob have now?,1,19,18
Jacob owns 16 toy cars. They donate 11 toy cars to charity. How many toy cars does Jacob have now?,5,16,11
William has 15 building blocks. Their sibling takes 10 blocks from their tower. How many blocks does William have now?,5,15,10
William has 47 building blocks. Their sibling takes 21 blocks from their tower. How many blocks does William have now?,26,47,21
Nathan collects 43 action figures. They trade away 30 figures. How many action figures does Nathan have now?,13,43,30
Nathan collects 11 action figures. They trade away 5 figures. How many action figures does Nathan have now?,6,11,5
Grace has 18 board games. Their family gives away 14 board games. How many board games does Grace have now?,4,18,14
Grace has 39 board games. Their family gives away 26 board games. How many board games does Grace have now?,13,39,26
Lily owns 7 stuffed animals. They give 1 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,6,7,1
Lily owns 9 stuffed animals. They give 3 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,6,9,3
Ella finds 6 seashells at the beach. The tide washes away 4 seashells. How many seashells does Ella have now?,2,6,4
Ella finds 26 seashells at the beach. The tide washes away 20 seashells. How many seashells does Ella have now?,6,26,20
"Chloe counts 48 birds in the morning. By afternoon, 8 birds fly away. How many birds does Chloe see now?",40,48,8
"Chloe counts 45 birds in the morning. By afternoon, 35 birds fly away. How many birds does Chloe see now?",10,45,35
Olivia plants 20 flowers. A storm damages 14 flowers. How many flowers does Olivia have now?,6,20,14
Olivia plants 34 flowers. A storm damages 12 flowers. How many flowers does Olivia have now?,22,34,12
Matthew catches 42 fireflies. They release 33 fireflies. How many fireflies does Matthew have now?,9,42,33
Matthew catches 40 fireflies. They release 13 fireflies. How many fireflies does Matthew have now?,27,40,13
Grace collects 35 acorns. Squirrels steal 1 acorns. How many acorns does Grace have now?,34,35,1
Grace collects 40 acorns. Squirrels steal 21 acorns. How many acorns does Grace have now?,19,40,21
Nathan bakes 21 cookies. Their sibling eats 8 cookies. How many cookies does Nathan have now?,13,21,8
Nathan bakes 5 cookies. Their sibling eats 2 cookies. How many cookies does Nathan have now?,3,5,2
Lily buys 6 donuts. Their family eats 5 donuts. How many donuts does Lily have now?,1,6,5
Lily buys 10 donuts. Their family eats 3 donuts. How many donuts does Lily have now?,7,10,3
Alexander makes 35 sandwiches. Their friends eat 28 sandwiches. How many sandwiches does Alexander have now?,7,35,28
Alexander makes 15 sandwiches. Their friends eat 9 sandwiches. How many sandwiches does Alexander have now?,6,15,9
Lucas has 21 candies in their bag. Their teacher takes 13 candies. How many candies does Lucas have now?,8,21,13
Lucas has 44 candies in their bag. Their teacher takes 42 candies. How many candies does Lucas have now?,2,44,42
Olivia buys 39 juice boxes. Their classmates drink 15 juice boxes. How many juice boxes does Olivia have now?,24,39,15
Olivia buys 47 juice boxes. Their classmates drink 41 juice boxes. How many juice boxes does Olivia have now?,6,47,41
Michael has 17 baseballs. Their coach takes 9 baseballs for practice. How many baseballs does Michael have now?,8,17,9
Michael has 44 baseballs. Their coach takes 32 baseballs for practice. How many baseballs does Michael have now?,12,44,32
Zoe owns 28 tennis balls. The club replaces 7 old tennis balls. How many tennis balls does Zoe have now?,21,28,7
Zoe owns 8 tennis balls. The club replaces 1 old tennis balls. How many tennis balls does Zoe have now?,7,8,1
Mia has 31 basketballs. Their team donates 28 basketballs. How many basketballs does Mia have now?,3,31,28
Mia has 48 basketballs. Their team donates 4 basketballs. How many basketballs does Mia have now?,44,48,4
Emma brings 27 soccer balls to practice. The league redistributes 24 soccer balls. How many soccer balls does Emma have now?,3,27,24
