clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,Jack has 9 apples. Their friend gives them 1 more apples. How many apples does Jack have now?,10,8,x,y,9,1
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,Jack has 17 apples. Their friend gives them 8 more apples. How many apples does Jack have now?,25,9,x,y,17,8
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,Chloe picks 49 oranges. They find 35 more oranges on the ground. How many oranges does Chloe have now?,84,14,x,y,49,35
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,Chloe picks 29 oranges. They find 2 more oranges on the ground. How many oranges does Chloe have now?,31,27,x,y,29,2
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,Henry buys 16 bananas. The cashier gives them 9 extra bananas. How many bananas does Henry have now?,25,7,x,y,16,9
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,Henry buys 37 bananas. The cashier gives them 13 extra bananas. How many bananas does Henry have now?,50,24,x,y,37,13
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,Lucas grows 36 strawberries. 27 more strawberries ripen overnight. How many strawberries does Lucas have now?,63,9,x,y,36,27
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,Lucas grows 46 strawberries. 28 more strawberries ripen overnight. How many strawberries does Lucas have now?,74,18,x,y,46,28
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,Benjamin collects 15 mangoes. Their neighbor shares 13 more mangoes. How many mangoes does Benjamin have now?,28,2,x,y,15,13
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,Benjamin collects 7 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,11,3,x,y,7,4
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,Nora has 24 pencils. The teacher distributes 20 more pencils. How many pencils does Nora have now?,44,4,x,y,24,20
