clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend gives them 18 more apples. How many apples does Jack have now?,67,Jack has 9 apples. Their friend takes 1 apples. How many apples does Jack have now?,8,10,49,18,9,1
Jack has 10 apples. Their friend gives them 2 more apples. How many apples does Jack have now?,12,Jack has 17 apples. Their friend takes 8 apples. How many apples does Jack have now?,9,25,10,2,17,8
Chloe picks 7 oranges. They find 5 more oranges on the ground. How many oranges does Chloe have now?,12,Chloe picks 49 oranges. They drop 35 oranges. How many oranges does Chloe have now?,14,84,7,5,49,35
Chloe picks 3 oranges. They find 1 more oranges on the ground. How many oranges does Chloe have now?,4,Chloe picks 29 oranges. They drop 2 oranges. How many oranges does Chloe have now?,27,31,3,1,29,2
Henry buys 40 bananas. The cashier gives them 2 extra bananas. How many bananas does Henry have now?,42,Henry buys 16 bananas. The cashier takes back 9 bananas. How many bananas does Henry have now?,7,25,40,2,16,9
Henry buys 47 bananas. The cashier gives them 42 extra bananas. How many bananas does Henry have now?,89,Henry buys 37 bananas. The cashier takes back 13 bananas. How many bananas does Henry have now?,24,50,47,42,37,13
Lucas grows 39 strawberries. 18 more strawberries ripen overnight. How many strawberries does Lucas have now?,57,Lucas grows 36 strawberries. 27 strawberries get eaten by birds. How many strawberries does Lucas have now?,9,63,39,18,36,27
Lucas grows 23 strawberries. 9 more strawberries ripen overnight. How many strawberries does Lucas have now?,32,Lucas grows 46 strawberries. 28 strawberries get eaten by birds. How many strawberries does Lucas have now?,18,74,23,9,46,28
Benjamin collects 23 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,27,Benjamin collects 15 mangoes. They share 13 mangoes with their neighbor. How many mangoes does Benjamin have now?,2,28,23,4,15,13
Benjamin collects 8 mangoes. Their neighbor shares 3 more mangoes. How many mangoes does Benjamin have now?,11,Benjamin collects 7 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,3,11,8,3,7,4
Nora has 18 pencils. The teacher distributes 2 more pencils. How many pencils does Nora have now?,20,Nora has 24 pencils. The teacher collects 20 pencils. How many pencils does Nora have now?,4,44,18,2,24,20
