clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,Each robot assembles 15 components hourly. How many components can 5 robots assemble?,75,3,x,y,15,5
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,Each robot assembles 28 components hourly. How many components can 7 robots assemble?,196,4,x,y,28,7
x students are divided equally into y classrooms. How many in each?,x,Apples cost $18 per apple. How much for 2 apples?,36,9,x,y,18,2
x students are divided equally into y classrooms. How many in each?,x,Apples cost $46 per apple. How much for 46 apples?,2116,1,x,y,46,46
A baker divides x cookies equally among y trays. How many per tray?,x,Each Renaissance painting uses 6 pigments. How many pigments for 6 paintings?,36,1,x,y,6,6
A baker divides x cookies equally among y trays. How many per tray?,x,Each Renaissance painting uses 24 pigments. How many pigments for 24 paintings?,576,1,x,y,24,24
A book's x pages are divided equally into y chapters. How many per chapter?,x,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,2,x,y,6,3
A book's x pages are divided equally into y chapters. How many per chapter?,x,The 3D printer makes 22 layers per minute. How many layers in 11 minutes?,242,2,x,y,22,11
x pencils are packaged equally in y boxes. How many in each box?,x,The fiber cable transmits 24 TB per hour. How much data in 6 hours?,144,4,x,y,24,6
x pencils are packaged equally in y boxes. How many in each box?,x,The fiber cable transmits 49 TB per hour. How much data in 7 hours?,343,7,x,y,49,7
Zoe read x pages over y hours. What was the hourly rate?,x,Workers are paid $3 per item. How much for 3 items?,9,1,x,y,3,3
Zoe read x pages over y hours. What was the hourly rate?,x,Workers are paid $33 per item. How much for 3 items?,99,11,x,y,33,3
A machine made x widgets in y minutes. What was its per-minute rate?,x,The glacier recedes 24 inches daily. How much will it shrink after 4 days?,96,6,x,y,24,4
A machine made x widgets in y minutes. What was its per-minute rate?,x,The glacier recedes 14 inches daily. How much will it shrink after 14 days?,196,1,x,y,14,14
A printer produced x pages during y minutes. How many per minute?,x,The nanobot swarm repairs 34 cells per minute. How many cells can it repair in 17 minutes?,578,2,x,y,34,17
A printer produced x pages during y minutes. How many per minute?,x,The nanobot swarm repairs 50 cells per minute. How many cells can it repair in 10 minutes?,500,5,x,y,50,10
A car went x miles using y gallons. What was the mileage per gallon?,x,The thunderstorm produces 8 lightning flashes per minute. How many flashes in 8 minutes?,64,1,x,y,8,8
A car went x miles using y gallons. What was the mileage per gallon?,x,The thunderstorm produces 16 lightning flashes per minute. How many flashes in 4 minutes?,64,4,x,y,16,4
William earned $x by working y hours. What was the hourly wage?,x,A subway train arrives every 48 minutes. How many arrivals will there be in 2 minutes?,96,24,x,y,48,2
William earned $x by working y hours. What was the hourly wage?,x,A subway train arrives every 34 minutes. How many arrivals will there be in 34 minutes?,1156,1,x,y,34,34
x plants are arranged in y equal rows. How many plants per row?,x,Each pyramid block weighs 11 tons. What is the total weight of 11 blocks?,121,1,x,y,11,11
x plants are arranged in y equal rows. How many plants per row?,x,Each pyramid block weighs 30 tons. What is the total weight of 2 blocks?,60,15,x,y,30,2
x cars are parked in y equal rows. How many cars per row?,x,A quilt has 24 squares along its length and 24 squares across. How many total?,576,1,x,y,24,24
x cars are parked in y equal rows. How many cars per row?,x,A quilt has 36 squares along its length and 3 squares across. How many total?,108,12,x,y,36,3
A quilt's x squares are arranged in y equal columns. How many per column?,x,Egg cartons contain 35 eggs each. How many eggs in 5 cartons?,175,7,x,y,35,5
A quilt's x squares are arranged in y equal columns. How many per column?,x,Egg cartons contain 35 eggs each. How many eggs in 7 cartons?,245,5,x,y,35,7
x desks are arranged in y equal rows. How many desks per row?,x,Henry earns $28 per hour and works 2 hours. What are the total earnings?,56,14,x,y,28,2
x desks are arranged in y equal rows. How many desks per row?,x,Henry earns $50 per hour and works 25 hours. What are the total earnings?,1250,2,x,y,50,25
x books are placed equally on y shelves. How many books per shelf?,x,A subscription costs $26 monthly. What's the cost for 2 months?,52,13,x,y,26,2
x books are placed equally on y shelves. How many books per shelf?,x,A subscription costs $41 monthly. What's the cost for 41 months?,1681,1,x,y,41,41
Alexander spent $x on y equally priced tickets. What was the price per ticket?,x,The band sells 48 albums per concert. How many albums will they sell at 3 concerts?,144,16,x,y,48,3
Alexander spent $x on y equally priced tickets. What was the price per ticket?,x,The band sells 10 albums per concert. How many albums will they sell at 2 concerts?,20,5,x,y,10,2
Matthew paid $x for y candy bags. What was the per-bag price?,x,Each treasure chest holds 7 coins. How many coins in 7 chests?,49,1,x,y,7,7
Matthew paid $x for y candy bags. What was the per-bag price?,x,Each treasure chest holds 28 coins. How many coins in 2 chests?,56,14,x,y,28,2
Henry spent $x on y identical toys. What was each toy's price?,x,Each mushroom colony expands 48 square feet daily. How much area would 8 colonies cover?,384,6,x,y,48,8
Henry spent $x on y identical toys. What was each toy's price?,x,Each mushroom colony expands 24 square feet daily. How much area would 3 colonies cover?,72,8,x,y,24,3
y apples cost $x altogether. What's the price per apple?,x,Each theater seat needs 40 yards of fabric. How much fabric is required for 40 seats?,1600,1,x,y,40,40
y apples cost $x altogether. What's the price per apple?,x,Each theater seat needs 27 yards of fabric. How much fabric is required for 27 seats?,729,1,x,y,27,27
Amelia paid $x for y months of service. What was the monthly rate?,x,Each sea turtle lays 48 eggs per nest. How many eggs will 4 nests contain?,192,12,x,y,48,4
Amelia paid $x for y months of service. What was the monthly rate?,x,Each sea turtle lays 27 eggs per nest. How many eggs will 27 nests contain?,729,1,x,y,27,27
A car traveled x miles in y hours. What was its speed in mph?,x,Punch needs 48 liters per bowl. How much for 48 bowls?,2304,1,x,y,48,48
A car traveled x miles in y hours. What was its speed in mph?,x,Punch needs 34 liters per bowl. How much for 34 bowls?,1156,1,x,y,34,34
A plane covered x miles over y hours. What was its speed?,x,The drought lowers water levels by 44 feet monthly. How much will levels drop over 22 months?,968,2,x,y,44,22
A plane covered x miles over y hours. What was its speed?,x,The drought lowers water levels by 13 feet monthly. How much will levels drop over 13 months?,169,1,x,y,13,13
A runner completed x km in y hours. What was the pace?,x,Each cake needs 15 eggs. How many eggs for 5 cakes?,75,3,x,y,15,5
A runner completed x km in y hours. What was the pace?,x,Each cake needs 19 eggs. How many eggs for 19 cakes?,361,1,x,y,19,19
A train went x km during y hours. What was its speed?,x,Each tsunami wave carries 10 tons of debris. How much debris will 10 waves move?,100,1,x,y,10,10
A train went x km during y hours. What was its speed?,x,Each tsunami wave carries 36 tons of debris. How much debris will 3 waves move?,108,12,x,y,36,3
A cyclist rode x miles over y hours. What was the average speed?,x,The coral reef grows 45 centimeters annually. How much will it grow in 15 years?,675,3,x,y,45,15
A cyclist rode x miles over y hours. What was the average speed?,x,The coral reef grows 48 centimeters annually. How much will it grow in 2 years?,96,24,x,y,48,2
Chloe has x cups of flour to make y batches. How much per batch?,x,The space elevator climbs 15 kilometers daily. How far will it ascend in 15 days?,225,1,x,y,15,15
Chloe has x cups of flour to make y batches. How much per batch?,x,The space elevator climbs 28 kilometers daily. How far will it ascend in 2 days?,56,14,x,y,28,2
y cakes used x eggs total. How many eggs per cake?,x,Each puzzle takes 30 moves to solve. How many moves for 3 puzzles?,90,10,x,y,30,3
y cakes used x eggs total. How many eggs per cake?,x,Each puzzle takes 19 moves to solve. How many moves for 19 puzzles?,361,1,x,y,19,19
y cookies used x chips altogether. What's the average per cookie?,x,The fusion reactor generates 27 megawatts hourly. How much energy in 27 hours?,729,1,x,y,27,27
y cookies used x chips altogether. What's the average per cookie?,x,The fusion reactor generates 20 megawatts hourly. How much energy in 20 hours?,400,1,x,y,20,20
y servings used x ounces total. How much per serving?,x,A team scores 15 points per game. How many points in 3 games?,45,5,x,y,15,3
y servings used x ounces total. How much per serving?,x,A team scores 44 points per game. How many points in 11 games?,484,4,x,y,44,11
y bowls used x liters total. What was the amount per bowl?,x,Henry earns $18 per hour. How much for 18 hours?,324,1,x,y,18,18
y bowls used x liters total. What was the amount per bowl?,x,Henry earns $46 per hour. How much for 23 hours?,1058,2,x,y,46,23
Isla earned $x by working y hours. What was the hourly pay?,x,A runner maintains 2 km every hour. How far in 2 hours?,4,1,x,y,2,2
Isla earned $x by working y hours. What was the hourly pay?,x,A runner maintains 32 km every hour. How far in 2 hours?,64,16,x,y,32,2
A worker earned $x from y items. What was the per-item rate?,x,Tickets cost $15 each. James buys 5 tickets. What's the total cost?,75,3,x,y,15,5
A worker earned $x from y items. What was the per-item rate?,x,Tickets cost $30 each. James buys 10 tickets. What's the total cost?,300,3,x,y,30,10
y projects earned $x total. What was the average per project?,x,The meteor shower produces 25 meteors hourly. How many might be seen during 25 hours?,625,1,x,y,25,25
y projects earned $x total. What was the average per project?,x,The meteor shower produces 12 meteors hourly. How many might be seen during 4 hours?,48,3,x,y,12,4
A consultant's y days of work cost $x. What was the daily rate?,x,"A parking lot has 42 rows, each holding 21 cars. How many cars total?",882,2,x,y,42,21
A consultant's y days of work cost $x. What was the daily rate?,x,"A parking lot has 45 rows, each holding 45 cars. How many cars total?",2025,1,x,y,45,45
y overtime hours earned $x. What was the overtime rate?,x,Questions take 42 minutes each. How long for 6 questions?,252,7,x,y,42,6
y overtime hours earned $x. What was the overtime rate?,x,Questions take 20 minutes each. How long for 4 questions?,80,5,x,y,20,4
x oranges are packed equally in y crates. How many per crate?,x,Each gene editor modifies 50 base pairs per second. How many edits in 25 seconds?,1250,2,x,y,50,25
x oranges are packed equally in y crates. How many per crate?,x,Each gene editor modifies 24 base pairs per second. How many edits in 3 seconds?,72,8,x,y,24,3
y cartons hold x eggs total. How many eggs per carton?,x,Each sculpture requires 22 pounds of clay. How much clay is needed to make 22 sculptures?,484,1,x,y,22,22
y cartons hold x eggs total. How many eggs per carton?,x,Each sculpture requires 36 pounds of clay. How much clay is needed to make 18 sculptures?,648,2,x,y,36,18
y jars have x marbles total. What's the average per jar?,x,Cookies require 45 chips per cookie. How many chips for 3 cookies?,135,15,x,y,45,3
y jars have x marbles total. What's the average per jar?,x,Cookies require 16 chips per cookie. How many chips for 2 cookies?,32,8,x,y,16,2
y cases contain x bottles total. How many per case?,x,Each of 10 boxes contains 10 pencils. What is the total count?,100,1,x,y,10,10
y cases contain x bottles total. How many per case?,x,Each of 49 boxes contains 7 pencils. What is the total count?,343,7,x,y,49,7
y packets contain x seeds total. How many seeds per packet?,x,Each project pays $49. What's the income from 7 projects?,343,7,x,y,49,7
y packets contain x seeds total. How many seeds per packet?,x,Each project pays $3. What's the income from 3 projects?,9,1,x,y,3,3
y tasks took x minutes total. What was the average time per task?,x,Each hologram projector uses 10 teraflops. How much processing power for 5 projectors?,50,2,x,y,10,5
y tasks took x minutes total. What was the average time per task?,x,Each hologram projector uses 7 teraflops. How much processing power for 7 projectors?,49,1,x,y,7,7
y units were made in x hours total. What was the time per unit?,x,Each bicycle wheel requires 44 spokes. How many spokes are needed for 44 wheels?,1936,1,x,y,44,44
y units were made in x hours total. What was the time per unit?,x,Each bicycle wheel requires 28 spokes. How many spokes are needed for 14 wheels?,392,2,x,y,28,14
y questions took x minutes altogether. What was the average time?,x,The toll booth processes 16 cars per minute. How many cars can pass in 16 minutes?,256,1,x,y,16,16
y questions took x minutes altogether. What was the average time?,x,The toll booth processes 48 cars per minute. How many cars can pass in 16 minutes?,768,3,x,y,48,16
A machine completed x items over y hours. What was its processing rate?,x,Each candy bag costs $42. How much for 6 bags?,252,7,x,y,42,6
A machine completed x items over y hours. What was its processing rate?,x,Each candy bag costs $21. How much for 21 bags?,441,1,x,y,21,21
y customers were served in x minutes. What was the average service time?,x,A garden has 39 rows with 39 plants per row. How many plants total?,1521,1,x,y,39,39
y customers were served in x minutes. What was the average service time?,x,A garden has 39 rows with 3 plants per row. How many plants total?,117,13,x,y,39,3
A team scored x points over y games. What was their average?,x,Each airplane seat weighs 9 pounds. What is the total weight of 9 seats?,81,1,x,y,9,9
A team scored x points over y games. What was their average?,x,Each airplane seat weighs 10 pounds. What is the total weight of 5 seats?,50,2,x,y,10,5
A player got x rebounds in y games. What was the average?,x,The ocean current moves 32 miles daily. How far will objects drift in 32 days?,1024,1,x,y,32,32
A player got x rebounds in y games. What was the average?,x,The ocean current moves 26 miles daily. How far will objects drift in 13 days?,338,2,x,y,26,13
y innings had x runs total. What was the average per inning?,x,The submarine explores 46 square miles daily. How much area can it survey in 2 days?,92,23,x,y,46,2
y innings had x runs total. What was the average per inning?,x,The submarine explores 18 square miles daily. How much area can it survey in 2 days?,36,9,x,y,18,2
A player made x free throws over y games. What was the average?,x,Each software update takes 28 minutes. How long will 14 updates take?,392,2,x,y,28,14
A player made x free throws over y games. What was the average?,x,Each software update takes 26 minutes. How long will 13 updates take?,338,2,x,y,26,13
A team conceded x goals during y matches. What was the average?,x,The game loads 47 textures per second. How many textures in 47 seconds?,2209,1,x,y,47,47
A team conceded x goals during y matches. What was the average?,x,The game loads 9 textures per second. How many textures in 3 seconds?,27,3,x,y,9,3
Matthew completed x paintings over y months. How many paintings per month on average?,x,The telescope captures 4 images per orbit. How many images in 4 orbits?,16,1,x,y,4,4
Matthew completed x paintings over y months. How many paintings per month on average?,x,The telescope captures 20 images per orbit. How many images in 4 orbits?,80,5,x,y,20,4
Lily used x pounds of clay for y sculptures. How much clay per sculpture?,x,The castle has 42 passages per tower. How many passages in 14 towers?,588,3,x,y,42,14
Lily used x pounds of clay for y sculptures. How much clay per sculpture?,x,The castle has 36 passages per tower. How many passages in 18 towers?,648,2,x,y,36,18
The troupe performed x shows across y cities. What was their average shows per city?,x,The sunflower grows 2 inches weekly. How tall will it be after 2 weeks?,4,1,x,y,2,2
The troupe performed x shows across y cities. What was their average shows per city?,x,The sunflower grows 27 inches weekly. How tall will it be after 27 weeks?,729,1,x,y,27,27
The art department has x paint tubes to share equally among y classes. How many per class?,x,Ava has 39 bags with 3 apples in each. How many apples does Ava have total?,117,13,x,y,39,3
The art department has x paint tubes to share equally among y classes. How many per class?,x,Ava has 42 bags with 21 apples in each. How many apples does Ava have total?,882,2,x,y,42,21
