name,a,b,multiplication,division
Jack,15,5,75,3
Jack,6,3,18,2
Jack,28,7,196,4
Jack,26,2,52,13
Amelia,18,2,36,9
Amelia,14,14,196,1
Amelia,46,46,2116,1
Amelia,39,3,117,13
Emma,6,6,36,1
Emma,24,4,96,6
Emma,24,24,576,1
Emma,44,11,484,4
Ella,6,3,18,2
Ella,48,4,192,12
Ella,22,11,242,2
Ella,46,46,2116,1
Mia,24,6,144,4
Mia,40,8,320,5
Mia,49,7,343,7
Mia,28,14,392,2
Zoe,3,3,9,1
Zoe,39,3,117,13
Zoe,33,3,99,11
Zoe,28,14,392,2
Benjamin,24,4,96,6
Benjamin,32,32,1024,1
Benjamin,14,14,196,1
Benjamin,36,3,108,12
Olivia,34,17,578,2
Olivia,33,11,363,3
Olivia,50,10,500,5
Olivia,27,27,729,1
Zoe,8,8,64,1
Zoe,46,2,92,23
Zoe,16,4,64,4
Zoe,36,2,72,18
William,48,2,96,24
William,30,3,90,10
William,34,34,1156,1
William,48,16,768,3
Henry,11,11,121,1
Henry,24,12,288,2
Henry,30,2,60,15
Henry,12,4,48,3
Nora,24,24,576,1
Nora,14,7,98,2
Nora,36,3,108,12
Nora,28,14,392,2
Daniel,35,5,175,7
Daniel,20,2,40,10
Daniel,35,7,245,5
Daniel,34,2,68,17
Henry,28,2,56,14
Henry,12,2,24,6
Henry,50,25,1250,2
Henry,20,5,100,4
Grace,26,2,52,13
Grace,20,2,40,10
Grace,41,41,1681,1
Grace,36,3,108,12
Alexander,48,3,144,16
Alexander,32,4,128,8
Alexander,10,2,20,5
Alexander,24,12,288,2
Matthew,7,7,49,1
Matthew,36,18,648,2
Matthew,28,2,56,14
Matthew,10,10,100,1
Henry,48,8,384,6
Henry,30,30,900,1
Henry,24,3,72,8
Henry,44,2,88,22
Jacob,40,40,1600,1
Jacob,18,3,54,6
Jacob,27,27,729,1
Jacob,18,2,36,9
Amelia,48,4,192,12
Amelia,46,2,92,23
Amelia,27,27,729,1
Amelia,39,13,507,3
Nathan,48,48,2304,1
Nathan,36,18,648,2
Nathan,34,34,1156,1
Nathan,24,6,144,4
Benjamin,44,22,968,2
Benjamin,43,43,1849,1
Benjamin,13,13,169,1
Benjamin,9,3,27,3
Nora,15,5,75,3
Nora,18,18,324,1
Nora,19,19,361,1
Nora,39,3,117,13
Ella,10,10,100,1
