clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 bags with 3 apples in each. How many apples does Jack have total?,18,Jack has 15 apples to divide equally into 5 bags. How many apples go in each bag?,3,75,6,3,15,5
Jack has 26 bags with 2 apples in each. How many apples does Jack have total?,52,Jack has 28 apples to divide equally into 7 bags. How many apples go in each bag?,4,196,26,2,28,7
"There are 14 classrooms, each with 14 students. How many students total?",196,18 students are divided equally into 2 classrooms. How many in each?,9,36,14,14,18,2
"There are 39 classrooms, each with 3 students. How many students total?",117,46 students are divided equally into 46 classrooms. How many in each?,1,2116,39,3,46,46
"A baker prepares 24 trays, each with 4 cookies. What is the total number?",96,A baker divides 6 cookies equally among 6 trays. How many per tray?,1,36,24,4,6,6
"A baker prepares 44 trays, each with 11 cookies. What is the total number?",484,A baker divides 24 cookies equally among 24 trays. How many per tray?,1,576,44,11,24,24
"A book has 48 chapters, each with 4 pages. How many pages total?",192,A book's 6 pages are divided equally into 3 chapters. How many per chapter?,2,18,48,4,6,3
"A book has 46 chapters, each with 46 pages. How many pages total?",2116,A book's 22 pages are divided equally into 11 chapters. How many per chapter?,2,242,46,46,22,11
Each of 40 boxes contains 8 pencils. What is the total count?,320,24 pencils are packaged equally in 6 boxes. How many in each box?,4,144,40,8,24,6
Each of 28 boxes contains 14 pencils. What is the total count?,392,49 pencils are packaged equally in 7 boxes. How many in each box?,7,343,28,14,49,7
Zoe reads 39 pages every hour for 3 hours. How many pages total?,117,Zoe read 3 pages over 3 hours. What was the hourly rate?,1,9,39,3,3,3
Zoe reads 28 pages every hour for 14 hours. How many pages total?,392,Zoe read 33 pages over 3 hours. What was the hourly rate?,11,99,28,14,33,3
A machine produces 32 widgets every minute for 32 minutes. What's the total?,1024,A machine made 24 widgets in 4 minutes. What was its per-minute rate?,6,96,32,32,24,4
A machine produces 36 widgets every minute for 3 minutes. What's the total?,108,A machine made 14 widgets in 14 minutes. What was its per-minute rate?,1,196,36,3,14,14
A printer prints 33 pages every minute. How many pages in 11 minutes?,363,A printer produced 34 pages during 17 minutes. How many per minute?,2,578,33,11,34,17
A printer prints 27 pages every minute. How many pages in 27 minutes?,729,A printer produced 50 pages during 10 minutes. How many per minute?,5,500,27,27,50,10
A car travels 46 miles every gallon. How far can it go on 2 gallons?,92,A car went 8 miles using 8 gallons. What was the mileage per gallon?,1,64,46,2,8,8
A car travels 36 miles every gallon. How far can it go on 2 gallons?,72,A car went 16 miles using 4 gallons. What was the mileage per gallon?,4,64,36,2,16,4
William earns $30 per hour and works 3 hours. What are the total earnings?,90,William earned $48 by working 2 hours. What was the hourly wage?,24,96,30,3,48,2
William earns $48 per hour and works 16 hours. What are the total earnings?,768,William earned $34 by working 34 hours. What was the hourly wage?,1,1156,48,16,34,34
A garden has 24 rows with 12 plants per row. How many plants total?,288,11 plants are arranged in 11 equal rows. How many plants per row?,1,121,24,12,11,11
A garden has 12 rows with 4 plants per row. How many plants total?,48,30 plants are arranged in 2 equal rows. How many plants per row?,15,60,12,4,30,2
"A parking lot has 14 rows, each holding 7 cars. How many cars total?",98,24 cars are parked in 24 equal rows. How many cars per row?,1,576,14,7,24,24
"A parking lot has 28 rows, each holding 14 cars. How many cars total?",392,36 cars are parked in 3 equal rows. How many cars per row?,12,108,28,14,36,3
A quilt has 20 squares along its length and 2 squares across. How many total?,40,A quilt's 35 squares are arranged in 5 equal columns. How many per column?,7,175,20,2,35,5
A quilt has 34 squares along its length and 2 squares across. How many total?,68,A quilt's 35 squares are arranged in 7 equal columns. How many per column?,5,245,34,2,35,7
Each of 12 rows contains 2 desks. How many desks total?,24,28 desks are arranged in 2 equal rows. How many desks per row?,14,56,12,2,28,2
Each of 20 rows contains 5 desks. How many desks total?,100,50 desks are arranged in 25 equal rows. How many desks per row?,2,1250,20,5,50,25
"A bookshelf has 20 shelves, each holding 2 books. How many books total?",40,26 books are placed equally on 2 shelves. How many books per shelf?,13,52,20,2,26,2
