clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,Each robot assembles 15 components hourly. How many components can 5 robots assemble?,75,10,x,y,15,5
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,Each robot assembles 28 components hourly. How many components can 7 robots assemble?,196,21,x,y,28,7
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,Apples cost $18 per apple. How much for 2 apples?,36,16,x,y,18,2
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,Apples cost $46 per apple. How much for 46 apples?,2116,0,x,y,46,46
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,Each Renaissance painting uses 6 pigments. How many pigments for 6 paintings?,36,0,x,y,6,6
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,Each Renaissance painting uses 24 pigments. How many pigments for 24 paintings?,576,0,x,y,24,24
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,3,x,y,6,3
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,The 3D printer makes 22 layers per minute. How many layers in 11 minutes?,242,11,x,y,22,11
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,The fiber cable transmits 24 TB per hour. How much data in 6 hours?,144,18,x,y,24,6
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,The fiber cable transmits 49 TB per hour. How much data in 7 hours?,343,42,x,y,49,7
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,Workers are paid $3 per item. How much for 3 items?,9,0,x,y,3,3
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,Workers are paid $33 per item. How much for 3 items?,99,30,x,y,33,3
Isla brings x notebooks to class. A classmate borrows y notebooks. How many notebooks does Isla have now?,x,The glacier recedes 24 inches daily. How much will it shrink after 4 days?,96,20,x,y,24,4
Isla brings x notebooks to class. A classmate borrows y notebooks. How many notebooks does Isla have now?,x,The glacier recedes 14 inches daily. How much will it shrink after 14 days?,196,0,x,y,14,14
Henry finds x erasers in their desk. They lose y erasers. How many erasers does Henry have now?,x,The nanobot swarm repairs 34 cells per minute. How many cells can it repair in 17 minutes?,578,17,x,y,34,17
Henry finds x erasers in their desk. They lose y erasers. How many erasers does Henry have now?,x,The nanobot swarm repairs 50 cells per minute. How many cells can it repair in 10 minutes?,500,40,x,y,50,10
Nora has x markers. Their art teacher removes y markers from their collection. How many markers does Nora have now?,x,The thunderstorm produces 8 lightning flashes per minute. How many flashes in 8 minutes?,64,0,x,y,8,8
Nora has x markers. Their art teacher removes y markers from their collection. How many markers does Nora have now?,x,The thunderstorm produces 16 lightning flashes per minute. How many flashes in 4 minutes?,64,12,x,y,16,4
Chloe receives x stickers for good behavior. The principal revokes y stickers. How many stickers does Chloe have now?,x,A subway train arrives every 48 minutes. How many arrivals will there be in 2 minutes?,96,46,x,y,48,2
Chloe receives x stickers for good behavior. The principal revokes y stickers. How many stickers does Chloe have now?,x,A subway train arrives every 34 minutes. How many arrivals will there be in 34 minutes?,1156,0,x,y,34,34
Jacob owns x toy cars. They donate y toy cars to charity. How many toy cars does Jacob have now?,x,Each pyramid block weighs 11 tons. What is the total weight of 11 blocks?,121,0,x,y,11,11
Jacob owns x toy cars. They donate y toy cars to charity. How many toy cars does Jacob have now?,x,Each pyramid block weighs 30 tons. What is the total weight of 2 blocks?,60,28,x,y,30,2
William has x building blocks. Their sibling takes y blocks from their tower. How many blocks does William have now?,x,A quilt has 24 squares along its length and 24 squares across. How many total?,576,0,x,y,24,24
William has x building blocks. Their sibling takes y blocks from their tower. How many blocks does William have now?,x,A quilt has 36 squares along its length and 3 squares across. How many total?,108,33,x,y,36,3
Nathan collects x action figures. They trade away y figures. How many action figures does Nathan have now?,x,Egg cartons contain 35 eggs each. How many eggs in 5 cartons?,175,30,x,y,35,5
Nathan collects x action figures. They trade away y figures. How many action figures does Nathan have now?,x,Egg cartons contain 35 eggs each. How many eggs in 7 cartons?,245,28,x,y,35,7
Grace has x board games. Their family gives away y board games. How many board games does Grace have now?,x,Grace earns $28 per hour and works 2 hours. What are the total earnings?,56,26,x,y,28,2
Grace has x board games. Their family gives away y board games. How many board games does Grace have now?,x,Grace earns $50 per hour and works 25 hours. What are the total earnings?,1250,25,x,y,50,25
Lily owns x stuffed animals. They give y stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,x,A subscription costs $26 monthly. What's the cost for 2 months?,52,24,x,y,26,2
Lily owns x stuffed animals. They give y stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,x,A subscription costs $41 monthly. What's the cost for 41 months?,1681,0,x,y,41,41
Ella finds x seashells at the beach. The tide washes away y seashells. How many seashells does Ella have now?,x,The band sells 48 albums per concert. How many albums will they sell at 3 concerts?,144,45,x,y,48,3
Ella finds x seashells at the beach. The tide washes away y seashells. How many seashells does Ella have now?,x,The band sells 10 albums per concert. How many albums will they sell at 2 concerts?,20,8,x,y,10,2
"Chloe counts x birds in the morning. By afternoon, y birds fly away. How many birds does Chloe see now?",x,Each treasure chest holds 7 coins. How many coins in 7 chests?,49,0,x,y,7,7
"Chloe counts x birds in the morning. By afternoon, y birds fly away. How many birds does Chloe see now?",x,Each treasure chest holds 28 coins. How many coins in 2 chests?,56,26,x,y,28,2
Olivia plants x flowers. A storm damages y flowers. How many flowers does Olivia have now?,x,Each mushroom colony expands 48 square feet daily. How much area would 8 colonies cover?,384,40,x,y,48,8
Olivia plants x flowers. A storm damages y flowers. How many flowers does Olivia have now?,x,Each mushroom colony expands 24 square feet daily. How much area would 3 colonies cover?,72,21,x,y,24,3
Matthew catches x fireflies. They release y fireflies. How many fireflies does Matthew have now?,x,Each theater seat needs 40 yards of fabric. How much fabric is required for 40 seats?,1600,0,x,y,40,40
Matthew catches x fireflies. They release y fireflies. How many fireflies does Matthew have now?,x,Each theater seat needs 27 yards of fabric. How much fabric is required for 27 seats?,729,0,x,y,27,27
Grace collects x acorns. Squirrels steal y acorns. How many acorns does Grace have now?,x,Each sea turtle lays 48 eggs per nest. How many eggs will 4 nests contain?,192,44,x,y,48,4
Grace collects x acorns. Squirrels steal y acorns. How many acorns does Grace have now?,x,Each sea turtle lays 27 eggs per nest. How many eggs will 27 nests contain?,729,0,x,y,27,27
Nathan bakes x cookies. Their sibling eats y cookies. How many cookies does Nathan have now?,x,Punch needs 48 liters per bowl. How much for 48 bowls?,2304,0,x,y,48,48
Nathan bakes x cookies. Their sibling eats y cookies. How many cookies does Nathan have now?,x,Punch needs 34 liters per bowl. How much for 34 bowls?,1156,0,x,y,34,34
Lily buys x donuts. Their family eats y donuts. How many donuts does Lily have now?,x,The drought lowers water levels by 44 feet monthly. How much will levels drop over 22 months?,968,22,x,y,44,22
Lily buys x donuts. Their family eats y donuts. How many donuts does Lily have now?,x,The drought lowers water levels by 13 feet monthly. How much will levels drop over 13 months?,169,0,x,y,13,13
Alexander makes x sandwiches. Their friends eat y sandwiches. How many sandwiches does Alexander have now?,x,Each cake needs 15 eggs. How many eggs for 5 cakes?,75,10,x,y,15,5
Alexander makes x sandwiches. Their friends eat y sandwiches. How many sandwiches does Alexander have now?,x,Each cake needs 19 eggs. How many eggs for 19 cakes?,361,0,x,y,19,19
Lucas has x candies in their bag. Their teacher takes y candies. How many candies does Lucas have now?,x,Each tsunami wave carries 10 tons of debris. How much debris will 10 waves move?,100,0,x,y,10,10
Lucas has x candies in their bag. Their teacher takes y candies. How many candies does Lucas have now?,x,Each tsunami wave carries 36 tons of debris. How much debris will 3 waves move?,108,33,x,y,36,3
Olivia buys x juice boxes. Their classmates drink y juice boxes. How many juice boxes does Olivia have now?,x,The coral reef grows 45 centimeters annually. How much will it grow in 15 years?,675,30,x,y,45,15
Olivia buys x juice boxes. Their classmates drink y juice boxes. How many juice boxes does Olivia have now?,x,The coral reef grows 48 centimeters annually. How much will it grow in 2 years?,96,46,x,y,48,2
Michael has x baseballs. Their coach takes y baseballs for practice. How many baseballs does Michael have now?,x,The space elevator climbs 15 kilometers daily. How far will it ascend in 15 days?,225,0,x,y,15,15
Michael has x baseballs. Their coach takes y baseballs for practice. How many baseballs does Michael have now?,x,The space elevator climbs 28 kilometers daily. How far will it ascend in 2 days?,56,26,x,y,28,2
Zoe owns x tennis balls. The club replaces y old tennis balls. How many tennis balls does Zoe have now?,x,Each puzzle takes 30 moves to solve. How many moves for 3 puzzles?,90,27,x,y,30,3
Zoe owns x tennis balls. The club replaces y old tennis balls. How many tennis balls does Zoe have now?,x,Each puzzle takes 19 moves to solve. How many moves for 19 puzzles?,361,0,x,y,19,19
Mia has x basketballs. Their team donates y basketballs. How many basketballs does Mia have now?,x,The fusion reactor generates 27 megawatts hourly. How much energy in 27 hours?,729,0,x,y,27,27
Mia has x basketballs. Their team donates y basketballs. How many basketballs does Mia have now?,x,The fusion reactor generates 20 megawatts hourly. How much energy in 20 hours?,400,0,x,y,20,20
Emma brings x soccer balls to practice. The league redistributes y soccer balls. How many soccer balls does Emma have now?,x,A team scores 15 points per game. How many points in 3 games?,45,12,x,y,15,3
Emma brings x soccer balls to practice. The league redistributes y soccer balls. How many soccer balls does Emma have now?,x,A team scores 44 points per game. How many points in 11 games?,484,33,x,y,44,11
Mia has x hockey pucks. Their teammate borrows y hockey pucks. How many hockey pucks does Mia have now?,x,Mia earns $18 per hour. How much for 18 hours?,324,0,x,y,18,18
Mia has x hockey pucks. Their teammate borrows y hockey pucks. How many hockey pucks does Mia have now?,x,Mia earns $46 per hour. How much for 23 hours?,1058,23,x,y,46,23
William has x crayons. Their art set is missing y crayons. How many crayons does William have now?,x,A runner maintains 2 km every hour. How far in 2 hours?,4,0,x,y,2,2
William has x crayons. Their art set is missing y crayons. How many crayons does William have now?,x,A runner maintains 32 km every hour. How far in 2 hours?,64,30,x,y,32,2
Jacob owns x paintbrushes. Their teacher collects y paintbrushes for cleaning. How many paintbrushes does Jacob have now?,x,Tickets cost $15 each. Jacob buys 5 tickets. What's the total cost?,75,10,x,y,15,5
Jacob owns x paintbrushes. Their teacher collects y paintbrushes for cleaning. How many paintbrushes does Jacob have now?,x,Tickets cost $30 each. Jacob buys 10 tickets. What's the total cost?,300,20,x,y,30,10
Harper has x sketchbooks. Their parents archive y old sketchbooks. How many sketchbooks does Harper have now?,x,The meteor shower produces 25 meteors hourly. How many might be seen during 25 hours?,625,0,x,y,25,25
Harper has x sketchbooks. Their parents archive y old sketchbooks. How many sketchbooks does Harper have now?,x,The meteor shower produces 12 meteors hourly. How many might be seen during 4 hours?,48,8,x,y,12,4
Emma collects x colored pencils. A set gets damaged and loses y colored pencils. How many colored pencils does Emma have now?,x,"A parking lot has 42 rows, each holding 21 cars. How many cars total?",882,21,x,y,42,21
Emma collects x colored pencils. A set gets damaged and loses y colored pencils. How many colored pencils does Emma have now?,x,"A parking lot has 45 rows, each holding 45 cars. How many cars total?",2025,0,x,y,45,45
