clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,Each robot assembles 15 components hourly. How many components can 5 robots assemble?,75,20,x,y,15,5
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,Each robot assembles 28 components hourly. How many components can 7 robots assemble?,196,35,x,y,28,7
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,Apples cost $18 per apple. How much for 2 apples?,36,20,x,y,18,2
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,Apples cost $46 per apple. How much for 46 apples?,2116,92,x,y,46,46
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,Each Renaissance painting uses 6 pigments. How many pigments for 6 paintings?,36,12,x,y,6,6
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,Each Renaissance painting uses 24 pigments. How many pigments for 24 paintings?,576,48,x,y,24,24
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,9,x,y,6,3
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,The 3D printer makes 22 layers per minute. How many layers in 11 minutes?,242,33,x,y,22,11
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,The fiber cable transmits 24 TB per hour. How much data in 6 hours?,144,30,x,y,24,6
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,The fiber cable transmits 49 TB per hour. How much data in 7 hours?,343,56,x,y,49,7
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,Workers are paid $3 per item. How much for 3 items?,9,6,x,y,3,3
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,Workers are paid $33 per item. How much for 3 items?,99,36,x,y,33,3
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,The glacier recedes 24 inches daily. How much will it shrink after 4 days?,96,28,x,y,24,4
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,The glacier recedes 14 inches daily. How much will it shrink after 14 days?,196,28,x,y,14,14
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,The nanobot swarm repairs 34 cells per minute. How many cells can it repair in 17 minutes?,578,51,x,y,34,17
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,The nanobot swarm repairs 50 cells per minute. How many cells can it repair in 10 minutes?,500,60,x,y,50,10
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,The thunderstorm produces 8 lightning flashes per minute. How many flashes in 8 minutes?,64,16,x,y,8,8
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,The thunderstorm produces 16 lightning flashes per minute. How many flashes in 4 minutes?,64,20,x,y,16,4
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,A subway train arrives every 48 minutes. How many arrivals will there be in 2 minutes?,96,50,x,y,48,2
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,A subway train arrives every 34 minutes. How many arrivals will there be in 34 minutes?,1156,68,x,y,34,34
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,Each pyramid block weighs 11 tons. What is the total weight of 11 blocks?,121,22,x,y,11,11
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,Each pyramid block weighs 30 tons. What is the total weight of 2 blocks?,60,32,x,y,30,2
William has x building blocks. Their sibling contributes y more blocks to their tower. How many blocks does William have now?,x,A quilt has 24 squares along its length and 24 squares across. How many total?,576,48,x,y,24,24
William has x building blocks. Their sibling contributes y more blocks to their tower. How many blocks does William have now?,x,A quilt has 36 squares along its length and 3 squares across. How many total?,108,39,x,y,36,3
Nathan collects x action figures. A new series releases y more figures. How many action figures does Nathan have now?,x,Egg cartons contain 35 eggs each. How many eggs in 5 cartons?,175,40,x,y,35,5
Nathan collects x action figures. A new series releases y more figures. How many action figures does Nathan have now?,x,Egg cartons contain 35 eggs each. How many eggs in 7 cartons?,245,42,x,y,35,7
Grace has x board games. Their family acquires y more board games. How many board games does Grace have now?,x,Grace earns $28 per hour and works 2 hours. What are the total earnings?,56,30,x,y,28,2
