clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,Jack has 15 bags with 5 apples in each. How many apples does Jack have total?,75,3,x,y,15,5
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,Jack has 28 bags with 7 apples in each. How many apples does Jack have total?,196,4,x,y,28,7
x students are divided equally into y classrooms. How many in each?,x,"There are 18 classrooms, each with 2 students. How many students total?",36,9,x,y,18,2
x students are divided equally into y classrooms. How many in each?,x,"There are 46 classrooms, each with 46 students. How many students total?",2116,1,x,y,46,46
A baker divides x cookies equally among y trays. How many per tray?,x,"A baker prepares 6 trays, each with 6 cookies. What is the total number?",36,1,x,y,6,6
A baker divides x cookies equally among y trays. How many per tray?,x,"A baker prepares 24 trays, each with 24 cookies. What is the total number?",576,1,x,y,24,24
A book's x pages are divided equally into y chapters. How many per chapter?,x,"A book has 6 chapters, each with 3 pages. How many pages total?",18,2,x,y,6,3
A book's x pages are divided equally into y chapters. How many per chapter?,x,"A book has 22 chapters, each with 11 pages. How many pages total?",242,2,x,y,22,11
x pencils are packaged equally in y boxes. How many in each box?,x,Each of 24 boxes contains 6 pencils. What is the total count?,144,4,x,y,24,6
x pencils are packaged equally in y boxes. How many in each box?,x,Each of 49 boxes contains 7 pencils. What is the total count?,343,7,x,y,49,7
Zoe read x pages over y hours. What was the hourly rate?,x,Zoe reads 3 pages every hour for 3 hours. How many pages total?,9,1,x,y,3,3
Zoe read x pages over y hours. What was the hourly rate?,x,Zoe reads 33 pages every hour for 3 hours. How many pages total?,99,11,x,y,33,3
A machine made x widgets in y minutes. What was its per-minute rate?,x,A machine produces 24 widgets every minute for 4 minutes. What's the total?,96,6,x,y,24,4
A machine made x widgets in y minutes. What was its per-minute rate?,x,A machine produces 14 widgets every minute for 14 minutes. What's the total?,196,1,x,y,14,14
A printer produced x pages during y minutes. How many per minute?,x,A printer prints 34 pages every minute. How many pages in 17 minutes?,578,2,x,y,34,17
A printer produced x pages during y minutes. How many per minute?,x,A printer prints 50 pages every minute. How many pages in 10 minutes?,500,5,x,y,50,10
A car went x miles using y gallons. What was the mileage per gallon?,x,A car travels 8 miles every gallon. How far can it go on 8 gallons?,64,1,x,y,8,8
A car went x miles using y gallons. What was the mileage per gallon?,x,A car travels 16 miles every gallon. How far can it go on 4 gallons?,64,4,x,y,16,4
William earned $x by working y hours. What was the hourly wage?,x,William earns $48 per hour and works 2 hours. What are the total earnings?,96,24,x,y,48,2
William earned $x by working y hours. What was the hourly wage?,x,William earns $34 per hour and works 34 hours. What are the total earnings?,1156,1,x,y,34,34
x plants are arranged in y equal rows. How many plants per row?,x,A garden has 11 rows with 11 plants per row. How many plants total?,121,1,x,y,11,11
x plants are arranged in y equal rows. How many plants per row?,x,A garden has 30 rows with 2 plants per row. How many plants total?,60,15,x,y,30,2
x cars are parked in y equal rows. How many cars per row?,x,"A parking lot has 24 rows, each holding 24 cars. How many cars total?",576,1,x,y,24,24
x cars are parked in y equal rows. How many cars per row?,x,"A parking lot has 36 rows, each holding 3 cars. How many cars total?",108,12,x,y,36,3
A quilt's x squares are arranged in y equal columns. How many per column?,x,A quilt has 35 squares along its length and 5 squares across. How many total?,175,7,x,y,35,5
A quilt's x squares are arranged in y equal columns. How many per column?,x,A quilt has 35 squares along its length and 7 squares across. How many total?,245,5,x,y,35,7
