clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,A team of 5 robots assembled 15 components. What was each robot's average output?,3,10,x,y,15,5
Jack has x apples. Their friend takes y apples. How many apples does Jack have now?,x,A team of 7 robots assembled 28 components. What was each robot's average output?,4,21,x,y,28,7
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,2 apples cost $18 altogether. What's the price per apple?,9,16,x,y,18,2
Chloe picks x oranges. They drop y oranges. How many oranges does Chloe have now?,x,46 apples cost $46 altogether. What's the price per apple?,1,0,x,y,46,46
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,Artists used 6 pigments across 6 paintings. What was the average per painting?,1,0,x,y,6,6
Henry buys x bananas. The cashier takes back y bananas. How many bananas does Henry have now?,x,Artists used 24 pigments across 24 paintings. What was the average per painting?,1,0,x,y,24,24
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,The printer created 6 layers over 3 minutes. What was the average speed?,2,3,x,y,6,3
Lucas grows x strawberries. y strawberries get eaten by birds. How many strawberries does Lucas have now?,x,The printer created 22 layers over 11 minutes. What was the average speed?,2,11,x,y,22,11
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,The cable transferred 24 TB over 6 hours. What was the average rate?,4,18,x,y,24,6
Benjamin collects x mangoes. They share y mangoes with their neighbor. How many mangoes does Benjamin have now?,x,The cable transferred 49 TB over 7 hours. What was the average rate?,7,42,x,y,49,7
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,A worker earned $3 from 3 items. What was the per-item rate?,1,0,x,y,3,3
Nora has x pencils. The teacher collects y pencils. How many pencils does Nora have now?,x,A worker earned $33 from 3 items. What was the per-item rate?,11,30,x,y,33,3
Isla brings x notebooks to class. A classmate borrows y notebooks. How many notebooks does Isla have now?,x,The glacier retreated 24 inches over 4 days. What was the average daily recession?,6,20,x,y,24,4
Isla brings x notebooks to class. A classmate borrows y notebooks. How many notebooks does Isla have now?,x,The glacier retreated 14 inches over 14 days. What was the average daily recession?,1,0,x,y,14,14
Henry finds x erasers in their desk. They lose y erasers. How many erasers does Henry have now?,x,The nanobots repaired 34 cells during 17 minutes. What was their average repair rate?,2,17,x,y,34,17
Henry finds x erasers in their desk. They lose y erasers. How many erasers does Henry have now?,x,The nanobots repaired 50 cells during 10 minutes. What was their average repair rate?,5,40,x,y,50,10
Nora has x markers. Their art teacher removes y markers from their collection. How many markers does Nora have now?,x,The storm had 8 lightning flashes over 8 minutes. What was the flash rate?,1,0,x,y,8,8
Nora has x markers. Their art teacher removes y markers from their collection. How many markers does Nora have now?,x,The storm had 16 lightning flashes over 4 minutes. What was the flash rate?,4,12,x,y,16,4
Chloe receives x stickers for good behavior. The principal revokes y stickers. How many stickers does Chloe have now?,x,There were 48 arrivals during 2 minutes. What was the actual arrival frequency?,24,46,x,y,48,2
Chloe receives x stickers for good behavior. The principal revokes y stickers. How many stickers does Chloe have now?,x,There were 34 arrivals during 34 minutes. What was the actual arrival frequency?,1,0,x,y,34,34
Jacob owns x toy cars. They donate y toy cars to charity. How many toy cars does Jacob have now?,x,The pyramid's 11 blocks weigh 11 tons total. What is the average block weight?,1,0,x,y,11,11
Jacob owns x toy cars. They donate y toy cars to charity. How many toy cars does Jacob have now?,x,The pyramid's 2 blocks weigh 30 tons total. What is the average block weight?,15,28,x,y,30,2
William has x building blocks. Their sibling takes y blocks from their tower. How many blocks does William have now?,x,A quilt's 24 squares are arranged in 24 equal columns. How many per column?,1,0,x,y,24,24
William has x building blocks. Their sibling takes y blocks from their tower. How many blocks does William have now?,x,A quilt's 36 squares are arranged in 3 equal columns. How many per column?,12,33,x,y,36,3
Nathan collects x action figures. They trade away y figures. How many action figures does Nathan have now?,x,5 cartons hold 35 eggs total. How many eggs per carton?,7,30,x,y,35,5
Nathan collects x action figures. They trade away y figures. How many action figures does Nathan have now?,x,7 cartons hold 35 eggs total. How many eggs per carton?,5,28,x,y,35,7
Grace has x board games. Their family gives away y board games. How many board games does Grace have now?,x,Grace earned $28 by working 2 hours. What was the hourly wage?,14,26,x,y,28,2
Grace has x board games. Their family gives away y board games. How many board games does Grace have now?,x,Grace earned $50 by working 25 hours. What was the hourly wage?,2,25,x,y,50,25
Lily owns x stuffed animals. They give y stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,x,Lily paid $26 for 2 months of service. What was the monthly rate?,13,24,x,y,26,2
Lily owns x stuffed animals. They give y stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,x,Lily paid $41 for 41 months of service. What was the monthly rate?,1,0,x,y,41,41
Ella finds x seashells at the beach. The tide washes away y seashells. How many seashells does Ella have now?,x,The band sold 48 albums over 3 concerts. What was their average sales per concert?,16,45,x,y,48,3
Ella finds x seashells at the beach. The tide washes away y seashells. How many seashells does Ella have now?,x,The band sold 10 albums over 2 concerts. What was their average sales per concert?,5,8,x,y,10,2
"Chloe counts x birds in the morning. By afternoon, y birds fly away. How many birds does Chloe see now?",x,The party found 7 coins distributed among 7 chests. What was the average per chest?,1,0,x,y,7,7
"Chloe counts x birds in the morning. By afternoon, y birds fly away. How many birds does Chloe see now?",x,The party found 28 coins distributed among 2 chests. What was the average per chest?,14,26,x,y,28,2
Olivia plants x flowers. A storm damages y flowers. How many flowers does Olivia have now?,x,The fungal network covered 48 square feet across 8 colonies. What was the average size?,6,40,x,y,48,8
Olivia plants x flowers. A storm damages y flowers. How many flowers does Olivia have now?,x,The fungal network covered 24 square feet across 3 colonies. What was the average size?,8,21,x,y,24,3
Matthew catches x fireflies. They release y fireflies. How many fireflies does Matthew have now?,x,The theater used 40 yards of fabric for 40 seats. How much fabric per seat?,1,0,x,y,40,40
Matthew catches x fireflies. They release y fireflies. How many fireflies does Matthew have now?,x,The theater used 27 yards of fabric for 27 seats. How much fabric per seat?,1,0,x,y,27,27
Grace collects x acorns. Squirrels steal y acorns. How many acorns does Grace have now?,x,Researchers found 48 turtle eggs in 4 nests. What was the average eggs per nest?,12,44,x,y,48,4
Grace collects x acorns. Squirrels steal y acorns. How many acorns does Grace have now?,x,Researchers found 27 turtle eggs in 27 nests. What was the average eggs per nest?,1,0,x,y,27,27
Nathan bakes x cookies. Their sibling eats y cookies. How many cookies does Nathan have now?,x,48 bowls used 48 liters total. What was the amount per bowl?,1,0,x,y,48,48
Nathan bakes x cookies. Their sibling eats y cookies. How many cookies does Nathan have now?,x,34 bowls used 34 liters total. What was the amount per bowl?,1,0,x,y,34,34
Lily buys x donuts. Their family eats y donuts. How many donuts does Lily have now?,x,Reservoirs dropped 44 feet during 22 months of drought. What was the average monthly decline?,2,22,x,y,44,22
Lily buys x donuts. Their family eats y donuts. How many donuts does Lily have now?,x,Reservoirs dropped 13 feet during 13 months of drought. What was the average monthly decline?,1,0,x,y,13,13
Alexander makes x sandwiches. Their friends eat y sandwiches. How many sandwiches does Alexander have now?,x,5 cakes used 15 eggs total. How many eggs per cake?,3,10,x,y,15,5
Alexander makes x sandwiches. Their friends eat y sandwiches. How many sandwiches does Alexander have now?,x,19 cakes used 19 eggs total. How many eggs per cake?,1,0,x,y,19,19
Lucas has x candies in their bag. Their teacher takes y candies. How many candies does Lucas have now?,x,The tsunami moved 10 tons of debris through 10 waves. What was the average debris per wave?,1,0,x,y,10,10
Lucas has x candies in their bag. Their teacher takes y candies. How many candies does Lucas have now?,x,The tsunami moved 36 tons of debris through 3 waves. What was the average debris per wave?,12,33,x,y,36,3
