clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,operand1,operand2
Jack has 15 apples to divide equally into 5 bags. How many apples go in each bag?,3,Jack has 15 bags with 5 apples in each. How many apples does Jack have total?,75,15,5
Jack has 28 apples to divide equally into 7 bags. How many apples go in each bag?,4,Jack has 28 bags with 7 apples in each. How many apples does Jack have total?,196,28,7
18 students are divided equally into 2 classrooms. How many in each?,9,"There are 18 classrooms, each with 2 students. How many students total?",36,18,2
46 students are divided equally into 46 classrooms. How many in each?,1,"There are 46 classrooms, each with 46 students. How many students total?",2116,46,46
A baker divides 6 cookies equally among 6 trays. How many per tray?,1,"A baker prepares 6 trays, each with 6 cookies. What is the total number?",36,6,6
A baker divides 24 cookies equally among 24 trays. How many per tray?,1,"A baker prepares 24 trays, each with 24 cookies. What is the total number?",576,24,24
A book's 6 pages are divided equally into 3 chapters. How many per chapter?,2,"A book has 6 chapters, each with 3 pages. How many pages total?",18,6,3
A book's 22 pages are divided equally into 11 chapters. How many per chapter?,2,"A book has 22 chapters, each with 11 pages. How many pages total?",242,22,11
24 pencils are packaged equally in 6 boxes. How many in each box?,4,Each of 24 boxes contains 6 pencils. What is the total count?,144,24,6
49 pencils are packaged equally in 7 boxes. How many in each box?,7,Each of 49 boxes contains 7 pencils. What is the total count?,343,49,7
Zoe read 3 pages over 3 hours. What was the hourly rate?,1,Zoe reads 3 pages every hour for 3 hours. How many pages total?,9,3,3
Zoe read 33 pages over 3 hours. What was the hourly rate?,11,Zoe reads 33 pages every hour for 3 hours. How many pages total?,99,33,3
A machine made 24 widgets in 4 minutes. What was its per-minute rate?,6,A machine produces 24 widgets every minute for 4 minutes. What's the total?,96,24,4
A machine made 14 widgets in 14 minutes. What was its per-minute rate?,1,A machine produces 14 widgets every minute for 14 minutes. What's the total?,196,14,14
A printer produced 34 pages during 17 minutes. How many per minute?,2,A printer prints 34 pages every minute. How many pages in 17 minutes?,578,34,17
A printer produced 50 pages during 10 minutes. How many per minute?,5,A printer prints 50 pages every minute. How many pages in 10 minutes?,500,50,10
A car went 8 miles using 8 gallons. What was the mileage per gallon?,1,A car travels 8 miles every gallon. How far can it go on 8 gallons?,64,8,8
A car went 16 miles using 4 gallons. What was the mileage per gallon?,4,A car travels 16 miles every gallon. How far can it go on 4 gallons?,64,16,4
William earned $48 by working 2 hours. What was the hourly wage?,24,William earns $48 per hour and works 2 hours. What are the total earnings?,96,48,2
