clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x bags with y apples in each. How many apples does Jack have total?,x,Jack has 15 apples to divide equally into 5 bags. How many apples go in each bag?,3,75,x,y,15,5
Jack has x bags with y apples in each. How many apples does Jack have total?,x,Jack has 28 apples to divide equally into 7 bags. How many apples go in each bag?,4,196,x,y,28,7
"There are x classrooms, each with y students. How many students total?",x,18 students are divided equally into 2 classrooms. How many in each?,9,36,x,y,18,2
"There are x classrooms, each with y students. How many students total?",x,46 students are divided equally into 46 classrooms. How many in each?,1,2116,x,y,46,46
"A baker prepares x trays, each with y cookies. What is the total number?",x,A baker divides 6 cookies equally among 6 trays. How many per tray?,1,36,x,y,6,6
"A baker prepares x trays, each with y cookies. What is the total number?",x,A baker divides 24 cookies equally among 24 trays. How many per tray?,1,576,x,y,24,24
"A book has x chapters, each with y pages. How many pages total?",x,A book's 6 pages are divided equally into 3 chapters. How many per chapter?,2,18,x,y,6,3
"A book has x chapters, each with y pages. How many pages total?",x,A book's 22 pages are divided equally into 11 chapters. How many per chapter?,2,242,x,y,22,11
Each of x boxes contains y pencils. What is the total count?,x,24 pencils are packaged equally in 6 boxes. How many in each box?,4,144,x,y,24,6
Each of x boxes contains y pencils. What is the total count?,x,49 pencils are packaged equally in 7 boxes. How many in each box?,7,343,x,y,49,7
Zoe reads x pages every hour for y hours. How many pages total?,x,Zoe read 3 pages over 3 hours. What was the hourly rate?,1,9,x,y,3,3
Zoe reads x pages every hour for y hours. How many pages total?,x,Zoe read 33 pages over 3 hours. What was the hourly rate?,11,99,x,y,33,3
A machine produces x widgets every minute for y minutes. What's the total?,x,A machine made 24 widgets in 4 minutes. What was its per-minute rate?,6,96,x,y,24,4
A machine produces x widgets every minute for y minutes. What's the total?,x,A machine made 14 widgets in 14 minutes. What was its per-minute rate?,1,196,x,y,14,14
A printer prints x pages every minute. How many pages in y minutes?,x,A printer produced 34 pages during 17 minutes. How many per minute?,2,578,x,y,34,17
A printer prints x pages every minute. How many pages in y minutes?,x,A printer produced 50 pages during 10 minutes. How many per minute?,5,500,x,y,50,10
A car travels x miles every gallon. How far can it go on y gallons?,x,A car went 8 miles using 8 gallons. What was the mileage per gallon?,1,64,x,y,8,8
A car travels x miles every gallon. How far can it go on y gallons?,x,A car went 16 miles using 4 gallons. What was the mileage per gallon?,4,64,x,y,16,4
William earns $x per hour and works y hours. What are the total earnings?,x,William earned $48 by working 2 hours. What was the hourly wage?,24,96,x,y,48,2
William earns $x per hour and works y hours. What are the total earnings?,x,William earned $34 by working 34 hours. What was the hourly wage?,1,1156,x,y,34,34
A garden has x rows with y plants per row. How many plants total?,x,11 plants are arranged in 11 equal rows. How many plants per row?,1,121,x,y,11,11
A garden has x rows with y plants per row. How many plants total?,x,30 plants are arranged in 2 equal rows. How many plants per row?,15,60,x,y,30,2
"A parking lot has x rows, each holding y cars. How many cars total?",x,24 cars are parked in 24 equal rows. How many cars per row?,1,576,x,y,24,24
"A parking lot has x rows, each holding y cars. How many cars total?",x,36 cars are parked in 3 equal rows. How many cars per row?,12,108,x,y,36,3
A quilt has x squares along its length and y squares across. How many total?,x,A quilt's 35 squares are arranged in 5 equal columns. How many per column?,7,175,x,y,35,5
A quilt has x squares along its length and y squares across. How many total?,x,A quilt's 35 squares are arranged in 7 equal columns. How many per column?,5,245,x,y,35,7
Each of x rows contains y desks. How many desks total?,x,28 desks are arranged in 2 equal rows. How many desks per row?,14,56,x,y,28,2
Each of x rows contains y desks. How many desks total?,x,50 desks are arranged in 25 equal rows. How many desks per row?,2,1250,x,y,50,25
"A bookshelf has x shelves, each holding y books. How many books total?",x,26 books are placed equally on 2 shelves. How many books per shelf?,13,52,x,y,26,2
