clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,Jack has 9 apples. Their friend takes 1 apples. How many apples does Jack have now?,8,10,x,y,9,1
Jack has x apples. Their friend gives them y more apples. How many apples does Jack have now?,x,Jack has 17 apples. Their friend takes 8 apples. How many apples does Jack have now?,9,25,x,y,17,8
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,Chloe picks 49 oranges. They drop 35 oranges. How many oranges does Chloe have now?,14,84,x,y,49,35
Chloe picks x oranges. They find y more oranges on the ground. How many oranges does Chloe have now?,x,Chloe picks 29 oranges. They drop 2 oranges. How many oranges does Chloe have now?,27,31,x,y,29,2
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,Henry buys 16 bananas. The cashier takes back 9 bananas. How many bananas does Henry have now?,7,25,x,y,16,9
Henry buys x bananas. The cashier gives them y extra bananas. How many bananas does Henry have now?,x,Henry buys 37 bananas. The cashier takes back 13 bananas. How many bananas does Henry have now?,24,50,x,y,37,13
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,Lucas grows 36 strawberries. 27 strawberries get eaten by birds. How many strawberries does Lucas have now?,9,63,x,y,36,27
Lucas grows x strawberries. y more strawberries ripen overnight. How many strawberries does Lucas have now?,x,Lucas grows 46 strawberries. 28 strawberries get eaten by birds. How many strawberries does Lucas have now?,18,74,x,y,46,28
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,Benjamin collects 15 mangoes. They share 13 mangoes with their neighbor. How many mangoes does Benjamin have now?,2,28,x,y,15,13
Benjamin collects x mangoes. Their neighbor shares y more mangoes. How many mangoes does Benjamin have now?,x,Benjamin collects 7 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,3,11,x,y,7,4
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,Nora has 24 pencils. The teacher collects 20 pencils. How many pencils does Nora have now?,4,44,x,y,24,20
Nora has x pencils. The teacher distributes y more pencils. How many pencils does Nora have now?,x,Nora has 48 pencils. The teacher collects 30 pencils. How many pencils does Nora have now?,18,78,x,y,48,30
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,Isla brings 26 notebooks to class. A classmate borrows 3 notebooks. How many notebooks does Isla have now?,23,29,x,y,26,3
Isla brings x notebooks to class. A classmate gives them y more notebooks. How many notebooks does Isla have now?,x,Isla brings 42 notebooks to class. A classmate borrows 40 notebooks. How many notebooks does Isla have now?,2,82,x,y,42,40
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,Henry finds 47 erasers in their desk. They lose 5 erasers. How many erasers does Henry have now?,42,52,x,y,47,5
Henry finds x erasers in their desk. They discover y more erasers in their bag. How many erasers does Henry have now?,x,Henry finds 16 erasers in their desk. They lose 13 erasers. How many erasers does Henry have now?,3,29,x,y,16,13
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,Nora has 16 markers. Their art teacher removes 14 markers from their collection. How many markers does Nora have now?,2,30,x,y,16,14
Nora has x markers. Their art teacher adds y more markers to their collection. How many markers does Nora have now?,x,Nora has 42 markers. Their art teacher removes 24 markers from their collection. How many markers does Nora have now?,18,66,x,y,42,24
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,Chloe receives 19 stickers for good behavior. The principal revokes 3 stickers. How many stickers does Chloe have now?,16,22,x,y,19,3
Chloe receives x stickers for good behavior. The principal awards them y more stickers. How many stickers does Chloe have now?,x,Chloe receives 36 stickers for good behavior. The principal revokes 16 stickers. How many stickers does Chloe have now?,20,52,x,y,36,16
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,Jacob owns 19 toy cars. They donate 18 toy cars to charity. How many toy cars does Jacob have now?,1,37,x,y,19,18
Jacob owns x toy cars. Their birthday gifts include y more toy cars. How many toy cars does Jacob have now?,x,Jacob owns 22 toy cars. They donate 2 toy cars to charity. How many toy cars does Jacob have now?,20,24,x,y,22,2
William has x building blocks. Their sibling contributes y more blocks to their tower. How many blocks does William have now?,x,William has 15 building blocks. Their sibling takes 10 blocks from their tower. How many blocks does William have now?,5,25,x,y,15,10
William has x building blocks. Their sibling contributes y more blocks to their tower. How many blocks does William have now?,x,William has 15 building blocks. Their sibling takes 11 blocks from their tower. How many blocks does William have now?,4,26,x,y,15,11
Nathan collects x action figures. A new series releases y more figures. How many action figures does Nathan have now?,x,Nathan collects 43 action figures. They trade away 30 figures. How many action figures does Nathan have now?,13,73,x,y,43,30
Nathan collects x action figures. A new series releases y more figures. How many action figures does Nathan have now?,x,Nathan collects 10 action figures. They trade away 4 figures. How many action figures does Nathan have now?,6,14,x,y,10,4
Grace has x board games. Their family acquires y more board games. How many board games does Grace have now?,x,Grace has 18 board games. Their family gives away 14 board games. How many board games does Grace have now?,4,32,x,y,18,14
Grace has x board games. Their family acquires y more board games. How many board games does Grace have now?,x,Grace has 25 board games. Their family gives away 8 board games. How many board games does Grace have now?,17,33,x,y,25,8
Lily owns x stuffed animals. A relative sends them y more stuffed animals. How many stuffed animals does Lily have now?,x,Lily owns 7 stuffed animals. They give 1 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,6,8,x,y,7,1
Lily owns x stuffed animals. A relative sends them y more stuffed animals. How many stuffed animals does Lily have now?,x,Lily owns 42 stuffed animals. They give 11 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,31,53,x,y,42,11
Ella finds x seashells at the beach. The next day they find y more seashells. How many seashells does Ella have now?,x,Ella finds 6 seashells at the beach. The tide washes away 4 seashells. How many seashells does Ella have now?,2,10,x,y,6,4
Ella finds x seashells at the beach. The next day they find y more seashells. How many seashells does Ella have now?,x,Ella finds 31 seashells at the beach. The tide washes away 17 seashells. How many seashells does Ella have now?,14,48,x,y,31,17
"Chloe counts x birds in the morning. By afternoon, y more birds arrive. How many birds does Chloe see now?",x,"Chloe counts 48 birds in the morning. By afternoon, 8 birds fly away. How many birds does Chloe see now?",40,56,x,y,48,8
"Chloe counts x birds in the morning. By afternoon, y more birds arrive. How many birds does Chloe see now?",x,"Chloe counts 50 birds in the morning. By afternoon, 18 birds fly away. How many birds does Chloe see now?",32,68,x,y,50,18
"Olivia plants x flowers. After a week, y more flowers bloom. How many flowers does Olivia have now?",x,Olivia plants 20 flowers. A storm damages 14 flowers. How many flowers does Olivia have now?,6,34,x,y,20,14
"Olivia plants x flowers. After a week, y more flowers bloom. How many flowers does Olivia have now?",x,Olivia plants 34 flowers. A storm damages 7 flowers. How many flowers does Olivia have now?,27,41,x,y,34,7
Matthew catches x fireflies. Their jar attracts y more fireflies. How many fireflies does Matthew have now?,x,Matthew catches 42 fireflies. They release 33 fireflies. How many fireflies does Matthew have now?,9,75,x,y,42,33
Matthew catches x fireflies. Their jar attracts y more fireflies. How many fireflies does Matthew have now?,x,Matthew catches 11 fireflies. They release 6 fireflies. How many fireflies does Matthew have now?,5,17,x,y,11,6
Grace collects x acorns. Their friend finds y more acorns for them. How many acorns does Grace have now?,x,Grace collects 35 acorns. Squirrels steal 1 acorns. How many acorns does Grace have now?,34,36,x,y,35,1
Grace collects x acorns. Their friend finds y more acorns for them. How many acorns does Grace have now?,x,Grace collects 33 acorns. Squirrels steal 2 acorns. How many acorns does Grace have now?,31,35,x,y,33,2
Nathan bakes x cookies. Their sibling helps bake y more cookies. How many cookies does Nathan have now?,x,Nathan bakes 21 cookies. Their sibling eats 8 cookies. How many cookies does Nathan have now?,13,29,x,y,21,8
Nathan bakes x cookies. Their sibling helps bake y more cookies. How many cookies does Nathan have now?,x,Nathan bakes 38 cookies. Their sibling eats 6 cookies. How many cookies does Nathan have now?,32,44,x,y,38,6
Lily buys x donuts. The bakery throws in y extra donuts. How many donuts does Lily have now?,x,Lily buys 6 donuts. Their family eats 5 donuts. How many donuts does Lily have now?,1,11,x,y,6,5
Lily buys x donuts. The bakery throws in y extra donuts. How many donuts does Lily have now?,x,Lily buys 44 donuts. Their family eats 31 donuts. How many donuts does Lily have now?,13,75,x,y,44,31
