clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 9 apples. Their friend gives them 1 more apples. How many apples does Jack have now?,10,Jack has 49 apples. Their friend gives them 18 more apples. How many apples does Jack have now?,67,9,1,49,18
Jack has 17 apples. Their friend gives them 8 more apples. How many apples does Jack have now?,25,Jack has 10 apples. Their friend gives them 2 more apples. How many apples does Jack have now?,12,17,8,10,2
Chloe picks 49 oranges. They find 35 more oranges on the ground. How many oranges does Chloe have now?,84,Chloe picks 7 oranges. They find 5 more oranges on the ground. How many oranges does Chloe have now?,12,49,35,7,5
Chloe picks 29 oranges. They find 2 more oranges on the ground. How many oranges does Chloe have now?,31,Chloe picks 3 oranges. They find 1 more oranges on the ground. How many oranges does Chloe have now?,4,29,2,3,1
Henry buys 16 bananas. The cashier gives them 9 extra bananas. How many bananas does Henry have now?,25,Henry buys 40 bananas. The cashier gives them 2 extra bananas. How many bananas does Henry have now?,42,16,9,40,2
Henry buys 37 bananas. The cashier gives them 13 extra bananas. How many bananas does Henry have now?,50,Henry buys 47 bananas. The cashier gives them 42 extra bananas. How many bananas does Henry have now?,89,37,13,47,42
Lucas grows 36 strawberries. 27 more strawberries ripen overnight. How many strawberries does Lucas have now?,63,Lucas grows 39 strawberries. 18 more strawberries ripen overnight. How many strawberries does Lucas have now?,57,36,27,39,18
Lucas grows 46 strawberries. 28 more strawberries ripen overnight. How many strawberries does Lucas have now?,74,Lucas grows 23 strawberries. 9 more strawberries ripen overnight. How many strawberries does Lucas have now?,32,46,28,23,9
Benjamin collects 15 mangoes. Their neighbor shares 13 more mangoes. How many mangoes does Benjamin have now?,28,Benjamin collects 23 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,27,15,13,23,4
Benjamin collects 7 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,11,Benjamin collects 8 mangoes. Their neighbor shares 3 more mangoes. How many mangoes does Benjamin have now?,11,7,4,8,3
Nora has 24 pencils. The teacher distributes 20 more pencils. How many pencils does Nora have now?,44,Nora has 18 pencils. The teacher distributes 2 more pencils. How many pencils does Nora have now?,20,24,20,18,2
Nora has 48 pencils. The teacher distributes 30 more pencils. How many pencils does Nora have now?,78,Nora has 36 pencils. The teacher distributes 8 more pencils. How many pencils does Nora have now?,44,48,30,36,8
Isla brings 26 notebooks to class. A classmate gives them 3 more notebooks. How many notebooks does Isla have now?,29,Isla brings 37 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,56,26,3,37,19
Isla brings 42 notebooks to class. A classmate gives them 40 more notebooks. How many notebooks does Isla have now?,82,Isla brings 25 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,44,42,40,25,19
