clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,operand1,operand2
Jack has 15 bags with 5 apples in each. How many apples does Jack have total?,75,Jack has 15 apples to divide equally into 5 bags. How many apples go in each bag?,3,15,5
Jack has 28 bags with 7 apples in each. How many apples does Jack have total?,196,Jack has 28 apples to divide equally into 7 bags. How many apples go in each bag?,4,28,7
"There are 18 classrooms, each with 2 students. How many students total?",36,18 students are divided equally into 2 classrooms. How many in each?,9,18,2
"There are 46 classrooms, each with 46 students. How many students total?",2116,46 students are divided equally into 46 classrooms. How many in each?,1,46,46
"A baker prepares 6 trays, each with 6 cookies. What is the total number?",36,A baker divides 6 cookies equally among 6 trays. How many per tray?,1,6,6
"A baker prepares 24 trays, each with 24 cookies. What is the total number?",576,A baker divides 24 cookies equally among 24 trays. How many per tray?,1,24,24
"A book has 6 chapters, each with 3 pages. How many pages total?",18,A book's 6 pages are divided equally into 3 chapters. How many per chapter?,2,6,3
"A book has 22 chapters, each with 11 pages. How many pages total?",242,A book's 22 pages are divided equally into 11 chapters. How many per chapter?,2,22,11
Each of 24 boxes contains 6 pencils. What is the total count?,144,24 pencils are packaged equally in 6 boxes. How many in each box?,4,24,6
Each of 49 boxes contains 7 pencils. What is the total count?,343,49 pencils are packaged equally in 7 boxes. How many in each box?,7,49,7
Zoe reads 3 pages every hour for 3 hours. How many pages total?,9,Zoe read 3 pages over 3 hours. What was the hourly rate?,1,3,3
Zoe reads 33 pages every hour for 3 hours. How many pages total?,99,Zoe read 33 pages over 3 hours. What was the hourly rate?,11,33,3
A machine produces 24 widgets every minute for 4 minutes. What's the total?,96,A machine made 24 widgets in 4 minutes. What was its per-minute rate?,6,24,4
A machine produces 14 widgets every minute for 14 minutes. What's the total?,196,A machine made 14 widgets in 14 minutes. What was its per-minute rate?,1,14,14
A printer prints 34 pages every minute. How many pages in 17 minutes?,578,A printer produced 34 pages during 17 minutes. How many per minute?,2,34,17
A printer prints 50 pages every minute. How many pages in 10 minutes?,500,A printer produced 50 pages during 10 minutes. How many per minute?,5,50,10
A car travels 8 miles every gallon. How far can it go on 8 gallons?,64,A car went 8 miles using 8 gallons. What was the mileage per gallon?,1,8,8
A car travels 16 miles every gallon. How far can it go on 4 gallons?,64,A car went 16 miles using 4 gallons. What was the mileage per gallon?,4,16,4
William earns $48 per hour and works 2 hours. What are the total earnings?,96,William earned $48 by working 2 hours. What was the hourly wage?,24,48,2
William earns $34 per hour and works 34 hours. What are the total earnings?,1156,William earned $34 by working 34 hours. What was the hourly wage?,1,34,34
A garden has 11 rows with 11 plants per row. How many plants total?,121,11 plants are arranged in 11 equal rows. How many plants per row?,1,11,11
A garden has 30 rows with 2 plants per row. How many plants total?,60,30 plants are arranged in 2 equal rows. How many plants per row?,15,30,2
"A parking lot has 24 rows, each holding 24 cars. How many cars total?",576,24 cars are parked in 24 equal rows. How many cars per row?,1,24,24
"A parking lot has 36 rows, each holding 3 cars. How many cars total?",108,36 cars are parked in 3 equal rows. How many cars per row?,12,36,3
A quilt has 35 squares along its length and 5 squares across. How many total?,175,A quilt's 35 squares are arranged in 5 equal columns. How many per column?,7,35,5
A quilt has 35 squares along its length and 7 squares across. How many total?,245,A quilt's 35 squares are arranged in 7 equal columns. How many per column?,5,35,7
Each of 28 rows contains 2 desks. How many desks total?,56,28 desks are arranged in 2 equal rows. How many desks per row?,14,28,2
Each of 50 rows contains 25 desks. How many desks total?,1250,50 desks are arranged in 25 equal rows. How many desks per row?,2,50,25
"A bookshelf has 26 shelves, each holding 2 books. How many books total?",52,26 books are placed equally on 2 shelves. How many books per shelf?,13,26,2
"A bookshelf has 41 shelves, each holding 41 books. How many books total?",1681,41 books are placed equally on 41 shelves. How many books per shelf?,1,41,41
Tickets cost $48 each. Alexander buys 3 tickets. What's the total cost?,144,Alexander spent $48 on 3 equally priced tickets. What was the price per ticket?,16,48,3
Tickets cost $10 each. Alexander buys 2 tickets. What's the total cost?,20,Alexander spent $10 on 2 equally priced tickets. What was the price per ticket?,5,10,2
Each candy bag costs $7. How much for 7 bags?,49,Matthew paid $7 for 7 candy bags. What was the per-bag price?,1,7,7
Each candy bag costs $28. How much for 2 bags?,56,Matthew paid $28 for 2 candy bags. What was the per-bag price?,14,28,2
A toy is priced at $48 each. How much for 8 toys?,384,Henry spent $48 on 8 identical toys. What was each toy's price?,6,48,8
A toy is priced at $24 each. How much for 3 toys?,72,Henry spent $24 on 3 identical toys. What was each toy's price?,8,24,3
Apples cost $40 per apple. How much for 40 apples?,1600,40 apples cost $40 altogether. What's the price per apple?,1,40,40
Apples cost $27 per apple. How much for 27 apples?,729,27 apples cost $27 altogether. What's the price per apple?,1,27,27
A subscription costs $48 monthly. What's the cost for 4 months?,192,Amelia paid $48 for 4 months of service. What was the monthly rate?,12,48,4
A subscription costs $27 monthly. What's the cost for 27 months?,729,Amelia paid $27 for 27 months of service. What was the monthly rate?,1,27,27
A car drives 48 miles every hour for 48 hours. How far does it go?,2304,A car traveled 48 miles in 48 hours. What was its speed in mph?,1,48,48
A car drives 34 miles every hour for 34 hours. How far does it go?,1156,A car traveled 34 miles in 34 hours. What was its speed in mph?,1,34,34
A plane flies 44 miles per hour. How far in 22 hours?,968,A plane covered 44 miles over 22 hours. What was its speed?,2,44,22
A plane flies 13 miles per hour. How far in 13 hours?,169,A plane covered 13 miles over 13 hours. What was its speed?,1,13,13
A runner maintains 15 km every hour. How far in 5 hours?,75,A runner completed 15 km in 5 hours. What was the pace?,3,15,5
A runner maintains 19 km every hour. How far in 19 hours?,361,A runner completed 19 km in 19 hours. What was the pace?,1,19,19
A train travels 10 kilometers per hour. How far does it go in 10 hours?,100,A train went 10 km during 10 hours. What was its speed?,1,10,10
A train travels 36 kilometers per hour. How far does it go in 3 hours?,108,A train went 36 km during 3 hours. What was its speed?,12,36,3
A cyclist averages 45 miles every hour. How far in 15 hours?,675,A cyclist rode 45 miles over 15 hours. What was the average speed?,3,45,15
A cyclist averages 48 miles every hour. How far in 2 hours?,96,A cyclist rode 48 miles over 2 hours. What was the average speed?,24,48,2
A recipe requires 15 cups of flour per batch. Chloe makes 15 batches. How much flour?,225,Chloe has 15 cups of flour to make 15 batches. How much per batch?,1,15,15
A recipe requires 28 cups of flour per batch. Chloe makes 2 batches. How much flour?,56,Chloe has 28 cups of flour to make 2 batches. How much per batch?,14,28,2
Each cake needs 30 eggs. How many eggs for 3 cakes?,90,3 cakes used 30 eggs total. How many eggs per cake?,10,30,3
Each cake needs 19 eggs. How many eggs for 19 cakes?,361,19 cakes used 19 eggs total. How many eggs per cake?,1,19,19
Cookies require 27 chips per cookie. How many chips for 27 cookies?,729,27 cookies used 27 chips altogether. What's the average per cookie?,1,27,27
Cookies require 20 chips per cookie. How many chips for 20 cookies?,400,20 cookies used 20 chips altogether. What's the average per cookie?,1,20,20
Each serving requires 15 ounces. How much for 3 servings?,45,3 servings used 15 ounces total. How much per serving?,5,15,3
