prompt,gt_answer,operand1,operand2
Jack has 15 apples to divide equally into 5 bags. How many apples go in each bag?,3,15,5
Jack has 28 apples to divide equally into 7 bags. How many apples go in each bag?,4,28,7
18 students are divided equally into 2 classrooms. How many in each?,9,18,2
46 students are divided equally into 46 classrooms. How many in each?,1,46,46
A baker divides 6 cookies equally among 6 trays. How many per tray?,1,6,6
A baker divides 24 cookies equally among 24 trays. How many per tray?,1,24,24
A book's 6 pages are divided equally into 3 chapters. How many per chapter?,2,6,3
A book's 22 pages are divided equally into 11 chapters. How many per chapter?,2,22,11
24 pencils are packaged equally in 6 boxes. How many in each box?,4,24,6
49 pencils are packaged equally in 7 boxes. How many in each box?,7,49,7
Zoe read 3 pages over 3 hours. What was the hourly rate?,1,3,3
Zoe read 33 pages over 3 hours. What was the hourly rate?,11,33,3
A machine made 24 widgets in 4 minutes. What was its per-minute rate?,6,24,4
A machine made 14 widgets in 14 minutes. What was its per-minute rate?,1,14,14
A printer produced 34 pages during 17 minutes. How many per minute?,2,34,17
A printer produced 50 pages during 10 minutes. How many per minute?,5,50,10
A car went 8 miles using 8 gallons. What was the mileage per gallon?,1,8,8
A car went 16 miles using 4 gallons. What was the mileage per gallon?,4,16,4
William earned $48 by working 2 hours. What was the hourly wage?,24,48,2
William earned $34 by working 34 hours. What was the hourly wage?,1,34,34
11 plants are arranged in 11 equal rows. How many plants per row?,1,11,11
30 plants are arranged in 2 equal rows. How many plants per row?,15,30,2
24 cars are parked in 24 equal rows. How many cars per row?,1,24,24
36 cars are parked in 3 equal rows. How many cars per row?,12,36,3
A quilt's 35 squares are arranged in 5 equal columns. How many per column?,7,35,5
A quilt's 35 squares are arranged in 7 equal columns. How many per column?,5,35,7
28 desks are arranged in 2 equal rows. How many desks per row?,14,28,2
50 desks are arranged in 25 equal rows. How many desks per row?,2,50,25
26 books are placed equally on 2 shelves. How many books per shelf?,13,26,2
41 books are placed equally on 41 shelves. How many books per shelf?,1,41,41
Alexander spent $48 on 3 equally priced tickets. What was the price per ticket?,16,48,3
Alexander spent $10 on 2 equally priced tickets. What was the price per ticket?,5,10,2
Matthew paid $7 for 7 candy bags. What was the per-bag price?,1,7,7
Matthew paid $28 for 2 candy bags. What was the per-bag price?,14,28,2
Henry spent $48 on 8 identical toys. What was each toy's price?,6,48,8
Henry spent $24 on 3 identical toys. What was each toy's price?,8,24,3
40 apples cost $40 altogether. What's the price per apple?,1,40,40
27 apples cost $27 altogether. What's the price per apple?,1,27,27
Amelia paid $48 for 4 months of service. What was the monthly rate?,12,48,4
Amelia paid $27 for 27 months of service. What was the monthly rate?,1,27,27
A car traveled 48 miles in 48 hours. What was its speed in mph?,1,48,48
A car traveled 34 miles in 34 hours. What was its speed in mph?,1,34,34
A plane covered 44 miles over 22 hours. What was its speed?,2,44,22
A plane covered 13 miles over 13 hours. What was its speed?,1,13,13
A runner completed 15 km in 5 hours. What was the pace?,3,15,5
A runner completed 19 km in 19 hours. What was the pace?,1,19,19
A train went 10 km during 10 hours. What was its speed?,1,10,10
A train went 36 km during 3 hours. What was its speed?,12,36,3
A cyclist rode 45 miles over 15 hours. What was the average speed?,3,45,15
A cyclist rode 48 miles over 2 hours. What was the average speed?,24,48,2
Chloe has 15 cups of flour to make 15 batches. How much per batch?,1,15,15
Chloe has 28 cups of flour to make 2 batches. How much per batch?,14,28,2
3 cakes used 30 eggs total. How many eggs per cake?,10,30,3
19 cakes used 19 eggs total. How many eggs per cake?,1,19,19
27 cookies used 27 chips altogether. What's the average per cookie?,1,27,27
20 cookies used 20 chips altogether. What's the average per cookie?,1,20,20
3 servings used 15 ounces total. How much per serving?,5,15,3
11 servings used 44 ounces total. How much per serving?,4,44,11
18 bowls used 18 liters total. What was the amount per bowl?,1,18,18
23 bowls used 46 liters total. What was the amount per bowl?,2,46,23
Isla earned $2 by working 2 hours. What was the hourly pay?,1,2,2
Isla earned $32 by working 2 hours. What was the hourly pay?,16,32,2
