clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend gives them 18 more apples. How many apples does Jack have now?,67,A team of 5 robots assembled 15 components. What was each robot's average output?,3,20,49,18,15,5
Jack has 10 apples. Their friend gives them 2 more apples. How many apples does Jack have now?,12,A team of 7 robots assembled 28 components. What was each robot's average output?,4,35,10,2,28,7
Chloe picks 7 oranges. They find 5 more oranges on the ground. How many oranges does Chloe have now?,12,2 apples cost $18 altogether. What's the price per apple?,9,20,7,5,18,2
Chloe picks 3 oranges. They find 1 more oranges on the ground. How many oranges does Chloe have now?,4,46 apples cost $46 altogether. What's the price per apple?,1,92,3,1,46,46
Henry buys 40 bananas. The cashier gives them 2 extra bananas. How many bananas does Henry have now?,42,Artists used 6 pigments across 6 paintings. What was the average per painting?,1,12,40,2,6,6
Henry buys 47 bananas. The cashier gives them 42 extra bananas. How many bananas does Henry have now?,89,Artists used 24 pigments across 24 paintings. What was the average per painting?,1,48,47,42,24,24
Lucas grows 39 strawberries. 18 more strawberries ripen overnight. How many strawberries does Lucas have now?,57,The printer created 6 layers over 3 minutes. What was the average speed?,2,9,39,18,6,3
Lucas grows 23 strawberries. 9 more strawberries ripen overnight. How many strawberries does Lucas have now?,32,The printer created 22 layers over 11 minutes. What was the average speed?,2,33,23,9,22,11
Benjamin collects 23 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,27,The cable transferred 24 TB over 6 hours. What was the average rate?,4,30,23,4,24,6
Benjamin collects 8 mangoes. Their neighbor shares 3 more mangoes. How many mangoes does Benjamin have now?,11,The cable transferred 49 TB over 7 hours. What was the average rate?,7,56,8,3,49,7
Nora has 18 pencils. The teacher distributes 2 more pencils. How many pencils does Nora have now?,20,A worker earned $3 from 3 items. What was the per-item rate?,1,6,18,2,3,3
Nora has 36 pencils. The teacher distributes 8 more pencils. How many pencils does Nora have now?,44,A worker earned $33 from 3 items. What was the per-item rate?,11,36,36,8,33,3
Isla brings 37 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,56,The glacier retreated 24 inches over 4 days. What was the average daily recession?,6,28,37,19,24,4
Isla brings 25 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,44,The glacier retreated 14 inches over 14 days. What was the average daily recession?,1,28,25,19,14,14
Henry finds 4 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,7,The nanobots repaired 34 cells during 17 minutes. What was their average repair rate?,2,51,4,3,34,17
Henry finds 20 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,23,The nanobots repaired 50 cells during 10 minutes. What was their average repair rate?,5,60,20,3,50,10
Nora has 19 markers. Their art teacher adds 15 more markers to their collection. How many markers does Nora have now?,34,The storm had 8 lightning flashes over 8 minutes. What was the flash rate?,1,16,19,15,8,8
Nora has 24 markers. Their art teacher adds 7 more markers to their collection. How many markers does Nora have now?,31,The storm had 16 lightning flashes over 4 minutes. What was the flash rate?,4,20,24,7,16,4
Chloe receives 40 stickers for good behavior. The principal awards them 11 more stickers. How many stickers does Chloe have now?,51,There were 48 arrivals during 2 minutes. What was the actual arrival frequency?,24,50,40,11,48,2
Chloe receives 12 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Chloe have now?,20,There were 34 arrivals during 34 minutes. What was the actual arrival frequency?,1,68,12,8,34,34
Jacob owns 16 toy cars. Their birthday gifts include 11 more toy cars. How many toy cars does Jacob have now?,27,The pyramid's 11 blocks weigh 11 tons total. What is the average block weight?,1,22,16,11,11,11
Jacob owns 27 toy cars. Their birthday gifts include 9 more toy cars. How many toy cars does Jacob have now?,36,The pyramid's 2 blocks weigh 30 tons total. What is the average block weight?,15,32,27,9,30,2
William has 47 building blocks. Their sibling contributes 21 more blocks to their tower. How many blocks does William have now?,68,A quilt's 24 squares are arranged in 24 equal columns. How many per column?,1,48,47,21,24,24
William has 33 building blocks. Their sibling contributes 26 more blocks to their tower. How many blocks does William have now?,59,A quilt's 36 squares are arranged in 3 equal columns. How many per column?,12,39,33,26,36,3
Nathan collects 11 action figures. A new series releases 5 more figures. How many action figures does Nathan have now?,16,5 cartons hold 35 eggs total. How many eggs per carton?,7,40,11,5,35,5
Nathan collects 49 action figures. A new series releases 36 more figures. How many action figures does Nathan have now?,85,7 cartons hold 35 eggs total. How many eggs per carton?,5,42,49,36,35,7
Grace has 39 board games. Their family acquires 26 more board games. How many board games does Grace have now?,65,Grace earned $28 by working 2 hours. What was the hourly wage?,14,30,39,26,28,2
Grace has 10 board games. Their family acquires 9 more board games. How many board games does Grace have now?,19,Grace earned $50 by working 25 hours. What was the hourly wage?,2,75,10,9,50,25
Lily owns 9 stuffed animals. A relative sends them 3 more stuffed animals. How many stuffed animals does Lily have now?,12,Lily paid $26 for 2 months of service. What was the monthly rate?,13,28,9,3,26,2
Lily owns 45 stuffed animals. A relative sends them 28 more stuffed animals. How many stuffed animals does Lily have now?,73,Lily paid $41 for 41 months of service. What was the monthly rate?,1,82,45,28,41,41
Ella finds 26 seashells at the beach. The next day they find 20 more seashells. How many seashells does Ella have now?,46,The band sold 48 albums over 3 concerts. What was their average sales per concert?,16,51,26,20,48,3
Ella finds 18 seashells at the beach. The next day they find 1 more seashells. How many seashells does Ella have now?,19,The band sold 10 albums over 2 concerts. What was their average sales per concert?,5,12,18,1,10,2
