clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x bags with y apples in each. How many apples does Jack have total?,x,The course offers 9 credit hours. Jack drops 1 credit hours. How many credits remain?,8,9,x,y,9,1
Jack has x bags with y apples in each. How many apples does Jack have total?,x,The course offers 17 credit hours. Jack drops 8 credit hours. How many credits remain?,9,136,x,y,17,8
"There are x classrooms, each with y students. How many students total?",x,Amelia catches 49 fireflies. They release 35 fireflies. How many fireflies does Amelia have now?,14,1715,x,y,49,35
"There are x classrooms, each with y students. How many students total?",x,Amelia catches 29 fireflies. They release 2 fireflies. How many fireflies does Amelia have now?,27,58,x,y,29,2
"A baker prepares x trays, each with y cookies. What is the total number?",x,"The itinerary includes 16 cities. After visiting 9 cities, how many remain?",7,144,x,y,16,9
"A baker prepares x trays, each with y cookies. What is the total number?",x,"The itinerary includes 37 cities. After visiting 13 cities, how many remain?",24,481,x,y,37,13
"A book has x chapters, each with y pages. How many pages total?",x,The parking lot has 36 cars. 27 cars leave the lot. How many spaces are still occupied?,9,972,x,y,36,27
"A book has x chapters, each with y pages. How many pages total?",x,The parking lot has 46 cars. 28 cars leave the lot. How many spaces are still occupied?,18,1288,x,y,46,28
Each of x boxes contains y pencils. What is the total count?,x,"The train makes 15 stops. After 13 stops, how many remain on the route?",2,195,x,y,15,13
Each of x boxes contains y pencils. What is the total count?,x,"The train makes 7 stops. After 4 stops, how many remain on the route?",3,28,x,y,7,4
Zoe reads x pages every hour for y hours. How many pages total?,x,Zoe owns 24 paintbrushes. Their teacher collects 20 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,4,480,x,y,24,20
Zoe reads x pages every hour for y hours. How many pages total?,x,Zoe owns 48 paintbrushes. Their teacher collects 30 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,18,1440,x,y,48,30
A machine produces x widgets every minute for y minutes. What's the total?,x,The pool contains 26 gallons. Benjamin drains 3 gallons for cleaning. What volume remains?,23,78,x,y,26,3
A machine produces x widgets every minute for y minutes. What's the total?,x,The pool contains 42 gallons. Benjamin drains 40 gallons for cleaning. What volume remains?,2,1680,x,y,42,40
A printer prints x pages every minute. How many pages in y minutes?,x,The lake contains 47 fish. 5 fish are caught. How many fish remain?,42,235,x,y,47,5
A printer prints x pages every minute. How many pages in y minutes?,x,The lake contains 16 fish. 13 fish are caught. How many fish remain?,3,208,x,y,16,13
A car travels x miles every gallon. How far can it go on y gallons?,x,The bakery prepares 16 loaves. Customers purchase 14 loaves. How many loaves are left?,2,224,x,y,16,14
A car travels x miles every gallon. How far can it go on y gallons?,x,The bakery prepares 42 loaves. Customers purchase 24 loaves. How many loaves are left?,18,1008,x,y,42,24
William earns $x per hour and works y hours. What are the total earnings?,x,The shopping list has 19 items. William crosses off 3 items. How many items remain?,16,57,x,y,19,3
William earns $x per hour and works y hours. What are the total earnings?,x,The shopping list has 36 items. William crosses off 16 items. How many items remain?,20,576,x,y,36,16
A garden has x rows with y plants per row. How many plants total?,x,The project has 19 tasks. Henry completes 18 tasks. How many tasks remain?,1,342,x,y,19,18
A garden has x rows with y plants per row. How many plants total?,x,The project has 22 tasks. Henry completes 2 tasks. How many tasks remain?,20,44,x,y,22,2
"A parking lot has x rows, each holding y cars. How many cars total?",x,Nora collects 15 action figures. They trade away 10 figures. How many action figures does Nora have now?,5,150,x,y,15,10
"A parking lot has x rows, each holding y cars. How many cars total?",x,Nora collects 15 action figures. They trade away 11 figures. How many action figures does Nora have now?,4,165,x,y,15,11
A quilt has x squares along its length and y squares across. How many total?,x,Daniel owns 43 comic books. A friend borrows 30 comic books. How many comic books does Daniel have now?,13,1290,x,y,43,30
A quilt has x squares along its length and y squares across. How many total?,x,Daniel owns 10 comic books. A friend borrows 4 comic books. How many comic books does Daniel have now?,6,40,x,y,10,4
Each of x rows contains y desks. How many desks total?,x,Henry receives 18 stickers for good behavior. The principal revokes 14 stickers. How many stickers does Henry have now?,4,252,x,y,18,14
Each of x rows contains y desks. How many desks total?,x,Henry receives 25 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Henry have now?,17,200,x,y,25,8
"A bookshelf has x shelves, each holding y books. How many books total?",x,Grace collects 7 acorns. Squirrels steal 1 acorns. How many acorns does Grace have now?,6,7,x,y,7,1
"A bookshelf has x shelves, each holding y books. How many books total?",x,Grace collects 42 acorns. Squirrels steal 11 acorns. How many acorns does Grace have now?,31,462,x,y,42,11
Tickets cost $x each. Alexander buys y tickets. What's the total cost?,x,The item costs 4 dollars. Alexander pays with 6 dollars. What is the amount to be returned?,2,24,x,y,6,4
Tickets cost $x each. Alexander buys y tickets. What's the total cost?,x,The item costs 17 dollars. Alexander pays with 31 dollars. What is the amount to be returned?,14,527,x,y,31,17
Each candy bag costs $x. How much for y bags?,x,The team has 48 timeouts. They call 8 timeouts. How many timeouts remain?,40,384,x,y,48,8
Each candy bag costs $x. How much for y bags?,x,The team has 50 timeouts. They call 18 timeouts. How many timeouts remain?,32,900,x,y,50,18
A toy is priced at $x each. How much for y toys?,x,The farm has 20 chickens. Henry sells 14 chickens at market. How many chickens remain?,6,280,x,y,20,14
A toy is priced at $x each. How much for y toys?,x,The farm has 34 chickens. Henry sells 7 chickens at market. How many chickens remain?,27,238,x,y,34,7
Apples cost $x per apple. How much for y apples?,x,"Jacob's account shows 42 dollars. After a purchase of 33 dollars, what is the current balance?",9,1386,x,y,42,33
Apples cost $x per apple. How much for y apples?,x,"Jacob's account shows 11 dollars. After a purchase of 6 dollars, what is the current balance?",5,66,x,y,11,6
A subscription costs $x monthly. What's the cost for y months?,x,The quality check finds 1 defects in 35 items. How many items pass inspection?,34,35,x,y,35,1
A subscription costs $x monthly. What's the cost for y months?,x,The quality check finds 2 defects in 33 items. How many items pass inspection?,31,66,x,y,33,2
A car drives x miles every hour for y hours. How far does it go?,x,Nathan has 21 hockey pucks. Their teammate borrows 8 hockey pucks. How many hockey pucks does Nathan have now?,13,168,x,y,21,8
A car drives x miles every hour for y hours. How far does it go?,x,Nathan has 38 hockey pucks. Their teammate borrows 6 hockey pucks. How many hockey pucks does Nathan have now?,32,228,x,y,38,6
A plane flies x miles per hour. How far in y hours?,x,The wall needs 6 bricks. Benjamin lays 5 bricks. How many bricks remain?,1,30,x,y,6,5
A plane flies x miles per hour. How far in y hours?,x,The wall needs 44 bricks. Benjamin lays 31 bricks. How many bricks remain?,13,1364,x,y,44,31
A runner maintains x km every hour. How far in y hours?,x,Nora owns 35 tennis balls. The club replaces 28 old tennis balls. How many tennis balls does Nora have now?,7,980,x,y,35,28
A runner maintains x km every hour. How far in y hours?,x,Nora owns 50 tennis balls. The club replaces 47 old tennis balls. How many tennis balls does Nora have now?,3,2350,x,y,50,47
A train travels x kilometers per hour. How far does it go in y hours?,x,"The job estimates 21 hours of labor. After 13 hours, how much work remains?",8,273,x,y,21,13
A train travels x kilometers per hour. How far does it go in y hours?,x,"The job estimates 25 hours of labor. After 15 hours, how much work remains?",10,375,x,y,25,15
A cyclist averages x miles every hour. How far in y hours?,x,The machine processes 39 items daily. 15 items complete. How many items remain?,24,585,x,y,39,15
A cyclist averages x miles every hour. How far in y hours?,x,The machine processes 6 items daily. 1 items complete. How many items remain?,5,6,x,y,6,1
A recipe requires x cups of flour per batch. Chloe makes y batches. How much flour?,x,The puzzle has 17 pieces. Chloe connects 9 pieces. How many pieces remain?,8,153,x,y,17,9
A recipe requires x cups of flour per batch. Chloe makes y batches. How much flour?,x,The puzzle has 10 pieces. Chloe connects 8 pieces. How many pieces remain?,2,80,x,y,10,8
