clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 apples to divide equally into 3 bags. How many apples go in each bag?,2,Jack has 15 bags with 5 apples in each. How many apples does Jack have total?,75,3,6,3,15,5
Jack has 26 apples to divide equally into 2 bags. How many apples go in each bag?,13,Jack has 28 bags with 7 apples in each. How many apples does Jack have total?,196,4,26,2,28,7
14 students are divided equally into 14 classrooms. How many in each?,1,"There are 18 classrooms, each with 2 students. How many students total?",36,9,14,14,18,2
39 students are divided equally into 3 classrooms. How many in each?,13,"There are 46 classrooms, each with 46 students. How many students total?",2116,1,39,3,46,46
A baker divides 24 cookies equally among 4 trays. How many per tray?,6,"A baker prepares 6 trays, each with 6 cookies. What is the total number?",36,1,24,4,6,6
A baker divides 44 cookies equally among 11 trays. How many per tray?,4,"A baker prepares 24 trays, each with 24 cookies. What is the total number?",576,1,44,11,24,24
A book's 48 pages are divided equally into 4 chapters. How many per chapter?,12,"A book has 6 chapters, each with 3 pages. How many pages total?",18,2,48,4,6,3
A book's 46 pages are divided equally into 46 chapters. How many per chapter?,1,"A book has 22 chapters, each with 11 pages. How many pages total?",242,2,46,46,22,11
40 pencils are packaged equally in 8 boxes. How many in each box?,5,Each of 24 boxes contains 6 pencils. What is the total count?,144,4,40,8,24,6
28 pencils are packaged equally in 14 boxes. How many in each box?,2,Each of 49 boxes contains 7 pencils. What is the total count?,343,7,28,14,49,7
Zoe read 39 pages over 3 hours. What was the hourly rate?,13,Zoe reads 3 pages every hour for 3 hours. How many pages total?,9,1,39,3,3,3
Zoe read 28 pages over 14 hours. What was the hourly rate?,2,Zoe reads 33 pages every hour for 3 hours. How many pages total?,99,11,28,14,33,3
A machine made 32 widgets in 32 minutes. What was its per-minute rate?,1,A machine produces 24 widgets every minute for 4 minutes. What's the total?,96,6,32,32,24,4
A machine made 36 widgets in 3 minutes. What was its per-minute rate?,12,A machine produces 14 widgets every minute for 14 minutes. What's the total?,196,1,36,3,14,14
A printer produced 33 pages during 11 minutes. How many per minute?,3,A printer prints 34 pages every minute. How many pages in 17 minutes?,578,2,33,11,34,17
A printer produced 27 pages during 27 minutes. How many per minute?,1,A printer prints 50 pages every minute. How many pages in 10 minutes?,500,5,27,27,50,10
A car went 46 miles using 2 gallons. What was the mileage per gallon?,23,A car travels 8 miles every gallon. How far can it go on 8 gallons?,64,1,46,2,8,8
A car went 36 miles using 2 gallons. What was the mileage per gallon?,18,A car travels 16 miles every gallon. How far can it go on 4 gallons?,64,4,36,2,16,4
William earned $30 by working 3 hours. What was the hourly wage?,10,William earns $48 per hour and works 2 hours. What are the total earnings?,96,24,30,3,48,2
William earned $48 by working 16 hours. What was the hourly wage?,3,William earns $34 per hour and works 34 hours. What are the total earnings?,1156,1,48,16,34,34
24 plants are arranged in 12 equal rows. How many plants per row?,2,A garden has 11 rows with 11 plants per row. How many plants total?,121,1,24,12,11,11
12 plants are arranged in 4 equal rows. How many plants per row?,3,A garden has 30 rows with 2 plants per row. How many plants total?,60,15,12,4,30,2
14 cars are parked in 7 equal rows. How many cars per row?,2,"A parking lot has 24 rows, each holding 24 cars. How many cars total?",576,1,14,7,24,24
28 cars are parked in 14 equal rows. How many cars per row?,2,"A parking lot has 36 rows, each holding 3 cars. How many cars total?",108,12,28,14,36,3
A quilt's 20 squares are arranged in 2 equal columns. How many per column?,10,A quilt has 35 squares along its length and 5 squares across. How many total?,175,7,20,2,35,5
