clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 bags with 3 apples in each. How many apples does Jack have total?,18,The course offers 9 credit hours. Jack drops 1 credit hours. How many credits remain?,8,9,6,3,9,1
Jack has 26 bags with 2 apples in each. How many apples does Jack have total?,52,The course offers 17 credit hours. Jack drops 8 credit hours. How many credits remain?,9,136,26,2,17,8
"There are 14 classrooms, each with 14 students. How many students total?",196,Amelia catches 49 fireflies. They release 35 fireflies. How many fireflies does Amelia have now?,14,1715,14,14,49,35
"There are 39 classrooms, each with 3 students. How many students total?",117,Amelia catches 29 fireflies. They release 2 fireflies. How many fireflies does Amelia have now?,27,58,39,3,29,2
"A baker prepares 24 trays, each with 4 cookies. What is the total number?",96,"The itinerary includes 16 cities. After visiting 9 cities, how many remain?",7,144,24,4,16,9
"A baker prepares 44 trays, each with 11 cookies. What is the total number?",484,"The itinerary includes 37 cities. After visiting 13 cities, how many remain?",24,481,44,11,37,13
"A book has 48 chapters, each with 4 pages. How many pages total?",192,The parking lot has 36 cars. 27 cars leave the lot. How many spaces are still occupied?,9,972,48,4,36,27
"A book has 46 chapters, each with 46 pages. How many pages total?",2116,The parking lot has 46 cars. 28 cars leave the lot. How many spaces are still occupied?,18,1288,46,46,46,28
Each of 40 boxes contains 8 pencils. What is the total count?,320,"The train makes 15 stops. After 13 stops, how many remain on the route?",2,195,40,8,15,13
Each of 28 boxes contains 14 pencils. What is the total count?,392,"The train makes 7 stops. After 4 stops, how many remain on the route?",3,28,28,14,7,4
Zoe reads 39 pages every hour for 3 hours. How many pages total?,117,Zoe owns 24 paintbrushes. Their teacher collects 20 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,4,480,39,3,24,20
Zoe reads 28 pages every hour for 14 hours. How many pages total?,392,Zoe owns 48 paintbrushes. Their teacher collects 30 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,18,1440,28,14,48,30
A machine produces 32 widgets every minute for 32 minutes. What's the total?,1024,The pool contains 26 gallons. Benjamin drains 3 gallons for cleaning. What volume remains?,23,78,32,32,26,3
A machine produces 36 widgets every minute for 3 minutes. What's the total?,108,The pool contains 42 gallons. Benjamin drains 40 gallons for cleaning. What volume remains?,2,1680,36,3,42,40
A printer prints 33 pages every minute. How many pages in 11 minutes?,363,The lake contains 47 fish. 5 fish are caught. How many fish remain?,42,235,33,11,47,5
A printer prints 27 pages every minute. How many pages in 27 minutes?,729,The lake contains 16 fish. 13 fish are caught. How many fish remain?,3,208,27,27,16,13
A car travels 46 miles every gallon. How far can it go on 2 gallons?,92,The bakery prepares 16 loaves. Customers purchase 14 loaves. How many loaves are left?,2,224,46,2,16,14
A car travels 36 miles every gallon. How far can it go on 2 gallons?,72,The bakery prepares 42 loaves. Customers purchase 24 loaves. How many loaves are left?,18,1008,36,2,42,24
William earns $30 per hour and works 3 hours. What are the total earnings?,90,The shopping list has 19 items. William crosses off 3 items. How many items remain?,16,57,30,3,19,3
William earns $48 per hour and works 16 hours. What are the total earnings?,768,The shopping list has 36 items. William crosses off 16 items. How many items remain?,20,576,48,16,36,16
