clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend takes 18 apples. How many apples does Jack have now?,31,A team of 5 robots assembled 15 components. What was each robot's average output?,3,10,49,18,15,5
Jack has 10 apples. Their friend takes 2 apples. How many apples does Jack have now?,8,A team of 7 robots assembled 28 components. What was each robot's average output?,4,21,10,2,28,7
Chloe picks 7 oranges. They drop 5 oranges. How many oranges does Chloe have now?,2,2 apples cost $18 altogether. What's the price per apple?,9,16,7,5,18,2
Chloe picks 3 oranges. They drop 1 oranges. How many oranges does Chloe have now?,2,46 apples cost $46 altogether. What's the price per apple?,1,0,3,1,46,46
Henry buys 40 bananas. The cashier takes back 2 bananas. How many bananas does Henry have now?,38,Artists used 6 pigments across 6 paintings. What was the average per painting?,1,0,40,2,6,6
Henry buys 47 bananas. The cashier takes back 42 bananas. How many bananas does Henry have now?,5,Artists used 24 pigments across 24 paintings. What was the average per painting?,1,0,47,42,24,24
Lucas grows 39 strawberries. 18 strawberries get eaten by birds. How many strawberries does Lucas have now?,21,The printer created 6 layers over 3 minutes. What was the average speed?,2,3,39,18,6,3
Lucas grows 23 strawberries. 9 strawberries get eaten by birds. How many strawberries does Lucas have now?,14,The printer created 22 layers over 11 minutes. What was the average speed?,2,11,23,9,22,11
Benjamin collects 23 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,19,The cable transferred 24 TB over 6 hours. What was the average rate?,4,18,23,4,24,6
Benjamin collects 8 mangoes. They share 3 mangoes with their neighbor. How many mangoes does Benjamin have now?,5,The cable transferred 49 TB over 7 hours. What was the average rate?,7,42,8,3,49,7
Nora has 18 pencils. The teacher collects 2 pencils. How many pencils does Nora have now?,16,A worker earned $3 from 3 items. What was the per-item rate?,1,0,18,2,3,3
Nora has 36 pencils. The teacher collects 8 pencils. How many pencils does Nora have now?,28,A worker earned $33 from 3 items. What was the per-item rate?,11,30,36,8,33,3
Isla brings 37 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,18,The glacier retreated 24 inches over 4 days. What was the average daily recession?,6,20,37,19,24,4
Isla brings 25 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,6,The glacier retreated 14 inches over 14 days. What was the average daily recession?,1,0,25,19,14,14
Henry finds 4 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,1,The nanobots repaired 34 cells during 17 minutes. What was their average repair rate?,2,17,4,3,34,17
Henry finds 20 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,17,The nanobots repaired 50 cells during 10 minutes. What was their average repair rate?,5,40,20,3,50,10
Nora has 19 markers. Their art teacher removes 15 markers from their collection. How many markers does Nora have now?,4,The storm had 8 lightning flashes over 8 minutes. What was the flash rate?,1,0,19,15,8,8
Nora has 24 markers. Their art teacher removes 7 markers from their collection. How many markers does Nora have now?,17,The storm had 16 lightning flashes over 4 minutes. What was the flash rate?,4,12,24,7,16,4
Chloe receives 40 stickers for good behavior. The principal revokes 11 stickers. How many stickers does Chloe have now?,29,There were 48 arrivals during 2 minutes. What was the actual arrival frequency?,24,46,40,11,48,2
Chloe receives 12 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Chloe have now?,4,There were 34 arrivals during 34 minutes. What was the actual arrival frequency?,1,0,12,8,34,34
Jacob owns 16 toy cars. They donate 11 toy cars to charity. How many toy cars does Jacob have now?,5,The pyramid's 11 blocks weigh 11 tons total. What is the average block weight?,1,0,16,11,11,11
Jacob owns 27 toy cars. They donate 9 toy cars to charity. How many toy cars does Jacob have now?,18,The pyramid's 2 blocks weigh 30 tons total. What is the average block weight?,15,28,27,9,30,2
William has 47 building blocks. Their sibling takes 21 blocks from their tower. How many blocks does William have now?,26,A quilt's 24 squares are arranged in 24 equal columns. How many per column?,1,0,47,21,24,24
William has 33 building blocks. Their sibling takes 26 blocks from their tower. How many blocks does William have now?,7,A quilt's 36 squares are arranged in 3 equal columns. How many per column?,12,33,33,26,36,3
Nathan collects 11 action figures. They trade away 5 figures. How many action figures does Nathan have now?,6,5 cartons hold 35 eggs total. How many eggs per carton?,7,30,11,5,35,5
Nathan collects 49 action figures. They trade away 36 figures. How many action figures does Nathan have now?,13,7 cartons hold 35 eggs total. How many eggs per carton?,5,28,49,36,35,7
Grace has 39 board games. Their family gives away 26 board games. How many board games does Grace have now?,13,Grace earned $28 by working 2 hours. What was the hourly wage?,14,26,39,26,28,2
Grace has 10 board games. Their family gives away 9 board games. How many board games does Grace have now?,1,Grace earned $50 by working 25 hours. What was the hourly wage?,2,25,10,9,50,25
Lily owns 9 stuffed animals. They give 3 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,6,Lily paid $26 for 2 months of service. What was the monthly rate?,13,24,9,3,26,2
Lily owns 45 stuffed animals. They give 28 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,17,Lily paid $41 for 41 months of service. What was the monthly rate?,1,0,45,28,41,41
Ella finds 26 seashells at the beach. The tide washes away 20 seashells. How many seashells does Ella have now?,6,The band sold 48 albums over 3 concerts. What was their average sales per concert?,16,45,26,20,48,3
Ella finds 18 seashells at the beach. The tide washes away 1 seashells. How many seashells does Ella have now?,17,The band sold 10 albums over 2 concerts. What was their average sales per concert?,5,8,18,1,10,2
"Chloe counts 45 birds in the morning. By afternoon, 35 birds fly away. How many birds does Chloe see now?",10,The party found 7 coins distributed among 7 chests. What was the average per chest?,1,0,45,35,7,7
"Chloe counts 43 birds in the morning. By afternoon, 22 birds fly away. How many birds does Chloe see now?",21,The party found 28 coins distributed among 2 chests. What was the average per chest?,14,26,43,22,28,2
Olivia plants 34 flowers. A storm damages 12 flowers. How many flowers does Olivia have now?,22,The fungal network covered 48 square feet across 8 colonies. What was the average size?,6,40,34,12,48,8
Olivia plants 42 flowers. A storm damages 20 flowers. How many flowers does Olivia have now?,22,The fungal network covered 24 square feet across 3 colonies. What was the average size?,8,21,42,20,24,3
Matthew catches 40 fireflies. They release 13 fireflies. How many fireflies does Matthew have now?,27,The theater used 40 yards of fabric for 40 seats. How much fabric per seat?,1,0,40,13,40,40
Matthew catches 50 fireflies. They release 11 fireflies. How many fireflies does Matthew have now?,39,The theater used 27 yards of fabric for 27 seats. How much fabric per seat?,1,0,50,11,27,27
Grace collects 40 acorns. Squirrels steal 21 acorns. How many acorns does Grace have now?,19,Researchers found 48 turtle eggs in 4 nests. What was the average eggs per nest?,12,44,40,21,48,4
Grace collects 9 acorns. Squirrels steal 6 acorns. How many acorns does Grace have now?,3,Researchers found 27 turtle eggs in 27 nests. What was the average eggs per nest?,1,0,9,6,27,27
Nathan bakes 5 cookies. Their sibling eats 2 cookies. How many cookies does Nathan have now?,3,48 bowls used 48 liters total. What was the amount per bowl?,1,0,5,2,48,48
Nathan bakes 7 cookies. Their sibling eats 6 cookies. How many cookies does Nathan have now?,1,34 bowls used 34 liters total. What was the amount per bowl?,1,0,7,6,34,34
Lily buys 10 donuts. Their family eats 3 donuts. How many donuts does Lily have now?,7,Reservoirs dropped 44 feet during 22 months of drought. What was the average monthly decline?,2,22,10,3,44,22
Lily buys 37 donuts. Their family eats 11 donuts. How many donuts does Lily have now?,26,Reservoirs dropped 13 feet during 13 months of drought. What was the average monthly decline?,1,0,37,11,13,13
