clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend takes 18 apples. How many apples does Jack have now?,31,Each robot assembles 15 components hourly. How many components can 5 robots assemble?,75,10,49,18,15,5
Jack has 10 apples. Their friend takes 2 apples. How many apples does Jack have now?,8,Each robot assembles 28 components hourly. How many components can 7 robots assemble?,196,21,10,2,28,7
Chloe picks 7 oranges. They drop 5 oranges. How many oranges does Chloe have now?,2,Apples cost $18 per apple. How much for 2 apples?,36,16,7,5,18,2
Chloe picks 3 oranges. They drop 1 oranges. How many oranges does Chloe have now?,2,Apples cost $46 per apple. How much for 46 apples?,2116,0,3,1,46,46
Henry buys 40 bananas. The cashier takes back 2 bananas. How many bananas does Henry have now?,38,Each Renaissance painting uses 6 pigments. How many pigments for 6 paintings?,36,0,40,2,6,6
Henry buys 47 bananas. The cashier takes back 42 bananas. How many bananas does Henry have now?,5,Each Renaissance painting uses 24 pigments. How many pigments for 24 paintings?,576,0,47,42,24,24
Lucas grows 39 strawberries. 18 strawberries get eaten by birds. How many strawberries does Lucas have now?,21,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,3,39,18,6,3
Lucas grows 23 strawberries. 9 strawberries get eaten by birds. How many strawberries does Lucas have now?,14,The 3D printer makes 22 layers per minute. How many layers in 11 minutes?,242,11,23,9,22,11
Benjamin collects 23 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,19,The fiber cable transmits 24 TB per hour. How much data in 6 hours?,144,18,23,4,24,6
Benjamin collects 8 mangoes. They share 3 mangoes with their neighbor. How many mangoes does Benjamin have now?,5,The fiber cable transmits 49 TB per hour. How much data in 7 hours?,343,42,8,3,49,7
Nora has 18 pencils. The teacher collects 2 pencils. How many pencils does Nora have now?,16,Workers are paid $3 per item. How much for 3 items?,9,0,18,2,3,3
Nora has 36 pencils. The teacher collects 8 pencils. How many pencils does Nora have now?,28,Workers are paid $33 per item. How much for 3 items?,99,30,36,8,33,3
Isla brings 37 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,18,The glacier recedes 24 inches daily. How much will it shrink after 4 days?,96,20,37,19,24,4
Isla brings 25 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,6,The glacier recedes 14 inches daily. How much will it shrink after 14 days?,196,0,25,19,14,14
Henry finds 4 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,1,The nanobot swarm repairs 34 cells per minute. How many cells can it repair in 17 minutes?,578,17,4,3,34,17
Henry finds 20 erasers in their desk. They lose 3 erasers. How many erasers does Henry have now?,17,The nanobot swarm repairs 50 cells per minute. How many cells can it repair in 10 minutes?,500,40,20,3,50,10
Nora has 19 markers. Their art teacher removes 15 markers from their collection. How many markers does Nora have now?,4,The thunderstorm produces 8 lightning flashes per minute. How many flashes in 8 minutes?,64,0,19,15,8,8
Nora has 24 markers. Their art teacher removes 7 markers from their collection. How many markers does Nora have now?,17,The thunderstorm produces 16 lightning flashes per minute. How many flashes in 4 minutes?,64,12,24,7,16,4
Chloe receives 40 stickers for good behavior. The principal revokes 11 stickers. How many stickers does Chloe have now?,29,A subway train arrives every 48 minutes. How many arrivals will there be in 2 minutes?,96,46,40,11,48,2
Chloe receives 12 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Chloe have now?,4,A subway train arrives every 34 minutes. How many arrivals will there be in 34 minutes?,1156,0,12,8,34,34
Jacob owns 16 toy cars. They donate 11 toy cars to charity. How many toy cars does Jacob have now?,5,Each pyramid block weighs 11 tons. What is the total weight of 11 blocks?,121,0,16,11,11,11
Jacob owns 27 toy cars. They donate 9 toy cars to charity. How many toy cars does Jacob have now?,18,Each pyramid block weighs 30 tons. What is the total weight of 2 blocks?,60,28,27,9,30,2
William has 47 building blocks. Their sibling takes 21 blocks from their tower. How many blocks does William have now?,26,A quilt has 24 squares along its length and 24 squares across. How many total?,576,0,47,21,24,24
William has 33 building blocks. Their sibling takes 26 blocks from their tower. How many blocks does William have now?,7,A quilt has 36 squares along its length and 3 squares across. How many total?,108,33,33,26,36,3
Nathan collects 11 action figures. They trade away 5 figures. How many action figures does Nathan have now?,6,Egg cartons contain 35 eggs each. How many eggs in 5 cartons?,175,30,11,5,35,5
Nathan collects 49 action figures. They trade away 36 figures. How many action figures does Nathan have now?,13,Egg cartons contain 35 eggs each. How many eggs in 7 cartons?,245,28,49,36,35,7
Grace has 39 board games. Their family gives away 26 board games. How many board games does Grace have now?,13,Grace earns $28 per hour and works 2 hours. What are the total earnings?,56,26,39,26,28,2
Grace has 10 board games. Their family gives away 9 board games. How many board games does Grace have now?,1,Grace earns $50 per hour and works 25 hours. What are the total earnings?,1250,25,10,9,50,25
Lily owns 9 stuffed animals. They give 3 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,6,A subscription costs $26 monthly. What's the cost for 2 months?,52,24,9,3,26,2
Lily owns 45 stuffed animals. They give 28 stuffed animals to a younger sibling. How many stuffed animals does Lily have now?,17,A subscription costs $41 monthly. What's the cost for 41 months?,1681,0,45,28,41,41
Ella finds 26 seashells at the beach. The tide washes away 20 seashells. How many seashells does Ella have now?,6,The band sells 48 albums per concert. How many albums will they sell at 3 concerts?,144,45,26,20,48,3
Ella finds 18 seashells at the beach. The tide washes away 1 seashells. How many seashells does Ella have now?,17,The band sells 10 albums per concert. How many albums will they sell at 2 concerts?,20,8,18,1,10,2
"Chloe counts 45 birds in the morning. By afternoon, 35 birds fly away. How many birds does Chloe see now?",10,Each treasure chest holds 7 coins. How many coins in 7 chests?,49,0,45,35,7,7
"Chloe counts 43 birds in the morning. By afternoon, 22 birds fly away. How many birds does Chloe see now?",21,Each treasure chest holds 28 coins. How many coins in 2 chests?,56,26,43,22,28,2
Olivia plants 34 flowers. A storm damages 12 flowers. How many flowers does Olivia have now?,22,Each mushroom colony expands 48 square feet daily. How much area would 8 colonies cover?,384,40,34,12,48,8
Olivia plants 42 flowers. A storm damages 20 flowers. How many flowers does Olivia have now?,22,Each mushroom colony expands 24 square feet daily. How much area would 3 colonies cover?,72,21,42,20,24,3
Matthew catches 40 fireflies. They release 13 fireflies. How many fireflies does Matthew have now?,27,Each theater seat needs 40 yards of fabric. How much fabric is required for 40 seats?,1600,0,40,13,40,40
Matthew catches 50 fireflies. They release 11 fireflies. How many fireflies does Matthew have now?,39,Each theater seat needs 27 yards of fabric. How much fabric is required for 27 seats?,729,0,50,11,27,27
Grace collects 40 acorns. Squirrels steal 21 acorns. How many acorns does Grace have now?,19,Each sea turtle lays 48 eggs per nest. How many eggs will 4 nests contain?,192,44,40,21,48,4
Grace collects 9 acorns. Squirrels steal 6 acorns. How many acorns does Grace have now?,3,Each sea turtle lays 27 eggs per nest. How many eggs will 27 nests contain?,729,0,9,6,27,27
