clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,The course offers 9 credit hours. Jack drops 1 credit hours. How many credits remain?,8,9,x,y,9,1
Jack has x apples to divide equally into y bags. How many apples go in each bag?,x,The course offers 17 credit hours. Jack drops 8 credit hours. How many credits remain?,9,2,x,y,17,8
x students are divided equally into y classrooms. How many in each?,x,Amelia catches 49 fireflies. They release 35 fireflies. How many fireflies does Amelia have now?,14,1,x,y,49,35
x students are divided equally into y classrooms. How many in each?,x,Amelia catches 29 fireflies. They release 2 fireflies. How many fireflies does Amelia have now?,27,14,x,y,29,2
A baker divides x cookies equally among y trays. How many per tray?,x,"The itinerary includes 16 cities. After visiting 9 cities, how many remain?",7,1,x,y,16,9
A baker divides x cookies equally among y trays. How many per tray?,x,"The itinerary includes 37 cities. After visiting 13 cities, how many remain?",24,2,x,y,37,13
A book's x pages are divided equally into y chapters. How many per chapter?,x,The parking lot has 36 cars. 27 cars leave the lot. How many spaces are still occupied?,9,1,x,y,36,27
A book's x pages are divided equally into y chapters. How many per chapter?,x,The parking lot has 46 cars. 28 cars leave the lot. How many spaces are still occupied?,18,1,x,y,46,28
x pencils are packaged equally in y boxes. How many in each box?,x,"The train makes 15 stops. After 13 stops, how many remain on the route?",2,1,x,y,15,13
x pencils are packaged equally in y boxes. How many in each box?,x,"The train makes 7 stops. After 4 stops, how many remain on the route?",3,1,x,y,7,4
Zoe read x pages over y hours. What was the hourly rate?,x,Zoe owns 24 paintbrushes. Their teacher collects 20 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,4,1,x,y,24,20
Zoe read x pages over y hours. What was the hourly rate?,x,Zoe owns 48 paintbrushes. Their teacher collects 30 paintbrushes for cleaning. How many paintbrushes does Zoe have now?,18,1,x,y,48,30
A machine made x widgets in y minutes. What was its per-minute rate?,x,The pool contains 26 gallons. Benjamin drains 3 gallons for cleaning. What volume remains?,23,8,x,y,26,3
A machine made x widgets in y minutes. What was its per-minute rate?,x,The pool contains 42 gallons. Benjamin drains 40 gallons for cleaning. What volume remains?,2,1,x,y,42,40
A printer produced x pages during y minutes. How many per minute?,x,The lake contains 47 fish. 5 fish are caught. How many fish remain?,42,9,x,y,47,5
A printer produced x pages during y minutes. How many per minute?,x,The lake contains 16 fish. 13 fish are caught. How many fish remain?,3,1,x,y,16,13
A car went x miles using y gallons. What was the mileage per gallon?,x,The bakery prepares 16 loaves. Customers purchase 14 loaves. How many loaves are left?,2,1,x,y,16,14
A car went x miles using y gallons. What was the mileage per gallon?,x,The bakery prepares 42 loaves. Customers purchase 24 loaves. How many loaves are left?,18,1,x,y,42,24
William earned $x by working y hours. What was the hourly wage?,x,The shopping list has 19 items. William crosses off 3 items. How many items remain?,16,6,x,y,19,3
William earned $x by working y hours. What was the hourly wage?,x,The shopping list has 36 items. William crosses off 16 items. How many items remain?,20,2,x,y,36,16
x plants are arranged in y equal rows. How many plants per row?,x,The project has 19 tasks. Henry completes 18 tasks. How many tasks remain?,1,1,x,y,19,18
x plants are arranged in y equal rows. How many plants per row?,x,The project has 22 tasks. Henry completes 2 tasks. How many tasks remain?,20,11,x,y,22,2
x cars are parked in y equal rows. How many cars per row?,x,Nora collects 15 action figures. They trade away 10 figures. How many action figures does Nora have now?,5,1,x,y,15,10
x cars are parked in y equal rows. How many cars per row?,x,Nora collects 15 action figures. They trade away 11 figures. How many action figures does Nora have now?,4,1,x,y,15,11
A quilt's x squares are arranged in y equal columns. How many per column?,x,Daniel owns 43 comic books. A friend borrows 30 comic books. How many comic books does Daniel have now?,13,1,x,y,43,30
A quilt's x squares are arranged in y equal columns. How many per column?,x,Daniel owns 10 comic books. A friend borrows 4 comic books. How many comic books does Daniel have now?,6,2,x,y,10,4
x desks are arranged in y equal rows. How many desks per row?,x,Henry receives 18 stickers for good behavior. The principal revokes 14 stickers. How many stickers does Henry have now?,4,1,x,y,18,14
x desks are arranged in y equal rows. How many desks per row?,x,Henry receives 25 stickers for good behavior. The principal revokes 8 stickers. How many stickers does Henry have now?,17,3,x,y,25,8
x books are placed equally on y shelves. How many books per shelf?,x,Grace collects 7 acorns. Squirrels steal 1 acorns. How many acorns does Grace have now?,6,7,x,y,7,1
x books are placed equally on y shelves. How many books per shelf?,x,Grace collects 42 acorns. Squirrels steal 11 acorns. How many acorns does Grace have now?,31,3,x,y,42,11
Alexander spent $x on y equally priced tickets. What was the price per ticket?,x,The item costs 4 dollars. Alexander pays with 6 dollars. What is the amount to be returned?,2,1,x,y,6,4
Alexander spent $x on y equally priced tickets. What was the price per ticket?,x,The item costs 17 dollars. Alexander pays with 31 dollars. What is the amount to be returned?,14,1,x,y,31,17
Matthew paid $x for y candy bags. What was the per-bag price?,x,The team has 48 timeouts. They call 8 timeouts. How many timeouts remain?,40,6,x,y,48,8
Matthew paid $x for y candy bags. What was the per-bag price?,x,The team has 50 timeouts. They call 18 timeouts. How many timeouts remain?,32,2,x,y,50,18
Henry spent $x on y identical toys. What was each toy's price?,x,The farm has 20 chickens. Henry sells 14 chickens at market. How many chickens remain?,6,1,x,y,20,14
Henry spent $x on y identical toys. What was each toy's price?,x,The farm has 34 chickens. Henry sells 7 chickens at market. How many chickens remain?,27,4,x,y,34,7
y apples cost $x altogether. What's the price per apple?,x,"Jacob's account shows 42 dollars. After a purchase of 33 dollars, what is the current balance?",9,1,x,y,42,33
