prompt,gt_answer,operand1,operand2
Jack has 15 bags with 5 apples in each. How many apples does Jack have total?,75,15,5
Jack has 28 bags with 7 apples in each. How many apples does Jack have total?,196,28,7
"There are 18 classrooms, each with 2 students. How many students total?",36,18,2
"There are 46 classrooms, each with 46 students. How many students total?",2116,46,46
"A baker prepares 6 trays, each with 6 cookies. What is the total number?",36,6,6
"A baker prepares 24 trays, each with 24 cookies. What is the total number?",576,24,24
"A book has 6 chapters, each with 3 pages. How many pages total?",18,6,3
"A book has 22 chapters, each with 11 pages. How many pages total?",242,22,11
Each of 24 boxes contains 6 pencils. What is the total count?,144,24,6
Each of 49 boxes contains 7 pencils. What is the total count?,343,49,7
Zoe reads 3 pages every hour for 3 hours. How many pages total?,9,3,3
Zoe reads 33 pages every hour for 3 hours. How many pages total?,99,33,3
A machine produces 24 widgets every minute for 4 minutes. What's the total?,96,24,4
A machine produces 14 widgets every minute for 14 minutes. What's the total?,196,14,14
A printer prints 34 pages every minute. How many pages in 17 minutes?,578,34,17
A printer prints 50 pages every minute. How many pages in 10 minutes?,500,50,10
A car travels 8 miles every gallon. How far can it go on 8 gallons?,64,8,8
A car travels 16 miles every gallon. How far can it go on 4 gallons?,64,16,4
William earns $48 per hour and works 2 hours. What are the total earnings?,96,48,2
William earns $34 per hour and works 34 hours. What are the total earnings?,1156,34,34
A garden has 11 rows with 11 plants per row. How many plants total?,121,11,11
A garden has 30 rows with 2 plants per row. How many plants total?,60,30,2
"A parking lot has 24 rows, each holding 24 cars. How many cars total?",576,24,24
"A parking lot has 36 rows, each holding 3 cars. How many cars total?",108,36,3
A quilt has 35 squares along its length and 5 squares across. How many total?,175,35,5
A quilt has 35 squares along its length and 7 squares across. How many total?,245,35,7
Each of 28 rows contains 2 desks. How many desks total?,56,28,2
Each of 50 rows contains 25 desks. How many desks total?,1250,50,25
"A bookshelf has 26 shelves, each holding 2 books. How many books total?",52,26,2
"A bookshelf has 41 shelves, each holding 41 books. How many books total?",1681,41,41
Tickets cost $48 each. Alexander buys 3 tickets. What's the total cost?,144,48,3
Tickets cost $10 each. Alexander buys 2 tickets. What's the total cost?,20,10,2
Each candy bag costs $7. How much for 7 bags?,49,7,7
Each candy bag costs $28. How much for 2 bags?,56,28,2
A toy is priced at $48 each. How much for 8 toys?,384,48,8
A toy is priced at $24 each. How much for 3 toys?,72,24,3
Apples cost $40 per apple. How much for 40 apples?,1600,40,40
Apples cost $27 per apple. How much for 27 apples?,729,27,27
A subscription costs $48 monthly. What's the cost for 4 months?,192,48,4
A subscription costs $27 monthly. What's the cost for 27 months?,729,27,27
A car drives 48 miles every hour for 48 hours. How far does it go?,2304,48,48
A car drives 34 miles every hour for 34 hours. How far does it go?,1156,34,34
A plane flies 44 miles per hour. How far in 22 hours?,968,44,22
A plane flies 13 miles per hour. How far in 13 hours?,169,13,13
A runner maintains 15 km every hour. How far in 5 hours?,75,15,5
A runner maintains 19 km every hour. How far in 19 hours?,361,19,19
A train travels 10 kilometers per hour. How far does it go in 10 hours?,100,10,10
A train travels 36 kilometers per hour. How far does it go in 3 hours?,108,36,3
A cyclist averages 45 miles every hour. How far in 15 hours?,675,45,15
A cyclist averages 48 miles every hour. How far in 2 hours?,96,48,2
A recipe requires 15 cups of flour per batch. Chloe makes 15 batches. How much flour?,225,15,15
A recipe requires 28 cups of flour per batch. Chloe makes 2 batches. How much flour?,56,28,2
Each cake needs 30 eggs. How many eggs for 3 cakes?,90,30,3
Each cake needs 19 eggs. How many eggs for 19 cakes?,361,19,19
Cookies require 27 chips per cookie. How many chips for 27 cookies?,729,27,27
Cookies require 20 chips per cookie. How many chips for 20 cookies?,400,20,20
Each serving requires 15 ounces. How much for 3 servings?,45,15,3
Each serving requires 44 ounces. How much for 11 servings?,484,44,11
Punch needs 18 liters per bowl. How much for 18 bowls?,324,18,18
Punch needs 46 liters per bowl. How much for 23 bowls?,1058,46,23
Isla earns $2 per hour. How much for 2 hours?,4,2,2
Isla earns $32 per hour. How much for 2 hours?,64,32,2
Workers are paid $15 per item. How much for 5 items?,75,15,5
Workers are paid $30 per item. How much for 10 items?,300,30,10
Each project pays $25. What's the income from 25 projects?,625,25,25
Each project pays $12. What's the income from 4 projects?,48,12,4
A consultant charges $42 daily. What's the cost for 21 days?,882,42,21
A consultant charges $45 daily. What's the cost for 45 days?,2025,45,45
Overtime pays $42 per hour. How much for 6 overtime hours?,252,42,6
Overtime pays $20 per hour. How much for 4 overtime hours?,80,20,4
Each crate holds 50 oranges. How many oranges in 25 crates?,1250,50,25
Each crate holds 24 oranges. How many oranges in 3 crates?,72,24,3
Egg cartons contain 22 eggs each. How many eggs in 22 cartons?,484,22,22
Egg cartons contain 36 eggs each. How many eggs in 18 cartons?,648,36,18
Jars contain 45 marbles each. How many marbles in 3 jars?,135,45,3
Jars contain 16 marbles each. How many marbles in 2 jars?,32,16,2
Cases hold 10 bottles each. How many bottles in 10 cases?,100,10,10
Cases hold 49 bottles each. How many bottles in 7 cases?,343,49,7
Packets have 49 seeds each. How many seeds in 7 packets?,343,49,7
Packets have 3 seeds each. How many seeds in 3 packets?,9,3,3
Tasks take 10 minutes each. How long for 5 tasks?,50,10,5
Tasks take 7 minutes each. How long for 7 tasks?,49,7,7
A process takes 44 hours per unit. How long for 44 units?,1936,44,44
A process takes 28 hours per unit. How long for 14 units?,392,28,14
Questions take 16 minutes each. How long for 16 questions?,256,16,16
Questions take 48 minutes each. How long for 16 questions?,768,48,16
A machine processes 42 items per hour. How many can it do in 6 hours?,252,42,6
A machine processes 21 items per hour. How many can it do in 21 hours?,441,21,21
Customers take 39 minutes each to serve. How long for 39 customers?,1521,39,39
Customers take 39 minutes each to serve. How long for 3 customers?,117,39,3
A team scores 9 points per game. How many points in 9 games?,81,9,9
A team scores 10 points per game. How many points in 5 games?,50,10,5
A player averages 32 rebounds per game. How many in 32 games?,1024,32,32
A player averages 26 rebounds per game. How many in 13 games?,338,26,13
Innings average 46 runs each. How many runs in 2 innings?,92,46,2
Innings average 18 runs each. How many runs in 2 innings?,36,18,2
A player makes 28 free throws per game. How many in 14 games?,392,28,14
A player makes 26 free throws per game. How many in 13 games?,338,26,13
A team allows 47 goals per match. How many in 47 matches?,2209,47,47
A team allows 9 goals per match. How many in 3 matches?,27,9,3
Matthew creates 4 paintings every month. How many paintings will be completed after 4 months?,16,4,4
Matthew creates 20 paintings every month. How many paintings will be completed after 4 months?,80,20,4
Each sculpture requires 42 pounds of clay. How much clay is needed to make 14 sculptures?,588,42,14
Each sculpture requires 36 pounds of clay. How much clay is needed to make 18 sculptures?,648,36,18
The dance troupe performs 2 shows in each city. How many shows will they perform on a 2-city tour?,4,2,2
