clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 9 apples. Their friend takes 1 apples. How many apples does Jack have now?,8,Jack has 49 apples. Their friend takes 18 apples. How many apples does Jack have now?,31,9,1,49,18
Jack has 17 apples. Their friend takes 8 apples. How many apples does Jack have now?,9,Jack has 10 apples. Their friend takes 2 apples. How many apples does Jack have now?,8,17,8,10,2
Chloe picks 49 oranges. They drop 35 oranges. How many oranges does Chloe have now?,14,Chloe picks 7 oranges. They drop 5 oranges. How many oranges does Chloe have now?,2,49,35,7,5
Chloe picks 29 oranges. They drop 2 oranges. How many oranges does Chloe have now?,27,Chloe picks 3 oranges. They drop 1 oranges. How many oranges does Chloe have now?,2,29,2,3,1
Henry buys 16 bananas. The cashier takes back 9 bananas. How many bananas does Henry have now?,7,Henry buys 40 bananas. The cashier takes back 2 bananas. How many bananas does Henry have now?,38,16,9,40,2
Henry buys 37 bananas. The cashier takes back 13 bananas. How many bananas does Henry have now?,24,Henry buys 47 bananas. The cashier takes back 42 bananas. How many bananas does Henry have now?,5,37,13,47,42
Lucas grows 36 strawberries. 27 strawberries get eaten by birds. How many strawberries does Lucas have now?,9,Lucas grows 39 strawberries. 18 strawberries get eaten by birds. How many strawberries does Lucas have now?,21,36,27,39,18
Lucas grows 46 strawberries. 28 strawberries get eaten by birds. How many strawberries does Lucas have now?,18,Lucas grows 23 strawberries. 9 strawberries get eaten by birds. How many strawberries does Lucas have now?,14,46,28,23,9
Benjamin collects 15 mangoes. They share 13 mangoes with their neighbor. How many mangoes does Benjamin have now?,2,Benjamin collects 23 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,19,15,13,23,4
Benjamin collects 7 mangoes. They share 4 mangoes with their neighbor. How many mangoes does Benjamin have now?,3,Benjamin collects 8 mangoes. They share 3 mangoes with their neighbor. How many mangoes does Benjamin have now?,5,7,4,8,3
Nora has 24 pencils. The teacher collects 20 pencils. How many pencils does Nora have now?,4,Nora has 18 pencils. The teacher collects 2 pencils. How many pencils does Nora have now?,16,24,20,18,2
Nora has 48 pencils. The teacher collects 30 pencils. How many pencils does Nora have now?,18,Nora has 36 pencils. The teacher collects 8 pencils. How many pencils does Nora have now?,28,48,30,36,8
Isla brings 26 notebooks to class. A classmate borrows 3 notebooks. How many notebooks does Isla have now?,23,Isla brings 37 notebooks to class. A classmate borrows 19 notebooks. How many notebooks does Isla have now?,18,26,3,37,19
