clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 bags with 3 apples in each. How many apples does Jack have total?,18,A team of 5 robots assembled 15 components. What was each robot's average output?,3,75,6,3,15,5
Jack has 26 bags with 2 apples in each. How many apples does Jack have total?,52,A team of 7 robots assembled 28 components. What was each robot's average output?,4,196,26,2,28,7
"There are 14 classrooms, each with 14 students. How many students total?",196,2 apples cost $18 altogether. What's the price per apple?,9,36,14,14,18,2
"There are 39 classrooms, each with 3 students. How many students total?",117,46 apples cost $46 altogether. What's the price per apple?,1,2116,39,3,46,46
"A baker prepares 24 trays, each with 4 cookies. What is the total number?",96,Artists used 6 pigments across 6 paintings. What was the average per painting?,1,36,24,4,6,6
"A baker prepares 44 trays, each with 11 cookies. What is the total number?",484,Artists used 24 pigments across 24 paintings. What was the average per painting?,1,576,44,11,24,24
"A book has 48 chapters, each with 4 pages. How many pages total?",192,The printer created 6 layers over 3 minutes. What was the average speed?,2,18,48,4,6,3
"A book has 46 chapters, each with 46 pages. How many pages total?",2116,The printer created 22 layers over 11 minutes. What was the average speed?,2,242,46,46,22,11
Each of 40 boxes contains 8 pencils. What is the total count?,320,The cable transferred 24 TB over 6 hours. What was the average rate?,4,144,40,8,24,6
Each of 28 boxes contains 14 pencils. What is the total count?,392,The cable transferred 49 TB over 7 hours. What was the average rate?,7,343,28,14,49,7
Zoe reads 39 pages every hour for 3 hours. How many pages total?,117,A worker earned $3 from 3 items. What was the per-item rate?,1,9,39,3,3,3
Zoe reads 28 pages every hour for 14 hours. How many pages total?,392,A worker earned $33 from 3 items. What was the per-item rate?,11,99,28,14,33,3
A machine produces 32 widgets every minute for 32 minutes. What's the total?,1024,The glacier retreated 24 inches over 4 days. What was the average daily recession?,6,96,32,32,24,4
A machine produces 36 widgets every minute for 3 minutes. What's the total?,108,The glacier retreated 14 inches over 14 days. What was the average daily recession?,1,196,36,3,14,14
A printer prints 33 pages every minute. How many pages in 11 minutes?,363,The nanobots repaired 34 cells during 17 minutes. What was their average repair rate?,2,578,33,11,34,17
A printer prints 27 pages every minute. How many pages in 27 minutes?,729,The nanobots repaired 50 cells during 10 minutes. What was their average repair rate?,5,500,27,27,50,10
A car travels 46 miles every gallon. How far can it go on 2 gallons?,92,The storm had 8 lightning flashes over 8 minutes. What was the flash rate?,1,64,46,2,8,8
A car travels 36 miles every gallon. How far can it go on 2 gallons?,72,The storm had 16 lightning flashes over 4 minutes. What was the flash rate?,4,64,36,2,16,4
William earns $30 per hour and works 3 hours. What are the total earnings?,90,There were 48 arrivals during 2 minutes. What was the actual arrival frequency?,24,96,30,3,48,2
William earns $48 per hour and works 16 hours. What are the total earnings?,768,There were 34 arrivals during 34 minutes. What was the actual arrival frequency?,1,1156,48,16,34,34
