clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 15 bags with 5 apples in each. How many apples does Jack have total?,75,Jack has 6 bags with 3 apples in each. How many apples does Jack have total?,18,15,5,6,3
Jack has 28 bags with 7 apples in each. How many apples does Jack have total?,196,Jack has 26 bags with 2 apples in each. How many apples does Jack have total?,52,28,7,26,2
"There are 18 classrooms, each with 2 students. How many students total?",36,"There are 14 classrooms, each with 14 students. How many students total?",196,18,2,14,14
"There are 46 classrooms, each with 46 students. How many students total?",2116,"There are 39 classrooms, each with 3 students. How many students total?",117,46,46,39,3
"A baker prepares 6 trays, each with 6 cookies. What is the total number?",36,"A baker prepares 24 trays, each with 4 cookies. What is the total number?",96,6,6,24,4
"A baker prepares 24 trays, each with 24 cookies. What is the total number?",576,"A baker prepares 44 trays, each with 11 cookies. What is the total number?",484,24,24,44,11
"A book has 6 chapters, each with 3 pages. How many pages total?",18,"A book has 48 chapters, each with 4 pages. How many pages total?",192,6,3,48,4
"A book has 22 chapters, each with 11 pages. How many pages total?",242,"A book has 46 chapters, each with 46 pages. How many pages total?",2116,22,11,46,46
Each of 24 boxes contains 6 pencils. What is the total count?,144,Each of 40 boxes contains 8 pencils. What is the total count?,320,24,6,40,8
Each of 49 boxes contains 7 pencils. What is the total count?,343,Each of 28 boxes contains 14 pencils. What is the total count?,392,49,7,28,14
Zoe reads 3 pages every hour for 3 hours. How many pages total?,9,Zoe reads 39 pages every hour for 3 hours. How many pages total?,117,3,3,39,3
Zoe reads 33 pages every hour for 3 hours. How many pages total?,99,Zoe reads 28 pages every hour for 14 hours. How many pages total?,392,33,3,28,14
A machine produces 24 widgets every minute for 4 minutes. What's the total?,96,A machine produces 32 widgets every minute for 32 minutes. What's the total?,1024,24,4,32,32
A machine produces 14 widgets every minute for 14 minutes. What's the total?,196,A machine produces 36 widgets every minute for 3 minutes. What's the total?,108,14,14,36,3
A printer prints 34 pages every minute. How many pages in 17 minutes?,578,A printer prints 33 pages every minute. How many pages in 11 minutes?,363,34,17,33,11
A printer prints 50 pages every minute. How many pages in 10 minutes?,500,A printer prints 27 pages every minute. How many pages in 27 minutes?,729,50,10,27,27
A car travels 8 miles every gallon. How far can it go on 8 gallons?,64,A car travels 46 miles every gallon. How far can it go on 2 gallons?,92,8,8,46,2
A car travels 16 miles every gallon. How far can it go on 4 gallons?,64,A car travels 36 miles every gallon. How far can it go on 2 gallons?,72,16,4,36,2
William earns $48 per hour and works 2 hours. What are the total earnings?,96,William earns $30 per hour and works 3 hours. What are the total earnings?,90,48,2,30,3
William earns $34 per hour and works 34 hours. What are the total earnings?,1156,William earns $48 per hour and works 16 hours. What are the total earnings?,768,34,34,48,16
A garden has 11 rows with 11 plants per row. How many plants total?,121,A garden has 24 rows with 12 plants per row. How many plants total?,288,11,11,24,12
A garden has 30 rows with 2 plants per row. How many plants total?,60,A garden has 12 rows with 4 plants per row. How many plants total?,48,30,2,12,4
"A parking lot has 24 rows, each holding 24 cars. How many cars total?",576,"A parking lot has 14 rows, each holding 7 cars. How many cars total?",98,24,24,14,7
"A parking lot has 36 rows, each holding 3 cars. How many cars total?",108,"A parking lot has 28 rows, each holding 14 cars. How many cars total?",392,36,3,28,14
A quilt has 35 squares along its length and 5 squares across. How many total?,175,A quilt has 20 squares along its length and 2 squares across. How many total?,40,35,5,20,2
A quilt has 35 squares along its length and 7 squares across. How many total?,245,A quilt has 34 squares along its length and 2 squares across. How many total?,68,35,7,34,2
Each of 28 rows contains 2 desks. How many desks total?,56,Each of 12 rows contains 2 desks. How many desks total?,24,28,2,12,2
Each of 50 rows contains 25 desks. How many desks total?,1250,Each of 20 rows contains 5 desks. How many desks total?,100,50,25,20,5
"A bookshelf has 26 shelves, each holding 2 books. How many books total?",52,"A bookshelf has 20 shelves, each holding 2 books. How many books total?",40,26,2,20,2
"A bookshelf has 41 shelves, each holding 41 books. How many books total?",1681,"A bookshelf has 36 shelves, each holding 3 books. How many books total?",108,41,41,36,3
Tickets cost $48 each. Alexander buys 3 tickets. What's the total cost?,144,Tickets cost $32 each. Alexander buys 4 tickets. What's the total cost?,128,48,3,32,4
Tickets cost $10 each. Alexander buys 2 tickets. What's the total cost?,20,Tickets cost $24 each. Alexander buys 12 tickets. What's the total cost?,288,10,2,24,12
Each candy bag costs $7. How much for 7 bags?,49,Each candy bag costs $36. How much for 18 bags?,648,7,7,36,18
Each candy bag costs $28. How much for 2 bags?,56,Each candy bag costs $10. How much for 10 bags?,100,28,2,10,10
A toy is priced at $48 each. How much for 8 toys?,384,A toy is priced at $30 each. How much for 30 toys?,900,48,8,30,30
A toy is priced at $24 each. How much for 3 toys?,72,A toy is priced at $44 each. How much for 2 toys?,88,24,3,44,2
Apples cost $40 per apple. How much for 40 apples?,1600,Apples cost $18 per apple. How much for 3 apples?,54,40,40,18,3
Apples cost $27 per apple. How much for 27 apples?,729,Apples cost $18 per apple. How much for 2 apples?,36,27,27,18,2
A subscription costs $48 monthly. What's the cost for 4 months?,192,A subscription costs $46 monthly. What's the cost for 2 months?,92,48,4,46,2
A subscription costs $27 monthly. What's the cost for 27 months?,729,A subscription costs $39 monthly. What's the cost for 13 months?,507,27,27,39,13
A car drives 48 miles every hour for 48 hours. How far does it go?,2304,A car drives 36 miles every hour for 18 hours. How far does it go?,648,48,48,36,18
A car drives 34 miles every hour for 34 hours. How far does it go?,1156,A car drives 24 miles every hour for 6 hours. How far does it go?,144,34,34,24,6
A plane flies 44 miles per hour. How far in 22 hours?,968,A plane flies 43 miles per hour. How far in 43 hours?,1849,44,22,43,43
A plane flies 13 miles per hour. How far in 13 hours?,169,A plane flies 9 miles per hour. How far in 3 hours?,27,13,13,9,3
A runner maintains 15 km every hour. How far in 5 hours?,75,A runner maintains 18 km every hour. How far in 18 hours?,324,15,5,18,18
A runner maintains 19 km every hour. How far in 19 hours?,361,A runner maintains 39 km every hour. How far in 3 hours?,117,19,19,39,3
A train travels 10 kilometers per hour. How far does it go in 10 hours?,100,A train travels 36 kilometers per hour. How far does it go in 4 hours?,144,10,10,36,4
A train travels 36 kilometers per hour. How far does it go in 3 hours?,108,A train travels 50 kilometers per hour. How far does it go in 2 hours?,100,36,3,50,2
A cyclist averages 45 miles every hour. How far in 15 hours?,675,A cyclist averages 26 miles every hour. How far in 26 hours?,676,45,15,26,26
A cyclist averages 48 miles every hour. How far in 2 hours?,96,A cyclist averages 4 miles every hour. How far in 2 hours?,8,48,2,4,2
A recipe requires 15 cups of flour per batch. Chloe makes 15 batches. How much flour?,225,A recipe requires 46 cups of flour per batch. Chloe makes 2 batches. How much flour?,92,15,15,46,2
A recipe requires 28 cups of flour per batch. Chloe makes 2 batches. How much flour?,56,A recipe requires 33 cups of flour per batch. Chloe makes 3 batches. How much flour?,99,28,2,33,3
Each cake needs 30 eggs. How many eggs for 3 cakes?,90,Each cake needs 40 eggs. How many eggs for 2 cakes?,80,30,3,40,2
Each cake needs 19 eggs. How many eggs for 19 cakes?,361,Each cake needs 40 eggs. How many eggs for 20 cakes?,800,19,19,40,20
Cookies require 27 chips per cookie. How many chips for 27 cookies?,729,Cookies require 44 chips per cookie. How many chips for 4 cookies?,176,27,27,44,4
Cookies require 20 chips per cookie. How many chips for 20 cookies?,400,Cookies require 44 chips per cookie. How many chips for 11 cookies?,484,20,20,44,11
Each serving requires 15 ounces. How much for 3 servings?,45,Each serving requires 30 ounces. How much for 5 servings?,150,15,3,30,5
Each serving requires 44 ounces. How much for 11 servings?,484,Each serving requires 50 ounces. How much for 25 servings?,1250,44,11,50,25
Punch needs 18 liters per bowl. How much for 18 bowls?,324,Punch needs 20 liters per bowl. How much for 2 bowls?,40,18,18,20,2
Punch needs 46 liters per bowl. How much for 23 bowls?,1058,Punch needs 45 liters per bowl. How much for 15 bowls?,675,46,23,45,15
Isla earns $2 per hour. How much for 2 hours?,4,Isla earns $50 per hour. How much for 5 hours?,250,2,2,50,5
Isla earns $32 per hour. How much for 2 hours?,64,Isla earns $42 per hour. How much for 42 hours?,1764,32,2,42,42
Workers are paid $15 per item. How much for 5 items?,75,Workers are paid $34 per item. How much for 34 items?,1156,15,5,34,34
Workers are paid $30 per item. How much for 10 items?,300,Workers are paid $25 per item. How much for 25 items?,625,30,10,25,25
