clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 49 apples. Their friend gives them 18 more apples. How many apples does Jack have now?,67,Each robot assembles 15 components hourly. How many components can 5 robots assemble?,75,20,49,18,15,5
Jack has 10 apples. Their friend gives them 2 more apples. How many apples does Jack have now?,12,Each robot assembles 28 components hourly. How many components can 7 robots assemble?,196,35,10,2,28,7
Chloe picks 7 oranges. They find 5 more oranges on the ground. How many oranges does Chloe have now?,12,Apples cost $18 per apple. How much for 2 apples?,36,20,7,5,18,2
Chloe picks 3 oranges. They find 1 more oranges on the ground. How many oranges does Chloe have now?,4,Apples cost $46 per apple. How much for 46 apples?,2116,92,3,1,46,46
Henry buys 40 bananas. The cashier gives them 2 extra bananas. How many bananas does Henry have now?,42,Each Renaissance painting uses 6 pigments. How many pigments for 6 paintings?,36,12,40,2,6,6
Henry buys 47 bananas. The cashier gives them 42 extra bananas. How many bananas does Henry have now?,89,Each Renaissance painting uses 24 pigments. How many pigments for 24 paintings?,576,48,47,42,24,24
Lucas grows 39 strawberries. 18 more strawberries ripen overnight. How many strawberries does Lucas have now?,57,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,9,39,18,6,3
Lucas grows 23 strawberries. 9 more strawberries ripen overnight. How many strawberries does Lucas have now?,32,The 3D printer makes 22 layers per minute. How many layers in 11 minutes?,242,33,23,9,22,11
Benjamin collects 23 mangoes. Their neighbor shares 4 more mangoes. How many mangoes does Benjamin have now?,27,The fiber cable transmits 24 TB per hour. How much data in 6 hours?,144,30,23,4,24,6
Benjamin collects 8 mangoes. Their neighbor shares 3 more mangoes. How many mangoes does Benjamin have now?,11,The fiber cable transmits 49 TB per hour. How much data in 7 hours?,343,56,8,3,49,7
Nora has 18 pencils. The teacher distributes 2 more pencils. How many pencils does Nora have now?,20,Workers are paid $3 per item. How much for 3 items?,9,6,18,2,3,3
Nora has 36 pencils. The teacher distributes 8 more pencils. How many pencils does Nora have now?,44,Workers are paid $33 per item. How much for 3 items?,99,36,36,8,33,3
Isla brings 37 notebooks to class. A classmate gives them 19 more notebooks. How many notebooks does Isla have now?,56,The glacier recedes 24 inches daily. How much will it shrink after 4 days?,96,28,37,19,24,4
