clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,target_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 6 bags with 3 apples in each. How many apples does Jack have total?,18,The course offers 9 credit hours. Jack adds 1 audit hours. What is the total course load?,10,9,6,3,9,1
Jack has 26 bags with 2 apples in each. How many apples does Jack have total?,52,The course offers 17 credit hours. Jack adds 8 audit hours. What is the total course load?,25,136,26,2,17,8
"There are 14 classrooms, each with 14 students. How many students total?",196,Amelia catches 49 fireflies. Their jar attracts 35 more fireflies. How many fireflies does Amelia have now?,84,1715,14,14,49,35
"There are 39 classrooms, each with 3 students. How many students total?",117,Amelia catches 29 fireflies. Their jar attracts 2 more fireflies. How many fireflies does Amelia have now?,31,58,39,3,29,2
"A baker prepares 24 trays, each with 4 cookies. What is the total number?",96,The itinerary includes 16 cities. Last-minute changes add 9 cities. What is the new plan?,25,144,24,4,16,9
"A baker prepares 44 trays, each with 11 cookies. What is the total number?",484,The itinerary includes 37 cities. Last-minute changes add 13 cities. What is the new plan?,50,481,44,11,37,13
"A book has 48 chapters, each with 4 pages. How many pages total?",192,The parking lot has 36 spaces. 27 reserved spaces are added. What is the new capacity?,63,972,48,4,36,27
"A book has 46 chapters, each with 46 pages. How many pages total?",2116,The parking lot has 46 spaces. 28 reserved spaces are added. What is the new capacity?,74,1288,46,46,46,28
Each of 40 boxes contains 8 pencils. What is the total count?,320,The train makes 15 stops. The schedule adds 13 express stops. What is the updated itinerary?,28,195,40,8,15,13
Each of 28 boxes contains 14 pencils. What is the total count?,392,The train makes 7 stops. The schedule adds 4 express stops. What is the updated itinerary?,11,28,28,14,7,4
Zoe reads 39 pages every hour for 3 hours. How many pages total?,117,Zoe owns 24 paintbrushes. Their teacher gives them 20 new paintbrushes. How many paintbrushes does Zoe have now?,44,480,39,3,24,20
Zoe reads 28 pages every hour for 14 hours. How many pages total?,392,Zoe owns 48 paintbrushes. Their teacher gives them 30 new paintbrushes. How many paintbrushes does Zoe have now?,78,1440,28,14,48,30
A machine produces 32 widgets every minute for 32 minutes. What's the total?,1024,The pool contains 26 gallons. The hose adds 3 more gallons. What is the total volume?,29,78,32,32,26,3
