clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Jack has 15 apples to divide equally into 5 bags. How many apples go in each bag?,3,Jack has 6 apples to divide equally into 3 bags. How many apples go in each bag?,2,15,5,6,3
Jack has 28 apples to divide equally into 7 bags. How many apples go in each bag?,4,Jack has 26 apples to divide equally into 2 bags. How many apples go in each bag?,13,28,7,26,2
18 students are divided equally into 2 classrooms. How many in each?,9,14 students are divided equally into 14 classrooms. How many in each?,1,18,2,14,14
46 students are divided equally into 46 classrooms. How many in each?,1,39 students are divided equally into 3 classrooms. How many in each?,13,46,46,39,3
A baker divides 6 cookies equally among 6 trays. How many per tray?,1,A baker divides 24 cookies equally among 4 trays. How many per tray?,6,6,6,24,4
A baker divides 24 cookies equally among 24 trays. How many per tray?,1,A baker divides 44 cookies equally among 11 trays. How many per tray?,4,24,24,44,11
A book's 6 pages are divided equally into 3 chapters. How many per chapter?,2,A book's 48 pages are divided equally into 4 chapters. How many per chapter?,12,6,3,48,4
A book's 22 pages are divided equally into 11 chapters. How many per chapter?,2,A book's 46 pages are divided equally into 46 chapters. How many per chapter?,1,22,11,46,46
24 pencils are packaged equally in 6 boxes. How many in each box?,4,40 pencils are packaged equally in 8 boxes. How many in each box?,5,24,6,40,8
49 pencils are packaged equally in 7 boxes. How many in each box?,7,28 pencils are packaged equally in 14 boxes. How many in each box?,2,49,7,28,14
Zoe read 3 pages over 3 hours. What was the hourly rate?,1,Zoe read 39 pages over 3 hours. What was the hourly rate?,13,3,3,39,3
Zoe read 33 pages over 3 hours. What was the hourly rate?,11,Zoe read 28 pages over 14 hours. What was the hourly rate?,2,33,3,28,14
A machine made 24 widgets in 4 minutes. What was its per-minute rate?,6,A machine made 32 widgets in 32 minutes. What was its per-minute rate?,1,24,4,32,32
A machine made 14 widgets in 14 minutes. What was its per-minute rate?,1,A machine made 36 widgets in 3 minutes. What was its per-minute rate?,12,14,14,36,3
A printer produced 34 pages during 17 minutes. How many per minute?,2,A printer produced 33 pages during 11 minutes. How many per minute?,3,34,17,33,11
A printer produced 50 pages during 10 minutes. How many per minute?,5,A printer produced 27 pages during 27 minutes. How many per minute?,1,50,10,27,27
A car went 8 miles using 8 gallons. What was the mileage per gallon?,1,A car went 46 miles using 2 gallons. What was the mileage per gallon?,23,8,8,46,2
A car went 16 miles using 4 gallons. What was the mileage per gallon?,4,A car went 36 miles using 2 gallons. What was the mileage per gallon?,18,16,4,36,2
William earned $48 by working 2 hours. What was the hourly wage?,24,William earned $30 by working 3 hours. What was the hourly wage?,10,48,2,30,3
William earned $34 by working 34 hours. What was the hourly wage?,1,William earned $48 by working 16 hours. What was the hourly wage?,3,34,34,48,16
11 plants are arranged in 11 equal rows. How many plants per row?,1,24 plants are arranged in 12 equal rows. How many plants per row?,2,11,11,24,12
30 plants are arranged in 2 equal rows. How many plants per row?,15,12 plants are arranged in 4 equal rows. How many plants per row?,3,30,2,12,4
24 cars are parked in 24 equal rows. How many cars per row?,1,14 cars are parked in 7 equal rows. How many cars per row?,2,24,24,14,7
36 cars are parked in 3 equal rows. How many cars per row?,12,28 cars are parked in 14 equal rows. How many cars per row?,2,36,3,28,14
A quilt's 35 squares are arranged in 5 equal columns. How many per column?,7,A quilt's 20 squares are arranged in 2 equal columns. How many per column?,10,35,5,20,2
A quilt's 35 squares are arranged in 7 equal columns. How many per column?,5,A quilt's 34 squares are arranged in 2 equal columns. How many per column?,17,35,7,34,2
28 desks are arranged in 2 equal rows. How many desks per row?,14,12 desks are arranged in 2 equal rows. How many desks per row?,6,28,2,12,2
50 desks are arranged in 25 equal rows. How many desks per row?,2,20 desks are arranged in 5 equal rows. How many desks per row?,4,50,25,20,5
26 books are placed equally on 2 shelves. How many books per shelf?,13,20 books are placed equally on 2 shelves. How many books per shelf?,10,26,2,20,2
41 books are placed equally on 41 shelves. How many books per shelf?,1,36 books are placed equally on 3 shelves. How many books per shelf?,12,41,41,36,3
Alexander spent $48 on 3 equally priced tickets. What was the price per ticket?,16,Alexander spent $32 on 4 equally priced tickets. What was the price per ticket?,8,48,3,32,4
Alexander spent $10 on 2 equally priced tickets. What was the price per ticket?,5,Alexander spent $24 on 12 equally priced tickets. What was the price per ticket?,2,10,2,24,12
Matthew paid $7 for 7 candy bags. What was the per-bag price?,1,Matthew paid $36 for 18 candy bags. What was the per-bag price?,2,7,7,36,18
Matthew paid $28 for 2 candy bags. What was the per-bag price?,14,Matthew paid $10 for 10 candy bags. What was the per-bag price?,1,28,2,10,10
Henry spent $48 on 8 identical toys. What was each toy's price?,6,Henry spent $30 on 30 identical toys. What was each toy's price?,1,48,8,30,30
Henry spent $24 on 3 identical toys. What was each toy's price?,8,Henry spent $44 on 2 identical toys. What was each toy's price?,22,24,3,44,2
40 apples cost $40 altogether. What's the price per apple?,1,3 apples cost $18 altogether. What's the price per apple?,6,40,40,18,3
27 apples cost $27 altogether. What's the price per apple?,1,2 apples cost $18 altogether. What's the price per apple?,9,27,27,18,2
Amelia paid $48 for 4 months of service. What was the monthly rate?,12,Amelia paid $46 for 2 months of service. What was the monthly rate?,23,48,4,46,2
Amelia paid $27 for 27 months of service. What was the monthly rate?,1,Amelia paid $39 for 13 months of service. What was the monthly rate?,3,27,27,39,13
A car traveled 48 miles in 48 hours. What was its speed in mph?,1,A car traveled 36 miles in 18 hours. What was its speed in mph?,2,48,48,36,18
A car traveled 34 miles in 34 hours. What was its speed in mph?,1,A car traveled 24 miles in 6 hours. What was its speed in mph?,4,34,34,24,6
A plane covered 44 miles over 22 hours. What was its speed?,2,A plane covered 43 miles over 43 hours. What was its speed?,1,44,22,43,43
A plane covered 13 miles over 13 hours. What was its speed?,1,A plane covered 9 miles over 3 hours. What was its speed?,3,13,13,9,3
A runner completed 15 km in 5 hours. What was the pace?,3,A runner completed 18 km in 18 hours. What was the pace?,1,15,5,18,18
A runner completed 19 km in 19 hours. What was the pace?,1,A runner completed 39 km in 3 hours. What was the pace?,13,19,19,39,3
A train went 10 km during 10 hours. What was its speed?,1,A train went 36 km during 4 hours. What was its speed?,9,10,10,36,4
A train went 36 km during 3 hours. What was its speed?,12,A train went 50 km during 2 hours. What was its speed?,25,36,3,50,2
A cyclist rode 45 miles over 15 hours. What was the average speed?,3,A cyclist rode 26 miles over 26 hours. What was the average speed?,1,45,15,26,26
A cyclist rode 48 miles over 2 hours. What was the average speed?,24,A cyclist rode 4 miles over 2 hours. What was the average speed?,2,48,2,4,2
Chloe has 15 cups of flour to make 15 batches. How much per batch?,1,Chloe has 46 cups of flour to make 2 batches. How much per batch?,23,15,15,46,2
Chloe has 28 cups of flour to make 2 batches. How much per batch?,14,Chloe has 33 cups of flour to make 3 batches. How much per batch?,11,28,2,33,3
3 cakes used 30 eggs total. How many eggs per cake?,10,2 cakes used 40 eggs total. How many eggs per cake?,20,30,3,40,2
19 cakes used 19 eggs total. How many eggs per cake?,1,20 cakes used 40 eggs total. How many eggs per cake?,2,19,19,40,20
27 cookies used 27 chips altogether. What's the average per cookie?,1,4 cookies used 44 chips altogether. What's the average per cookie?,11,27,27,44,4
20 cookies used 20 chips altogether. What's the average per cookie?,1,11 cookies used 44 chips altogether. What's the average per cookie?,4,20,20,44,11
3 servings used 15 ounces total. How much per serving?,5,5 servings used 30 ounces total. How much per serving?,6,15,3,30,5
11 servings used 44 ounces total. How much per serving?,4,25 servings used 50 ounces total. How much per serving?,2,44,11,50,25
18 bowls used 18 liters total. What was the amount per bowl?,1,2 bowls used 20 liters total. What was the amount per bowl?,10,18,18,20,2
23 bowls used 46 liters total. What was the amount per bowl?,2,15 bowls used 45 liters total. What was the amount per bowl?,3,46,23,45,15
Isla earned $2 by working 2 hours. What was the hourly pay?,1,Isla earned $50 by working 5 hours. What was the hourly pay?,10,2,2,50,5
Isla earned $32 by working 2 hours. What was the hourly pay?,16,Isla earned $42 by working 42 hours. What was the hourly pay?,1,32,2,42,42
A worker earned $15 from 5 items. What was the per-item rate?,3,A worker earned $34 from 34 items. What was the per-item rate?,1,15,5,34,34
A worker earned $30 from 10 items. What was the per-item rate?,3,A worker earned $25 from 25 items. What was the per-item rate?,1,30,10,25,25
25 projects earned $25 total. What was the average per project?,1,8 projects earned $48 total. What was the average per project?,6,25,25,48,8
4 projects earned $12 total. What was the average per project?,3,6 projects earned $12 total. What was the average per project?,2,12,4,12,6
A consultant's 21 days of work cost $42. What was the daily rate?,2,A consultant's 11 days of work cost $11. What was the daily rate?,1,42,21,11,11
A consultant's 45 days of work cost $45. What was the daily rate?,1,A consultant's 8 days of work cost $16. What was the daily rate?,2,45,45,16,8
6 overtime hours earned $42. What was the overtime rate?,7,47 overtime hours earned $47. What was the overtime rate?,1,42,6,47,47
4 overtime hours earned $20. What was the overtime rate?,5,27 overtime hours earned $27. What was the overtime rate?,1,20,4,27,27
50 oranges are packed equally in 25 crates. How many per crate?,2,39 oranges are packed equally in 3 crates. How many per crate?,13,50,25,39,3
24 oranges are packed equally in 3 crates. How many per crate?,8,46 oranges are packed equally in 23 crates. How many per crate?,2,24,3,46,23
22 cartons hold 22 eggs total. How many eggs per carton?,1,15 cartons hold 30 eggs total. How many eggs per carton?,2,22,22,30,15
18 cartons hold 36 eggs total. How many eggs per carton?,2,35 cartons hold 35 eggs total. How many eggs per carton?,1,36,18,35,35
3 jars have 45 marbles total. What's the average per jar?,15,10 jars have 40 marbles total. What's the average per jar?,4,45,3,40,10
2 jars have 16 marbles total. What's the average per jar?,8,13 jars have 26 marbles total. What's the average per jar?,2,16,2,26,13
10 cases contain 10 bottles total. How many per case?,1,2 cases contain 6 bottles total. How many per case?,3,10,10,6,2
7 cases contain 49 bottles total. How many per case?,7,2 cases contain 48 bottles total. How many per case?,24,49,7,48,2
7 packets contain 49 seeds total. How many seeds per packet?,7,6 packets contain 24 seeds total. How many seeds per packet?,4,49,7,24,6
3 packets contain 3 seeds total. How many seeds per packet?,1,2 packets contain 12 seeds total. How many seeds per packet?,6,3,3,12,2
5 tasks took 10 minutes total. What was the average time per task?,2,11 tasks took 11 minutes total. What was the average time per task?,1,10,5,11,11
7 tasks took 7 minutes total. What was the average time per task?,1,8 tasks took 32 minutes total. What was the average time per task?,4,7,7,32,8
44 units were made in 44 hours total. What was the time per unit?,1,5 units were made in 25 hours total. What was the time per unit?,5,44,44,25,5
14 units were made in 28 hours total. What was the time per unit?,2,3 units were made in 24 hours total. What was the time per unit?,8,28,14,24,3
16 questions took 16 minutes altogether. What was the average time?,1,12 questions took 48 minutes altogether. What was the average time?,4,16,16,48,12
16 questions took 48 minutes altogether. What was the average time?,3,6 questions took 42 minutes altogether. What was the average time?,7,48,16,42,6
A machine completed 42 items over 6 hours. What was its processing rate?,7,A machine completed 37 items over 37 hours. What was its processing rate?,1,42,6,37,37
A machine completed 21 items over 21 hours. What was its processing rate?,1,A machine completed 14 items over 2 hours. What was its processing rate?,7,21,21,14,2
39 customers were served in 39 minutes. What was the average service time?,1,2 customers were served in 34 minutes. What was the average service time?,17,39,39,34,2
3 customers were served in 39 minutes. What was the average service time?,13,2 customers were served in 38 minutes. What was the average service time?,19,39,3,38,2
A team scored 9 points over 9 games. What was their average?,1,A team scored 14 points over 7 games. What was their average?,2,9,9,14,7
A team scored 10 points over 5 games. What was their average?,2,A team scored 36 points over 36 games. What was their average?,1,10,5,36,36
A player got 32 rebounds in 32 games. What was the average?,1,A player got 15 rebounds in 3 games. What was the average?,5,32,32,15,3
A player got 26 rebounds in 13 games. What was the average?,2,A player got 22 rebounds in 2 games. What was the average?,11,26,13,22,2
2 innings had 46 runs total. What was the average per inning?,23,8 innings had 40 runs total. What was the average per inning?,5,46,2,40,8
2 innings had 18 runs total. What was the average per inning?,9,3 innings had 39 runs total. What was the average per inning?,13,18,2,39,3
A player made 28 free throws over 14 games. What was the average?,2,A player made 41 free throws over 41 games. What was the average?,1,28,14,41,41
A player made 26 free throws over 13 games. What was the average?,2,A player made 12 free throws over 3 games. What was the average?,4,26,13,12,3
A team conceded 47 goals during 47 matches. What was the average?,1,A team conceded 14 goals during 7 matches. What was the average?,2,47,47,14,7
A team conceded 9 goals during 3 matches. What was the average?,3,A team conceded 46 goals during 23 matches. What was the average?,2,9,3,46,23
Matthew completed 4 paintings over 4 months. How many paintings per month on average?,1,Matthew completed 25 paintings over 5 months. How many paintings per month on average?,5,4,4,25,5
Matthew completed 20 paintings over 4 months. How many paintings per month on average?,5,Matthew completed 37 paintings over 37 months. How many paintings per month on average?,1,20,4,37,37
Lily used 42 pounds of clay for 14 sculptures. How much clay per sculpture?,3,Lily used 24 pounds of clay for 3 sculptures. How much clay per sculpture?,8,42,14,24,3
Lily used 36 pounds of clay for 18 sculptures. How much clay per sculpture?,2,Lily used 20 pounds of clay for 4 sculptures. How much clay per sculpture?,5,36,18,20,4
The troupe performed 2 shows across 2 cities. What was their average shows per city?,1,The troupe performed 36 shows across 6 cities. What was their average shows per city?,6,2,2,36,6
The troupe performed 27 shows across 27 cities. What was their average shows per city?,1,The troupe performed 40 shows across 20 cities. What was their average shows per city?,2,27,27,40,20
The art department has 39 paint tubes to share equally among 3 classes. How many per class?,13,The art department has 48 paint tubes to share equally among 3 classes. How many per class?,16,39,3,48,3
